variable,current,var_95,cvar_95,var_99,cvar_99,median_return,prob_negative
z1_Total assets,3258.408,-0.017109767471775204,-0.06000407642273363,-0.08615731176785975,-0.12052629816692492,0.15228763606516804,0.0707
z1_Total liabilities,1113.483,-0.050837118741846196,-0.10030132289548213,-0.1294073772531826,-0.16915934588695836,0.16774767382889055,0.1171
z1_Total net assets,2296.692,-0.01862737161593764,-0.06659350258045388,-0.09578529955843729,-0.13097744670560718,0.154487759892862,0.0706
