,vix_mean,z1_leverage_ratio,pf_gav_nav_ratio,cot_lev_net,swap_ir_total,fcm_excess_net_capital
vix_mean,,0.11723854712564982,0.002070547156085169,0.1286153619378911,0.7764454593231077,0.0022622156649190037
z1_leverage_ratio,0.025475896767803822,,0.0015467337155290605,0.1267228301807349,0.3185180442787734,0.08694045757331682
pf_gav_nav_ratio,0.38730171361287075,0.08600063174770672,,0.15777786571449018,0.08060927267390179,
cot_lev_net,0.31655421585082,0.44621312749393,0.05490372859416178,,0.27399220700443205,0.1828257790999383
swap_ir_total,0.8366796169773999,0.2014961425659988,0.4475763626435911,0.022093332062624354,,0.18648001923469892
fcm_excess_net_capital,0.07940722264481379,0.26388836584314085,,0.5612764608310744,0.4062587926904862,
