fund_type,quarter,count
Other Private Fund,2018Q1,4609
Real Estate Fund,2018Q1,2664
Venture Capital Fund,2018Q1,866
Securitized Asset Fund,2018Q1,1510
Liquidity Fund,2018Q1,69
Total,2018Q1,30511
Private Equity Fund,2018Q2,11626
Hedge Fund,2018Q2,9300
Other Private Fund,2018Q2,4582
Real Estate Fund,2018Q2,2658
Venture Capital Fund,2018Q2,851
Securitized Asset Fund,2018Q2,1510
Liquidity Fund,2018Q2,68
Total,2018Q2,30595
Private Equity Fund,2018Q3,11635
Hedge Fund,2018Q3,9376
Other Private Fund,2018Q3,4588
Real Estate Fund,2018Q3,2665
Venture Capital Fund,2018Q3,850
Securitized Asset Fund,2018Q3,1514
Liquidity Fund,2018Q3,68
Total,2018Q3,30696
Private Equity Fund,2018Q4,12798
Hedge Fund,2018Q4,9196
Other Private Fund,2018Q4,4900
Real Estate Fund,2018Q4,2851
Venture Capital Fund,2018Q4,970
Securitized Asset Fund,2018Q4,1562
Liquidity Fund,2018Q4,73
Total,2018Q4,32350
Private Equity Fund,2019Q1,13028
Hedge Fund,2019Q1,9388
Other Private Fund,2019Q1,4755
Real Estate Fund,2019Q1,2851
Venture Capital Fund,2019Q1,971
Securitized Asset Fund,2019Q1,1569
Liquidity Fund,2019Q1,72
Total,2019Q1,32634
Private Equity Fund,2019Q2,13042
Hedge Fund,2019Q2,9486
Other Private Fund,2019Q2,4716
Real Estate Fund,2019Q2,2852
Venture Capital Fund,2019Q2,971
Securitized Asset Fund,2019Q2,1577
Liquidity Fund,2019Q2,72
Total,2019Q2,32716
Private Equity Fund,2019Q3,13050
Hedge Fund,2019Q3,9496
Other Private Fund,2019Q3,4703
Real Estate Fund,2019Q3,2840
Venture Capital Fund,2019Q3,969
Securitized Asset Fund,2019Q3,1579
Liquidity Fund,2019Q3,72
Total,2019Q3,32709
Private Equity Fund,2019Q4,14358
Hedge Fund,2019Q4,9298
Other Private Fund,2019Q4,4967
Real Estate Fund,2019Q4,3119
Venture Capital Fund,2019Q4,1156
Securitized Asset Fund,2019Q4,1719
Liquidity Fund,2019Q4,65
Total,2019Q4,34682
Private Equity Fund,2020Q1,14495
Hedge Fund,2020Q1,9375
Other Private Fund,2020Q1,4970
Real Estate Fund,2020Q1,3120
Venture Capital Fund,2020Q1,1158
Securitized Asset Fund,2020Q1,1721
Liquidity Fund,2020Q1,64
Total,2020Q1,34903
Private Equity Fund,2020Q2,14507
Hedge Fund,2020Q2,9404
Other Private Fund,2020Q2,4975
Real Estate Fund,2020Q2,3116
Venture Capital Fund,2020Q2,1155
Securitized Asset Fund,2020Q2,1721
Liquidity Fund,2020Q2,67
Total,2020Q2,34945
Private Equity Fund,2020Q3,14504
Hedge Fund,2020Q3,9464
Other Private Fund,2020Q3,4963
Real Estate Fund,2020Q3,3117
Venture Capital Fund,2020Q3,1150
Securitized Asset Fund,2020Q3,1726
Liquidity Fund,2020Q3,69
Total,2020Q3,34993
Private Equity Fund,2020Q4,15778
Hedge Fund,2020Q4,9371
Other Private Fund,2020Q4,5402
Real Estate Fund,2020Q4,3297
Venture Capital Fund,2020Q4,1424
Securitized Asset Fund,2020Q4,1862
Liquidity Fund,2020Q4,72
Total,2020Q4,37206
Private Equity Fund,2021Q1,15867
Hedge Fund,2021Q1,9473
Other Private Fund,2021Q1,5418
Real Estate Fund,2021Q1,3300
Venture Capital Fund,2021Q1,1424
Securitized Asset Fund,2021Q1,1867
Liquidity Fund,2021Q1,73
Total,2021Q1,37422
Private Equity Fund,2021Q2,15905
Hedge Fund,2021Q2,9614
Other Private Fund,2021Q2,5397
Real Estate Fund,2021Q2,3303
Venture Capital Fund,2021Q2,1426
Securitized Asset Fund,2021Q2,1915
Liquidity Fund,2021Q2,76
Total,2021Q2,37636
Private Equity Fund,2021Q3,15879
Hedge Fund,2021Q3,9489
Other Private Fund,2021Q3,5364
Real Estate Fund,2021Q3,3297
Venture Capital Fund,2021Q3,1421
Securitized Asset Fund,2021Q3,1910
Liquidity Fund,2021Q3,77
Total,2021Q3,37437
Private Equity Fund,2021Q4,19120
Hedge Fund,2021Q4,9456
Other Private Fund,2021Q4,6060
Real Estate Fund,2021Q4,3792
Venture Capital Fund,2021Q4,2214
Securitized Asset Fund,2021Q4,2243
Liquidity Fund,2021Q4,79
Total,2021Q4,42964
Private Equity Fund,2022Q1,18999
Hedge Fund,2022Q1,9643
Other Private Fund,2022Q1,6300
Real Estate Fund,2022Q1,3787
Venture Capital Fund,2022Q1,2231
Securitized Asset Fund,2022Q1,2251
Liquidity Fund,2022Q1,79
Total,2022Q1,43290
Private Equity Fund,2022Q2,19039
Hedge Fund,2022Q2,9747
Other Private Fund,2022Q2,6289
Real Estate Fund,2022Q2,3790
Venture Capital Fund,2022Q2,2289
Securitized Asset Fund,2022Q2,2257
Liquidity Fund,2022Q2,80
Total,2022Q2,43491
Private Equity Fund,2022Q3,19092
Hedge Fund,2022Q3,9780
Other Private Fund,2022Q3,6291
Real Estate Fund,2022Q3,3790
Venture Capital Fund,2022Q3,2290
Securitized Asset Fund,2022Q3,2257
Liquidity Fund,2022Q3,79
Total,2022Q3,43579
Private Equity Fund,2022Q4,20963
Hedge Fund,2022Q4,9788
Other Private Fund,2022Q4,6771
Real Estate Fund,2022Q4,4274
Venture Capital Fund,2022Q4,2990
Securitized Asset Fund,2022Q4,2461
Liquidity Fund,2022Q4,72
Total,2022Q4,47319
