sector,quarter,amount,table
Computing Infrastructure...,2017Q4,0.023,Tab.10.1
Custom Computer Programming...,2017Q4,0.015,Tab.10.1
Insurance Agencies and Brokerages,2017Q4,0.011,Tab.10.1
Other Financial Vehicles,2017Q4,0.016,Tab.10.1
Computer Systems Design Services,2017Q4,0.008,Tab.10.1
"All Other Professional,...",2017Q4,0.008,Tab.10.1
Other Computer Related Services,2017Q4,0.009,Tab.10.1
Offices of Physicians,2017Q4,0.003,Tab.10.1
Lessors of Nonresidential Buildings,2017Q4,0.007,Tab.10.1
Engineering Services,2017Q4,0.003,Tab.10.1
Consumer Lending,2017Q4,0.008,Tab.10.1
Natural Gas Distribution,2017Q4,0.01,Tab.10.1
Full-Service Restaurants,2017Q4,0.005,Tab.10.1
Offices of Other Holding Companies,2017Q4,0.004,Tab.10.1
Home Health Care Services,2017Q4,0.003,Tab.10.1
Hotels and Motels,2017Q4,0.004,Tab.10.1
Commercial Banking,2017Q4,0.007,Tab.10.1
Other Activities Related to Real...,2017Q4,0.004,Tab.10.1
Lessors of Residential Buildings...,2017Q4,0.003,Tab.10.1
Offices of Dentists,2017Q4,0.003,Tab.10.1
Real Estate Credit,2017Q4,0.005,Tab.10.1
Marketing Research and Public...,2017Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2017Q4,0.003,Tab.10.1
Software Publishers,2018Q4,0.08,Tab.10.1
Computing Infrastructure...,2018Q4,0.035,Tab.10.1
Custom Computer Programming...,2018Q4,0.018,Tab.10.1
Insurance Agencies and Brokerages,2018Q4,0.01,Tab.10.1
Other Financial Vehicles,2018Q4,0.013,Tab.10.1
Computer Systems Design Services,2018Q4,0.006,Tab.10.1
"All Other Professional,...",2018Q4,0.014,Tab.10.1
Other Computer Related Services,2018Q4,0.01,Tab.10.1
Offices of Physicians,2018Q4,0.003,Tab.10.1
Lessors of Nonresidential Buildings,2018Q4,0.006,Tab.10.1
Engineering Services,2018Q4,0.003,Tab.10.1
Consumer Lending,2018Q4,0.006,Tab.10.1
Natural Gas Distribution,2018Q4,0.01,Tab.10.1
Full-Service Restaurants,2018Q4,0.003,Tab.10.1
Offices of Other Holding Companies,2018Q4,0.005,Tab.10.1
Home Health Care Services,2018Q4,0.004,Tab.10.1
Hotels and Motels,2018Q4,0.002,Tab.10.1
Commercial Banking,2018Q4,0.003,Tab.10.1
Other Activities Related to Real...,2018Q4,0.003,Tab.10.1
Lessors of Residential Buildings...,2018Q4,0.003,Tab.10.1
Offices of Dentists,2018Q4,0.003,Tab.10.1
Real Estate Credit,2018Q4,0.004,Tab.10.1
Marketing Research and Public...,2018Q4,0.001,Tab.10.1
Supermarkets and Other Grocery...,2018Q4,0.003,Tab.10.1
Software Publishers,2019Q4,0.106,Tab.10.1
Computing Infrastructure...,2019Q4,0.042,Tab.10.1
Custom Computer Programming...,2019Q4,0.021,Tab.10.1
Insurance Agencies and Brokerages,2019Q4,0.011,Tab.10.1
Other Financial Vehicles,2019Q4,0.012,Tab.10.1
Computer Systems Design Services,2019Q4,0.006,Tab.10.1
"All Other Professional,...",2019Q4,0.014,Tab.10.1
Other Computer Related Services,2019Q4,0.008,Tab.10.1
Offices of Physicians,2019Q4,0.005,Tab.10.1
Lessors of Nonresidential Buildings,2019Q4,0.011,Tab.10.1
Engineering Services,2019Q4,0.003,Tab.10.1
Consumer Lending,2019Q4,0.006,Tab.10.1
Natural Gas Distribution,2019Q4,0.007,Tab.10.1
Full-Service Restaurants,2019Q4,0.004,Tab.10.1
Offices of Other Holding Companies,2019Q4,0.004,Tab.10.1
Home Health Care Services,2019Q4,0.005,Tab.10.1
Hotels and Motels,2019Q4,0.004,Tab.10.1
Commercial Banking,2019Q4,0.003,Tab.10.1
Other Activities Related to Real...,2019Q4,0.003,Tab.10.1
Lessors of Residential Buildings...,2019Q4,0.003,Tab.10.1
Offices of Dentists,2019Q4,0.003,Tab.10.1
Real Estate Credit,2019Q4,0.004,Tab.10.1
Marketing Research and Public...,2019Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2019Q4,0.002,Tab.10.1
Software Publishers,2020Q4,0.097,Tab.10.1
Computing Infrastructure...,2020Q4,0.036,Tab.10.1
Custom Computer Programming...,2020Q4,0.019,Tab.10.1
Insurance Agencies and Brokerages,2020Q4,0.015,Tab.10.1
Other Financial Vehicles,2020Q4,0.018,Tab.10.1
Computer Systems Design Services,2020Q4,0.01,Tab.10.1
"All Other Professional,...",2020Q4,0.019,Tab.10.1
Other Computer Related Services,2020Q4,0.012,Tab.10.1
Offices of Physicians,2020Q4,0.005,Tab.10.1
Lessors of Nonresidential Buildings,2020Q4,0.006,Tab.10.1
Engineering Services,2020Q4,0.003,Tab.10.1
Consumer Lending,2020Q4,0.007,Tab.10.1
Natural Gas Distribution,2020Q4,0.008,Tab.10.1
Full-Service Restaurants,2020Q4,0.003,Tab.10.1
Offices of Other Holding Companies,2020Q4,0.004,Tab.10.1
Home Health Care Services,2020Q4,0.006,Tab.10.1
Hotels and Motels,2020Q4,0.004,Tab.10.1
Commercial Banking,2020Q4,0.004,Tab.10.1
Other Activities Related to Real...,2020Q4,0.003,Tab.10.1
Lessors of Residential Buildings...,2020Q4,0.002,Tab.10.1
Offices of Dentists,2020Q4,0.003,Tab.10.1
Real Estate Credit,2020Q4,0.004,Tab.10.1
Marketing Research and Public...,2020Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2020Q4,0.002,Tab.10.1
Software Publishers,2021Q4,0.117,Tab.10.1
Computing Infrastructure...,2021Q4,0.034,Tab.10.1
Custom Computer Programming...,2021Q4,0.025,Tab.10.1
Insurance Agencies and Brokerages,2021Q4,0.017,Tab.10.1
Other Financial Vehicles,2021Q4,0.022,Tab.10.1
Computer Systems Design Services,2021Q4,0.016,Tab.10.1
"All Other Professional,...",2021Q4,0.013,Tab.10.1
Other Computer Related Services,2021Q4,0.015,Tab.10.1
Offices of Physicians,2021Q4,0.006,Tab.10.1
Lessors of Nonresidential Buildings,2021Q4,0.004,Tab.10.1
Engineering Services,2021Q4,0.004,Tab.10.1
Consumer Lending,2021Q4,0.006,Tab.10.1
Natural Gas Distribution,2021Q4,0.006,Tab.10.1
Full-Service Restaurants,2021Q4,0.002,Tab.10.1
Offices of Other Holding Companies,2021Q4,0.004,Tab.10.1
Home Health Care Services,2021Q4,0.004,Tab.10.1
Hotels and Motels,2021Q4,0.004,Tab.10.1
Commercial Banking,2021Q4,0.004,Tab.10.1
Other Activities Related to Real...,2021Q4,0.004,Tab.10.1
Lessors of Residential Buildings...,2021Q4,0.003,Tab.10.1
Offices of Dentists,2021Q4,0.003,Tab.10.1
Real Estate Credit,2021Q4,0.002,Tab.10.1
Marketing Research and Public...,2021Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2021Q4,0.002,Tab.10.1
Software Publishers,2022Q4,0.12,Tab.10.1
Computing Infrastructure...,2022Q4,0.042,Tab.10.1
Custom Computer Programming...,2022Q4,0.028,Tab.10.1
Insurance Agencies and Brokerages,2022Q4,0.018,Tab.10.1
Other Financial Vehicles,2022Q4,0.029,Tab.10.1
Computer Systems Design Services,2022Q4,0.011,Tab.10.1
"All Other Professional,...",2022Q4,0.014,Tab.10.1
Other Computer Related Services,2022Q4,0.01,Tab.10.1
Offices of Physicians,2022Q4,0.007,Tab.10.1
Lessors of Nonresidential Buildings,2022Q4,0.005,Tab.10.1
Engineering Services,2022Q4,0.007,Tab.10.1
Consumer Lending,2022Q4,0.005,Tab.10.1
