date,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2013-05-17,,2810.345,21581.441,18771.096,,16198.271,16198.271,,5939.173,,,,191544.662,397914.082,206369.42,0.48137191083375636,0.1302204519151432,,,
2013-05-24,,2864.839,21732.462,18867.623,,16225.526,16225.526,,5939.173,,,,194599.924,402094.72,207494.796,0.4839653800975054,0.13182303045094476,,,
2013-05-31,,2918.057,21849.753,18931.696,,16314.153,16314.153,,5939.173,,,,196797.929,406096.286,209298.356,0.48460903432148106,0.13355102915808703,,,
2013-06-07,,2979.054,22116.67,19137.616,,16531.493,16531.493,,,,,,201245.175,412094.029,210848.854,0.48834770910985464,0.13469722159800732,,,
2013-06-14,,3056.241,22410.768,19354.527,,16766.097,16766.097,,5753.449,,,,204622.611,417554.891,212932.28,0.4900496088309501,0.13637377353600733,,,
2013-06-21,,2910.148,20324.833,17414.685,,16399.638,16399.638,,5753.449,,,,184072.535,390510.96,206438.425,0.47136330053322956,0.14318188985857844,,,
2013-06-28,,2890.797,20241.959,17351.162,,9289.339,9289.339,,5753.449,,,,195477.507,327659.186,132181.678,0.5965879039936333,0.14281211615931047,,,
2013-07-05,,3037.409,20428.492,17391.083,,16205.406,16205.406,,,,,,195999.899,400176.292,204176.394,0.48978388504834264,0.14868493474701902,,,
2013-07-12,,2924.048,20551.759,17627.711,,16388.81,16388.81,,,,,,199995.874,407544.951,207549.077,0.49073328846122793,0.1422772620095438,,,
2013-07-19,,2920.233,20494.037,17573.804,,16351.629,16351.629,,5994.004,,,,202237.153,409603.188,207366.035,0.49373920644387165,0.14249183799170462,,,
2013-07-26,,2949.205,20664.345,17715.14,,16491.326,16491.326,,5994.004,,,,206005.881,415233.742,209227.861,0.4961202815738418,0.14271950066648614,,,
2013-08-02,,2963.811,20832.727,17868.916,,16487.218,16487.218,,,,,,207531.819,416033.383,208501.563,0.49883453463156346,0.14226706854076282,,,
2013-08-09,,2950.751,20886.911,17936.16,,16590.667,16590.667,,,,,,208635.32,418052.416,209417.096,0.49906497849303183,0.14127273295701792,,,
2013-08-16,,2991.247,20814.035,17822.788,,16560.789,16560.789,,5812.841,,,,209877.12,418996.714,209119.594,0.5009039760631632,0.1437129802078261,,,
2013-08-23,,2994.046,20738.098,17744.052,,16500.178,16500.178,,5812.841,,,,211297.404,420960.671,209663.267,0.5019409616058884,0.1443741851350109,,,
2013-08-30,,2986.9,20245.713,17258.813,,16472.345,16472.345,,5812.841,,,,211255.653,419568.269,208312.616,0.5035072206568605,0.14753246773773787,,,
2013-09-06,,3024.842,20176.617,17151.775,,16435.281,16435.281,,,,,,212555.033,419992.79,207437.757,0.5060920998191422,0.14991819490849237,,,
