exposure,ratio_bucket,month,fund_count,exposure_type
Excluding IRDs,"[3,5)",2019-03,151,LNE
Excluding IRDs,"[5,10)",2019-03,155,LNE
Excluding IRDs,10 or more,2019-03,129,LNE
Including IRDs,"(0,1.5)",2019-04,735,LNE
Including IRDs,"[1.5,3)",2019-04,515,LNE
Including IRDs,"[3,5)",2019-04,169,LNE
Including IRDs,"[5,10)",2019-04,158,LNE
Including IRDs,10 or more,2019-04,204,LNE
Excluding IRDs,"(0,1.5)",2019-04,876,LNE
Excluding IRDs,"[1.5,3)",2019-04,464,LNE
Excluding IRDs,"[3,5)",2019-04,155,LNE
Excluding IRDs,"[5,10)",2019-04,147,LNE
Excluding IRDs,10 or more,2019-04,139,LNE
Including IRDs,"(0,1.5)",2019-05,735,LNE
Including IRDs,"[1.5,3)",2019-05,512,LNE
Including IRDs,"[3,5)",2019-05,177,LNE
Including IRDs,"[5,10)",2019-05,153,LNE
Including IRDs,10 or more,2019-05,204,LNE
Excluding IRDs,"(0,1.5)",2019-05,891,LNE
Excluding IRDs,"[1.5,3)",2019-05,455,LNE
Excluding IRDs,"[3,5)",2019-05,157,LNE
Excluding IRDs,"[5,10)",2019-05,143,LNE
Excluding IRDs,10 or more,2019-05,135,LNE
Including IRDs,"(0,1.5)",2019-06,710,LNE
Including IRDs,"[1.5,3)",2019-06,528,LNE
Including IRDs,"[3,5)",2019-06,187,LNE
Including IRDs,"[5,10)",2019-06,156,LNE
Including IRDs,10 or more,2019-06,200,LNE
Excluding IRDs,"(0,1.5)",2019-06,859,LNE
Excluding IRDs,"[1.5,3)",2019-06,481,LNE
Excluding IRDs,"[3,5)",2019-06,160,LNE
Excluding IRDs,"[5,10)",2019-06,149,LNE
Excluding IRDs,10 or more,2019-06,132,LNE
Including IRDs,"(0,1.5)",2019-07,760,LNE
Including IRDs,"[1.5,3)",2019-07,495,LNE
Including IRDs,"[3,5)",2019-07,176,LNE
Including IRDs,"[5,10)",2019-07,154,LNE
Including IRDs,10 or more,2019-07,215,LNE
Excluding IRDs,"(0,1.5)",2019-07,883,LNE
Excluding IRDs,"[1.5,3)",2019-07,474,LNE
Excluding IRDs,"[3,5)",2019-07,154,LNE
Excluding IRDs,"[5,10)",2019-07,141,LNE
Excluding IRDs,10 or more,2019-07,148,LNE
Including IRDs,"(0,1.5)",2019-08,755,LNE
Including IRDs,"[1.5,3)",2019-08,497,LNE
Including IRDs,"[3,5)",2019-08,181,LNE
Including IRDs,"[5,10)",2019-08,160,LNE
Including IRDs,10 or more,2019-08,207,LNE
Excluding IRDs,"(0,1.5)",2019-08,881,LNE
Excluding IRDs,"[1.5,3)",2019-08,475,LNE
Excluding IRDs,"[3,5)",2019-08,157,LNE
Excluding IRDs,"[5,10)",2019-08,147,LNE
Excluding IRDs,10 or more,2019-08,140,LNE
Including IRDs,"(0,1.5)",2019-09,743,LNE
Including IRDs,"[1.5,3)",2019-09,513,LNE
Including IRDs,"[3,5)",2019-09,174,LNE
Including IRDs,"[5,10)",2019-09,166,LNE
Including IRDs,10 or more,2019-09,199,LNE
Excluding IRDs,"(0,1.5)",2019-09,869,LNE
Excluding IRDs,"[1.5,3)",2019-09,476,LNE
Excluding IRDs,"[3,5)",2019-09,164,LNE
Excluding IRDs,"[5,10)",2019-09,151,LNE
Excluding IRDs,10 or more,2019-09,135,LNE
Including IRDs,"(0,1.5)",2019-10,796,LNE
Including IRDs,"[1.5,3)",2019-10,483,LNE
Including IRDs,"[3,5)",2019-10,167,LNE
Including IRDs,"[5,10)",2019-10,166,LNE
Including IRDs,10 or more,2019-10,205,LNE
Excluding IRDs,"(0,1.5)",2019-10,917,LNE
Excluding IRDs,"[1.5,3)",2019-10,468,LNE
Excluding IRDs,"[3,5)",2019-10,148,LNE
Excluding IRDs,"[5,10)",2019-10,138,LNE
Excluding IRDs,10 or more,2019-10,146,LNE
Including IRDs,"(0,1.5)",2019-11,785,LNE
Including IRDs,"[1.5,3)",2019-11,492,LNE
Including IRDs,"[3,5)",2019-11,176,LNE
Including IRDs,"[5,10)",2019-11,155,LNE
Including IRDs,10 or more,2019-11,210,LNE
Excluding IRDs,"(0,1.5)",2019-11,904,LNE
Excluding IRDs,"[1.5,3)",2019-11,470,LNE
Excluding IRDs,"[3,5)",2019-11,154,LNE
Excluding IRDs,"[5,10)",2019-11,143,LNE
Excluding IRDs,10 or more,2019-11,147,LNE
Including IRDs,"(0,1.5)",2019-12,764,LNE
Including IRDs,"[1.5,3)",2019-12,522,LNE
Including IRDs,"[3,5)",2019-12,171,LNE
Including IRDs,"[5,10)",2019-12,162,LNE
Including IRDs,10 or more,2019-12,201,LNE
Excluding IRDs,"(0,1.5)",2019-12,881,LNE
Excluding IRDs,"[1.5,3)",2019-12,494,LNE
Excluding IRDs,"[3,5)",2019-12,156,LNE
Excluding IRDs,"[5,10)",2019-12,146,LNE
Excluding IRDs,10 or more,2019-12,143,LNE
Including IRDs,"(0,1.5)",2020-01,684,LNE
Including IRDs,"[1.5,3)",2020-01,539,LNE
Including IRDs,"[3,5)",2020-01,208,LNE
Including IRDs,"[5,10)",2020-01,168,LNE
Including IRDs,10 or more,2020-01,225,LNE
Excluding IRDs,"(0,1.5)",2020-01,807,LNE
Excluding IRDs,"[1.5,3)",2020-01,530,LNE
Excluding IRDs,"[3,5)",2020-01,169,LNE
Excluding IRDs,"[5,10)",2020-01,160,LNE
Excluding IRDs,10 or more,2020-01,158,LNE
Including IRDs,"(0,1.5)",2020-02,692,LNE
Including IRDs,"[1.5,3)",2020-02,535,LNE
Including IRDs,"[3,5)",2020-02,211,LNE
Including IRDs,"[5,10)",2020-02,166,LNE
Including IRDs,10 or more,2020-02,220,LNE
Excluding IRDs,"(0,1.5)",2020-02,823,LNE
Excluding IRDs,"[1.5,3)",2020-02,518,LNE
Excluding IRDs,"[3,5)",2020-02,167,LNE
Excluding IRDs,"[5,10)",2020-02,155,LNE
Excluding IRDs,10 or more,2020-02,161,LNE
Including IRDs,"(0,1.5)",2020-03,782,LNE
Including IRDs,"[1.5,3)",2020-03,538,LNE
Including IRDs,"[3,5)",2020-03,200,LNE
Including IRDs,"[5,10)",2020-03,143,LNE
Including IRDs,10 or more,2020-03,161,LNE
Excluding IRDs,"(0,1.5)",2020-03,928,LNE
Excluding IRDs,"[1.5,3)",2020-03,507,LNE
Excluding IRDs,"[3,5)",2020-03,164,LNE
Excluding IRDs,"[5,10)",2020-03,122,LNE
Excluding IRDs,10 or more,2020-03,103,LNE
Including IRDs,"(0,1.5)",2020-04,854,LNE
Including IRDs,"[1.5,3)",2020-04,466,LNE
Including IRDs,"[3,5)",2020-04,184,LNE
Including IRDs,"[5,10)",2020-04,128,LNE
Including IRDs,10 or more,2020-04,179,LNE
Excluding IRDs,"(0,1.5)",2020-04,990,LNE
Excluding IRDs,"[1.5,3)",2020-04,444,LNE
Excluding IRDs,"[3,5)",2020-04,155,LNE
Excluding IRDs,"[5,10)",2020-04,107,LNE
Excluding IRDs,10 or more,2020-04,115,LNE
Including IRDs,"(0,1.5)",2020-05,823,LNE
Including IRDs,"[1.5,3)",2020-05,478,LNE
Including IRDs,"[3,5)",2020-05,181,LNE
Including IRDs,"[5,10)",2020-05,146,LNE
Including IRDs,10 or more,2020-05,183,LNE
Excluding IRDs,"(0,1.5)",2020-05,956,LNE
Excluding IRDs,"[1.5,3)",2020-05,465,LNE
Excluding IRDs,"[3,5)",2020-05,155,LNE
Excluding IRDs,"[5,10)",2020-05,117,LNE
Excluding IRDs,10 or more,2020-05,118,LNE
Including IRDs,"(0,1.5)",2020-06,801,LNE
Including IRDs,"[1.5,3)",2020-06,513,LNE
Including IRDs,"[3,5)",2020-06,173,LNE
Including IRDs,"[5,10)",2020-06,143,LNE
Including IRDs,10 or more,2020-06,181,LNE
Excluding IRDs,"(0,1.5)",2020-06,937,LNE
Excluding IRDs,"[1.5,3)",2020-06,485,LNE
Excluding IRDs,"[3,5)",2020-06,156,LNE
Excluding IRDs,"[5,10)",2020-06,112,LNE
Excluding IRDs,10 or more,2020-06,121,LNE
Including IRDs,"(0,1.5)",2020-07,845,LNE
Including IRDs,"[1.5,3)",2020-07,464,LNE
Including IRDs,"[3,5)",2020-07,165,LNE
Including IRDs,"[5,10)",2020-07,146,LNE
Including IRDs,10 or more,2020-07,157,LNE
Excluding IRDs,"(0,1.5)",2020-07,967,LNE
Excluding IRDs,"[1.5,3)",2020-07,448,LNE
Excluding IRDs,"[3,5)",2020-07,144,LNE
Excluding IRDs,"[5,10)",2020-07,118,LNE
Excluding IRDs,10 or more,2020-07,100,LNE
Including IRDs,"(0,1.5)",2020-08,826,LNE
Including IRDs,"[1.5,3)",2020-08,475,LNE
Including IRDs,"[3,5)",2020-08,160,LNE
Including IRDs,"[5,10)",2020-08,148,LNE
Including IRDs,10 or more,2020-08,168,LNE
Excluding IRDs,"(0,1.5)",2020-08,953,LNE
Excluding IRDs,"[1.5,3)",2020-08,460,LNE
Excluding IRDs,"[3,5)",2020-08,138,LNE
Excluding IRDs,"[5,10)",2020-08,121,LNE
Excluding IRDs,10 or more,2020-08,105,LNE
Including IRDs,"(0,1.5)",2020-09,807,LNE
Including IRDs,"[1.5,3)",2020-09,492,LNE
Including IRDs,"[3,5)",2020-09,166,LNE
Including IRDs,"[5,10)",2020-09,147,LNE
Including IRDs,10 or more,2020-09,153,LNE
Excluding IRDs,"(0,1.5)",2020-09,940,LNE
Excluding IRDs,"[1.5,3)",2020-09,466,LNE
Excluding IRDs,"[3,5)",2020-09,145,LNE
Excluding IRDs,"[5,10)",2020-09,111,LNE
Excluding IRDs,10 or more,2020-09,103,LNE
Including IRDs,"(0,1.5)",2020-10,935,LNE
Including IRDs,"[1.5,3)",2020-10,413,LNE
Including IRDs,"[3,5)",2020-10,152,LNE
Including IRDs,"[5,10)",2020-10,120,LNE
Including IRDs,10 or more,2020-10,170,LNE
Excluding IRDs,"(0,1.5)",2020-10,1052,LNE
Excluding IRDs,"[1.5,3)",2020-10,385,LNE
Excluding IRDs,"[3,5)",2020-10,138,LNE
Excluding IRDs,"[5,10)",2020-10,102,LNE
Excluding IRDs,10 or more,2020-10,113,LNE
Including IRDs,"(0,1.5)",2020-11,883,LNE
Including IRDs,"[1.5,3)",2020-11,442,LNE
Including IRDs,"[3,5)",2020-11,162,LNE
Including IRDs,"[5,10)",2020-11,124,LNE
Including IRDs,10 or more,2020-11,179,LNE
Excluding IRDs,"(0,1.5)",2020-11,997,LNE
Excluding IRDs,"[1.5,3)",2020-11,421,LNE
Excluding IRDs,"[3,5)",2020-11,144,LNE
Excluding IRDs,"[5,10)",2020-11,103,LNE
Excluding IRDs,10 or more,2020-11,125,LNE
Including IRDs,"(0,1.5)",2020-12,846,LNE
Including IRDs,"[1.5,3)",2020-12,469,LNE
Including IRDs,"[3,5)",2020-12,171,LNE
Including IRDs,"[5,10)",2020-12,126,LNE
Including IRDs,10 or more,2020-12,178,LNE
Excluding IRDs,"(0,1.5)",2020-12,972,LNE
Excluding IRDs,"[1.5,3)",2020-12,435,LNE
Excluding IRDs,"[3,5)",2020-12,153,LNE
Excluding IRDs,"[5,10)",2020-12,111,LNE
Excluding IRDs,10 or more,2020-12,119,LNE
Including IRDs,"(0,1.5)",2021-01,950,LNE
Including IRDs,"[1.5,3)",2021-01,442,LNE
Including IRDs,"[3,5)",2021-01,163,LNE
Including IRDs,"[5,10)",2021-01,122,LNE
Including IRDs,10 or more,2021-01,179,LNE
Excluding IRDs,"(0,1.5)",2021-01,1069,LNE
Excluding IRDs,"[1.5,3)",2021-01,417,LNE
Excluding IRDs,"[3,5)",2021-01,145,LNE
Excluding IRDs,"[5,10)",2021-01,118,LNE
Excluding IRDs,10 or more,2021-01,107,LNE
Including IRDs,"(0,1.5)",2021-02,913,LNE
Including IRDs,"[1.5,3)",2021-02,471,LNE
Including IRDs,"[3,5)",2021-02,154,LNE
Including IRDs,"[5,10)",2021-02,135,LNE
Including IRDs,10 or more,2021-02,183,LNE
Excluding IRDs,"(0,1.5)",2021-02,1039,LNE
Excluding IRDs,"[1.5,3)",2021-02,432,LNE
Excluding IRDs,"[3,5)",2021-02,150,LNE
Excluding IRDs,"[5,10)",2021-02,122,LNE
Excluding IRDs,10 or more,2021-02,113,LNE
Including IRDs,"(0,1.5)",2021-03,900,LNE
Including IRDs,"[1.5,3)",2021-03,483,LNE
Including IRDs,"[3,5)",2021-03,156,LNE
Including IRDs,"[5,10)",2021-03,135,LNE
Including IRDs,10 or more,2021-03,182,LNE
Excluding IRDs,"(0,1.5)",2021-03,1035,LNE
Excluding IRDs,"[1.5,3)",2021-03,431,LNE
Excluding IRDs,"[3,5)",2021-03,157,LNE
Excluding IRDs,"[5,10)",2021-03,120,LNE
Excluding IRDs,10 or more,2021-03,113,LNE
Including IRDs,"(0,1.5)",2021-04,980,LNE
Including IRDs,"[1.5,3)",2021-04,464,LNE
Including IRDs,"[3,5)",2021-04,158,LNE
Including IRDs,"[5,10)",2021-04,133,LNE
Including IRDs,10 or more,2021-04,191,LNE
Excluding IRDs,"(0,1.5)",2021-04,1099,LNE
Excluding IRDs,"[1.5,3)",2021-04,433,LNE
Excluding IRDs,"[3,5)",2021-04,146,LNE
Excluding IRDs,"[5,10)",2021-04,125,LNE
Excluding IRDs,10 or more,2021-04,123,LNE
Including IRDs,"(0,1.5)",2021-05,1014,LNE
Including IRDs,"[1.5,3)",2021-05,460,LNE
Including IRDs,"[3,5)",2021-05,162,LNE
Including IRDs,"[5,10)",2021-05,137,LNE
Including IRDs,10 or more,2021-05,190,LNE
Excluding IRDs,"(0,1.5)",2021-05,1132,LNE
Excluding IRDs,"[1.5,3)",2021-05,426,LNE
Excluding IRDs,"[3,5)",2021-05,143,LNE
Excluding IRDs,"[5,10)",2021-05,138,LNE
Excluding IRDs,10 or more,2021-05,124,LNE
Including IRDs,"(0,1.5)",2021-06,965,LNE
Including IRDs,"[1.5,3)",2021-06,500,LNE
Including IRDs,"[3,5)",2021-06,164,LNE
Including IRDs,"[5,10)",2021-06,140,LNE
Including IRDs,10 or more,2021-06,194,LNE
Excluding IRDs,"(0,1.5)",2021-06,1104,LNE
Excluding IRDs,"[1.5,3)",2021-06,440,LNE
Excluding IRDs,"[3,5)",2021-06,152,LNE
Excluding IRDs,"[5,10)",2021-06,141,LNE
Excluding IRDs,10 or more,2021-06,126,LNE
Including IRDs,"(0,1.5)",2021-07,1057,LNE
Including IRDs,"[1.5,3)",2021-07,475,LNE
Including IRDs,"[3,5)",2021-07,161,LNE
Including IRDs,"[5,10)",2021-07,134,LNE
Including IRDs,10 or more,2021-07,181,LNE
Excluding IRDs,"(0,1.5)",2021-07,1185,LNE
Excluding IRDs,"[1.5,3)",2021-07,426,LNE
Excluding IRDs,"[3,5)",2021-07,146,LNE
Excluding IRDs,"[5,10)",2021-07,137,LNE
Excluding IRDs,10 or more,2021-07,114,LNE
Including IRDs,"(0,1.5)",2021-08,1040,LNE
Including IRDs,"[1.5,3)",2021-08,500,LNE
Including IRDs,"[3,5)",2021-08,153,LNE
Including IRDs,"[5,10)",2021-08,137,LNE
Including IRDs,10 or more,2021-08,182,LNE
Excluding IRDs,"(0,1.5)",2021-08,1179,LNE
Excluding IRDs,"[1.5,3)",2021-08,431,LNE
Excluding IRDs,"[3,5)",2021-08,148,LNE
Excluding IRDs,"[5,10)",2021-08,131,LNE
Excluding IRDs,10 or more,2021-08,123,LNE
Including IRDs,"(0,1.5)",2021-09,1010,LNE
Including IRDs,"[1.5,3)",2021-09,515,LNE
Including IRDs,"[3,5)",2021-09,172,LNE
Including IRDs,"[5,10)",2021-09,136,LNE
Including IRDs,10 or more,2021-09,179,LNE
Excluding IRDs,"(0,1.5)",2021-09,1152,LNE
Excluding IRDs,"[1.5,3)",2021-09,454,LNE
Excluding IRDs,"[3,5)",2021-09,154,LNE
Excluding IRDs,"[5,10)",2021-09,132,LNE
Excluding IRDs,10 or more,2021-09,120,LNE
Including IRDs,"(0,1.5)",2021-10,1049,LNE
Including IRDs,"[1.5,3)",2021-10,511,LNE
Including IRDs,"[3,5)",2021-10,172,LNE
Including IRDs,"[5,10)",2021-10,143,LNE
Including IRDs,10 or more,2021-10,192,LNE
Excluding IRDs,"(0,1.5)",2021-10,1182,LNE
Excluding IRDs,"[1.5,3)",2021-10,459,LNE
Excluding IRDs,"[3,5)",2021-10,164,LNE
Excluding IRDs,"[5,10)",2021-10,133,LNE
Excluding IRDs,10 or more,2021-10,129,LNE
Including IRDs,"(0,1.5)",2021-11,1052,LNE
Including IRDs,"[1.5,3)",2021-11,516,LNE
Including IRDs,"[3,5)",2021-11,170,LNE
Including IRDs,"[5,10)",2021-11,145,LNE
Including IRDs,10 or more,2021-11,187,LNE
Excluding IRDs,"(0,1.5)",2021-11,1195,LNE
Excluding IRDs,"[1.5,3)",2021-11,462,LNE
Excluding IRDs,"[3,5)",2021-11,159,LNE
Excluding IRDs,"[5,10)",2021-11,134,LNE
Excluding IRDs,10 or more,2021-11,120,LNE
Including IRDs,"(0,1.5)",2021-12,1024,LNE
Including IRDs,"[1.5,3)",2021-12,548,LNE
Including IRDs,"[3,5)",2021-12,162,LNE
Including IRDs,"[5,10)",2021-12,149,LNE
Including IRDs,10 or more,2021-12,187,LNE
Excluding IRDs,"(0,1.5)",2021-12,1165,LNE
Excluding IRDs,"[1.5,3)",2021-12,499,LNE
Excluding IRDs,"[3,5)",2021-12,149,LNE
Excluding IRDs,"[5,10)",2021-12,138,LNE
Excluding IRDs,10 or more,2021-12,119,LNE
Including IRDs,"(0,1.5)",2022-01,1083,LNE
Including IRDs,"[1.5,3)",2022-01,498,LNE
Including IRDs,"[3,5)",2022-01,165,LNE
Including IRDs,"[5,10)",2022-01,159,LNE
Including IRDs,10 or more,2022-01,182,LNE
Excluding IRDs,"(0,1.5)",2022-01,1204,LNE
Excluding IRDs,"[1.5,3)",2022-01,468,LNE
Excluding IRDs,"[3,5)",2022-01,152,LNE
Excluding IRDs,"[5,10)",2022-01,136,LNE
Excluding IRDs,10 or more,2022-01,127,LNE
Including IRDs,"(0,1.5)",2022-02,1074,LNE
Including IRDs,"[1.5,3)",2022-02,506,LNE
Including IRDs,"[3,5)",2022-02,167,LNE
Including IRDs,"[5,10)",2022-02,158,LNE
Including IRDs,10 or more,2022-02,185,LNE
Excluding IRDs,"(0,1.5)",2022-02,1211,LNE
Excluding IRDs,"[1.5,3)",2022-02,469,LNE
Excluding IRDs,"[3,5)",2022-02,148,LNE
Excluding IRDs,"[5,10)",2022-02,139,LNE
Excluding IRDs,10 or more,2022-02,123,LNE
Including IRDs,"(0,1.5)",2022-03,1048,LNE
Including IRDs,"[1.5,3)",2022-03,553,LNE
Including IRDs,"[3,5)",2022-03,163,LNE
Including IRDs,"[5,10)",2022-03,149,LNE
Including IRDs,10 or more,2022-03,177,LNE
Excluding IRDs,"(0,1.5)",2022-03,1189,LNE
Excluding IRDs,"[1.5,3)",2022-03,509,LNE
Excluding IRDs,"[3,5)",2022-03,138,LNE
Excluding IRDs,"[5,10)",2022-03,132,LNE
Excluding IRDs,10 or more,2022-03,122,LNE
Including IRDs,"(0,1.5)",2022-04,1061,LNE
Including IRDs,"[1.5,3)",2022-04,537,LNE
Including IRDs,"[3,5)",2022-04,177,LNE
Including IRDs,"[5,10)",2022-04,150,LNE
Including IRDs,10 or more,2022-04,173,LNE
Excluding IRDs,"(0,1.5)",2022-04,1207,LNE
Excluding IRDs,"[1.5,3)",2022-04,500,LNE
Excluding IRDs,"[3,5)",2022-04,155,LNE
Excluding IRDs,"[5,10)",2022-04,125,LNE
Excluding IRDs,10 or more,2022-04,111,LNE
Including IRDs,"(0,1.5)",2022-05,1032,LNE
Including IRDs,"[1.5,3)",2022-05,529,LNE
Including IRDs,"[3,5)",2022-05,170,LNE
Including IRDs,"[5,10)",2022-05,144,LNE
Including IRDs,10 or more,2022-05,182,LNE
Excluding IRDs,"(0,1.5)",2022-05,1166,LNE
Excluding IRDs,"[1.5,3)",2022-05,505,LNE
Excluding IRDs,"[3,5)",2022-05,143,LNE
Excluding IRDs,"[5,10)",2022-05,127,LNE
Excluding IRDs,10 or more,2022-05,116,LNE
Including IRDs,"(0,1.5)",2022-06,1026,LNE
Including IRDs,"[1.5,3)",2022-06,548,LNE
Including IRDs,"[3,5)",2022-06,171,LNE
Including IRDs,"[5,10)",2022-06,134,LNE
Including IRDs,10 or more,2022-06,178,LNE
Excluding IRDs,"(0,1.5)",2022-06,1173,LNE
Excluding IRDs,"[1.5,3)",2022-06,523,LNE
Excluding IRDs,"[3,5)",2022-06,130,LNE
Excluding IRDs,"[5,10)",2022-06,119,LNE
Excluding IRDs,10 or more,2022-06,112,LNE
Including IRDs,"(0,1.5)",2022-07,1030,LNE
Including IRDs,"[1.5,3)",2022-07,512,LNE
Including IRDs,"[3,5)",2022-07,166,LNE
Including IRDs,"[5,10)",2022-07,153,LNE
Including IRDs,10 or more,2022-07,173,LNE
Excluding IRDs,"(0,1.5)",2022-07,1168,LNE
Excluding IRDs,"[1.5,3)",2022-07,494,LNE
Excluding IRDs,"[3,5)",2022-07,135,LNE
Excluding IRDs,"[5,10)",2022-07,126,LNE
Excluding IRDs,10 or more,2022-07,111,LNE
Including IRDs,"(0,1.5)",2022-08,1024,LNE
Including IRDs,"[1.5,3)",2022-08,520,LNE
Including IRDs,"[3,5)",2022-08,170,LNE
Including IRDs,"[5,10)",2022-08,146,LNE
Including IRDs,10 or more,2022-08,174,LNE
Excluding IRDs,"(0,1.5)",2022-08,1167,LNE
Excluding IRDs,"[1.5,3)",2022-08,496,LNE
Excluding IRDs,"[3,5)",2022-08,132,LNE
Excluding IRDs,"[5,10)",2022-08,126,LNE
Excluding IRDs,10 or more,2022-08,113,LNE
Including IRDs,"(0,1.5)",2022-09,1008,LNE
Including IRDs,"[1.5,3)",2022-09,540,LNE
Including IRDs,"[3,5)",2022-09,192,LNE
Including IRDs,"[5,10)",2022-09,132,LNE
Including IRDs,10 or more,2022-09,164,LNE
Excluding IRDs,"(0,1.5)",2022-09,1163,LNE
Excluding IRDs,"[1.5,3)",2022-09,507,LNE
Excluding IRDs,"[3,5)",2022-09,142,LNE
Excluding IRDs,"[5,10)",2022-09,122,LNE
Excluding IRDs,10 or more,2022-09,102,LNE
Including IRDs,"(0,1.5)",2022-10,1075,LNE
Including IRDs,"[1.5,3)",2022-10,511,LNE
Including IRDs,"[3,5)",2022-10,146,LNE
Including IRDs,"[5,10)",2022-10,130,LNE
Including IRDs,10 or more,2022-10,209,LNE
Excluding IRDs,"(0,1.5)",2022-10,1208,LNE
Excluding IRDs,"[1.5,3)",2022-10,476,LNE
Excluding IRDs,"[3,5)",2022-10,123,LNE
Excluding IRDs,"[5,10)",2022-10,127,LNE
Excluding IRDs,10 or more,2022-10,137,LNE
Including IRDs,"(0,1.5)",2022-11,1061,LNE
Including IRDs,"[1.5,3)",2022-11,514,LNE
Including IRDs,"[3,5)",2022-11,151,LNE
Including IRDs,"[5,10)",2022-11,141,LNE
Including IRDs,10 or more,2022-11,204,LNE
Excluding IRDs,"(0,1.5)",2022-11,1208,LNE
Excluding IRDs,"[1.5,3)",2022-11,469,LNE
Excluding IRDs,"[3,5)",2022-11,126,LNE
Excluding IRDs,"[5,10)",2022-11,126,LNE
Excluding IRDs,10 or more,2022-11,142,LNE
Including IRDs,"(0,1.5)",2022-12,1039,LNE
Including IRDs,"[1.5,3)",2022-12,530,LNE
Including IRDs,"[3,5)",2022-12,169,LNE
Including IRDs,"[5,10)",2022-12,137,LNE
Including IRDs,10 or more,2022-12,195,LNE
Excluding IRDs,"(0,1.5)",2022-12,1195,LNE
Excluding IRDs,"[1.5,3)",2022-12,465,LNE
Excluding IRDs,"[3,5)",2022-12,148,LNE
Excluding IRDs,"[5,10)",2022-12,123,LNE
Excluding IRDs,10 or more,2022-12,139,LNE
Including IRDs,"(0,1.5)",2023-01,1068,LNE
Including IRDs,"[1.5,3)",2023-01,492,LNE
Including IRDs,"[3,5)",2023-01,153,LNE
Including IRDs,"[5,10)",2023-01,136,LNE
Including IRDs,10 or more,2023-01,191,LNE
Excluding IRDs,"(0,1.5)",2023-01,1199,LNE
Excluding IRDs,"[1.5,3)",2023-01,446,LNE
Excluding IRDs,"[3,5)",2023-01,139,LNE
Excluding IRDs,"[5,10)",2023-01,120,LNE
Excluding IRDs,10 or more,2023-01,136,LNE
Including IRDs,"(0,1.5)",2023-02,1084,LNE
Including IRDs,"[1.5,3)",2023-02,483,LNE
Including IRDs,"[3,5)",2023-02,146,LNE
Including IRDs,"[5,10)",2023-02,141,LNE
Including IRDs,10 or more,2023-02,188,LNE
Excluding IRDs,"(0,1.5)",2023-02,1209,LNE
Excluding IRDs,"[1.5,3)",2023-02,450,LNE
Excluding IRDs,"[3,5)",2023-02,134,LNE
Excluding IRDs,"[5,10)",2023-02,119,LNE
Excluding IRDs,10 or more,2023-02,130,LNE
Including IRDs,"(0,1.5)",2023-03,1051,LNE
Including IRDs,"[1.5,3)",2023-03,522,LNE
Including IRDs,"[3,5)",2023-03,164,LNE
Including IRDs,"[5,10)",2023-03,126,LNE
Including IRDs,10 or more,2023-03,179,LNE
Excluding IRDs,"(0,1.5)",2023-03,1195,LNE
Excluding IRDs,"[1.5,3)",2023-03,481,LNE
Excluding IRDs,"[3,5)",2023-03,135,LNE
Excluding IRDs,"[5,10)",2023-03,99,LNE
Excluding IRDs,10 or more,2023-03,132,LNE
Including IRDs,"(0,1.5)",2023-04,1134,LNE
Including IRDs,"[1.5,3)",2023-04,474,LNE
Including IRDs,"[3,5)",2023-04,157,LNE
Including IRDs,"[5,10)",2023-04,134,LNE
Including IRDs,10 or more,2023-04,190,LNE
Excluding IRDs,"(0,1.5)",2023-04,1260,LNE
Excluding IRDs,"[1.5,3)",2023-04,435,LNE
Excluding IRDs,"[3,5)",2023-04,154,LNE
Excluding IRDs,"[5,10)",2023-04,109,LNE
Excluding IRDs,10 or more,2023-04,131,LNE
Including IRDs,"(0,1.5)",2023-05,1141,LNE
Including IRDs,"[1.5,3)",2023-05,474,LNE
Including IRDs,"[3,5)",2023-05,152,LNE
Including IRDs,"[5,10)",2023-05,125,LNE
Including IRDs,10 or more,2023-05,195,LNE
Excluding IRDs,"(0,1.5)",2023-05,1278,LNE
Excluding IRDs,"[1.5,3)",2023-05,425,LNE
Excluding IRDs,"[3,5)",2023-05,136,LNE
Excluding IRDs,"[5,10)",2023-05,115,LNE
Excluding IRDs,10 or more,2023-05,133,LNE
Including IRDs,"(0,1.5)",2023-06,1077,LNE
Including IRDs,"[1.5,3)",2023-06,528,LNE
Including IRDs,"[3,5)",2023-06,163,LNE
Including IRDs,"[5,10)",2023-06,125,LNE
Including IRDs,10 or more,2023-06,194,LNE
Excluding IRDs,"(0,1.5)",2023-06,1221,LNE
Excluding IRDs,"[1.5,3)",2023-06,470,LNE
Excluding IRDs,"[3,5)",2023-06,143,LNE
Excluding IRDs,"[5,10)",2023-06,120,LNE
Excluding IRDs,10 or more,2023-06,133,LNE
Including IRDs,"(0,1.5)",2023-07,1132,LNE
Including IRDs,"[1.5,3)",2023-07,496,LNE
Including IRDs,"[3,5)",2023-07,149,LNE
Including IRDs,"[5,10)",2023-07,122,LNE
Including IRDs,10 or more,2023-07,198,LNE
Excluding IRDs,"(0,1.5)",2023-07,1271,LNE
Excluding IRDs,"[1.5,3)",2023-07,439,LNE
Excluding IRDs,"[3,5)",2023-07,131,LNE
Excluding IRDs,"[5,10)",2023-07,116,LNE
Excluding IRDs,10 or more,2023-07,140,LNE
Including IRDs,"(0,1.5)",2023-08,1139,LNE
Including IRDs,"[1.5,3)",2023-08,497,LNE
Including IRDs,"[3,5)",2023-08,139,LNE
Including IRDs,"[5,10)",2023-08,127,LNE
