exposure,ratio_bucket,month,fund_count,exposure_type
Excluding IRDs,"(0,1.5)",2013-11,1025,GNE
Excluding IRDs,"[1.5,3)",2013-11,815,GNE
Excluding IRDs,"[3,5)",2013-11,349,GNE
Excluding IRDs,"[5,10)",2013-11,246,GNE
Excluding IRDs,10 or more,2013-11,152,GNE
Including IRDs,"(0,1.5)",2013-12,723,GNE
Including IRDs,"[1.5,3)",2013-12,852,GNE
Including IRDs,"[3,5)",2013-12,434,GNE
Including IRDs,"[5,10)",2013-12,285,GNE
Including IRDs,10 or more,2013-12,292,GNE
Excluding IRDs,"(0,1.5)",2013-12,976,GNE
Excluding IRDs,"[1.5,3)",2013-12,901,GNE
Excluding IRDs,"[3,5)",2013-12,312,GNE
Excluding IRDs,"[5,10)",2013-12,248,GNE
Excluding IRDs,10 or more,2013-12,150,GNE
Including IRDs,"(0,1.5)",2014-01,776,GNE
Including IRDs,"[1.5,3)",2014-01,924,GNE
Including IRDs,"[3,5)",2014-01,392,GNE
Including IRDs,"[5,10)",2014-01,304,GNE
Including IRDs,10 or more,2014-01,291,GNE
Excluding IRDs,"(0,1.5)",2014-01,1107,GNE
Excluding IRDs,"[1.5,3)",2014-01,828,GNE
Excluding IRDs,"[3,5)",2014-01,365,GNE
Excluding IRDs,"[5,10)",2014-01,232,GNE
Excluding IRDs,10 or more,2014-01,155,GNE
Including IRDs,"(0,1.5)",2014-02,745,GNE
Including IRDs,"[1.5,3)",2014-02,883,GNE
Including IRDs,"[3,5)",2014-02,347,GNE
Including IRDs,"[5,10)",2014-02,400,GNE
Including IRDs,10 or more,2014-02,287,GNE
Excluding IRDs,"(0,1.5)",2014-02,1082,GNE
Excluding IRDs,"[1.5,3)",2014-02,809,GNE
Excluding IRDs,"[3,5)",2014-02,371,GNE
Excluding IRDs,"[5,10)",2014-02,222,GNE
Excluding IRDs,10 or more,2014-02,179,GNE
Including IRDs,"(0,1.5)",2014-03,732,GNE
Including IRDs,"[1.5,3)",2014-03,925,GNE
Including IRDs,"[3,5)",2014-03,394,GNE
Including IRDs,"[5,10)",2014-03,324,GNE
Including IRDs,10 or more,2014-03,289,GNE
Excluding IRDs,"(0,1.5)",2014-03,1032,GNE
Excluding IRDs,"[1.5,3)",2014-03,862,GNE
Excluding IRDs,"[3,5)",2014-03,355,GNE
Excluding IRDs,"[5,10)",2014-03,251,GNE
Excluding IRDs,10 or more,2014-03,164,GNE
Including IRDs,"(0,1.5)",2014-04,888,GNE
Including IRDs,"[1.5,3)",2014-04,958,GNE
Including IRDs,"[3,5)",2014-04,363,GNE
Including IRDs,"[5,10)",2014-04,297,GNE
Including IRDs,10 or more,2014-04,311,GNE
Excluding IRDs,"(0,1.5)",2014-04,1160,GNE
Excluding IRDs,"[1.5,3)",2014-04,943,GNE
Excluding IRDs,"[3,5)",2014-04,319,GNE
Excluding IRDs,"[5,10)",2014-04,222,GNE
Excluding IRDs,10 or more,2014-04,174,GNE
Including IRDs,"(0,1.5)",2014-05,792,GNE
Including IRDs,"[1.5,3)",2014-05,1008,GNE
Including IRDs,"[3,5)",2014-05,338,GNE
Including IRDs,"[5,10)",2014-05,346,GNE
Including IRDs,10 or more,2014-05,334,GNE
Excluding IRDs,"(0,1.5)",2014-05,1120,GNE
Excluding IRDs,"[1.5,3)",2014-05,982,GNE
Excluding IRDs,"[3,5)",2014-05,322,GNE
Excluding IRDs,"[5,10)",2014-05,209,GNE
Excluding IRDs,10 or more,2014-05,186,GNE
Including IRDs,"(0,1.5)",2014-06,828,GNE
