period,quarter,cumulative_pct,liquidity_type
At most 7 days,2018Q2,0.152,investor_liquidity
At most 30 days,2018Q2,0.278,investor_liquidity
At most 90 days,2018Q2,0.475,investor_liquidity
At most 180 days,2018Q2,0.588,investor_liquidity
At most 365 days,2018Q2,0.735,investor_liquidity
At most 1 day,2018Q3,0.088,investor_liquidity
At most 7 days,2018Q3,0.149,investor_liquidity
At most 30 days,2018Q3,0.277,investor_liquidity
At most 90 days,2018Q3,0.479,investor_liquidity
At most 180 days,2018Q3,0.612,investor_liquidity
At most 365 days,2018Q3,0.736,investor_liquidity
At most 1 day,2018Q4,0.084,investor_liquidity
At most 7 days,2018Q4,0.148,investor_liquidity
At most 30 days,2018Q4,0.278,investor_liquidity
At most 90 days,2018Q4,0.502,investor_liquidity
At most 180 days,2018Q4,0.584,investor_liquidity
At most 365 days,2018Q4,0.718,investor_liquidity
At most 1 day,2019Q1,0.085,investor_liquidity
At most 7 days,2019Q1,0.145,investor_liquidity
At most 30 days,2019Q1,0.292,investor_liquidity
At most 90 days,2019Q1,0.479,investor_liquidity
At most 180 days,2019Q1,0.586,investor_liquidity
At most 365 days,2019Q1,0.708,investor_liquidity
At most 1 day,2019Q2,0.081,investor_liquidity
At most 7 days,2019Q2,0.14,investor_liquidity
At most 30 days,2019Q2,0.273,investor_liquidity
At most 90 days,2019Q2,0.465,investor_liquidity
At most 180 days,2019Q2,0.574,investor_liquidity
At most 365 days,2019Q2,0.702,investor_liquidity
At most 1 day,2019Q3,0.076,investor_liquidity
At most 7 days,2019Q3,0.138,investor_liquidity
At most 30 days,2019Q3,0.27,investor_liquidity
At most 90 days,2019Q3,0.47,investor_liquidity
At most 180 days,2019Q3,0.586,investor_liquidity
At most 365 days,2019Q3,0.697,investor_liquidity
At most 1 day,2019Q4,0.077,investor_liquidity
At most 7 days,2019Q4,0.131,investor_liquidity
At most 30 days,2019Q4,0.265,investor_liquidity
At most 90 days,2019Q4,0.463,investor_liquidity
At most 180 days,2019Q4,0.57,investor_liquidity
At most 365 days,2019Q4,0.689,investor_liquidity
At most 1 day,2020Q1,0.078,investor_liquidity
At most 7 days,2020Q1,0.129,investor_liquidity
At most 30 days,2020Q1,0.258,investor_liquidity
At most 90 days,2020Q1,0.445,investor_liquidity
At most 180 days,2020Q1,0.554,investor_liquidity
At most 365 days,2020Q1,0.676,investor_liquidity
At most 1 day,2020Q2,0.076,investor_liquidity
At most 7 days,2020Q2,0.131,investor_liquidity
At most 30 days,2020Q2,0.247,investor_liquidity
At most 90 days,2020Q2,0.43,investor_liquidity
At most 180 days,2020Q2,0.535,investor_liquidity
At most 365 days,2020Q2,0.67,investor_liquidity
At most 1 day,2020Q3,0.077,investor_liquidity
