period,quarter,cumulative_pct,liquidity_type
At most 7 days,2023Q1,0.489,portfolio_liquidity
At most 30 days,2023Q1,0.591,portfolio_liquidity
At most 90 days,2023Q1,0.651,portfolio_liquidity
At most 180 days,2023Q1,0.707,portfolio_liquidity
At most 365 days,2023Q1,0.765,portfolio_liquidity
At most 1 day,2023Q2,0.312,portfolio_liquidity
At most 7 days,2023Q2,0.491,portfolio_liquidity
At most 30 days,2023Q2,0.596,portfolio_liquidity
At most 90 days,2023Q2,0.656,portfolio_liquidity
At most 180 days,2023Q2,0.706,portfolio_liquidity
At most 365 days,2023Q2,0.766,portfolio_liquidity
At most 1 day,2023Q3,0.303,portfolio_liquidity
At most 7 days,2023Q3,0.483,portfolio_liquidity
At most 30 days,2023Q3,0.582,portfolio_liquidity
At most 90 days,2023Q3,0.643,portfolio_liquidity
At most 180 days,2023Q3,0.694,portfolio_liquidity
At most 365 days,2023Q3,0.757,portfolio_liquidity
At most 1 day,2023Q4,0.307,portfolio_liquidity
At most 7 days,2023Q4,0.487,portfolio_liquidity
At most 30 days,2023Q4,0.59,portfolio_liquidity
At most 90 days,2023Q4,0.652,portfolio_liquidity
At most 180 days,2023Q4,0.699,portfolio_liquidity
At most 365 days,2023Q4,0.761,portfolio_liquidity
At most 1 day,2024Q1,0.308,portfolio_liquidity
At most 7 days,2024Q1,0.488,portfolio_liquidity
At most 30 days,2024Q1,0.592,portfolio_liquidity
At most 90 days,2024Q1,0.652,portfolio_liquidity
At most 180 days,2024Q1,0.699,portfolio_liquidity
At most 365 days,2024Q1,0.761,portfolio_liquidity
At most 1 day,2024Q2,0.312,portfolio_liquidity
At most 7 days,2024Q2,0.49,portfolio_liquidity
At most 30 days,2024Q2,0.593,portfolio_liquidity
At most 90 days,2024Q2,0.65,portfolio_liquidity
At most 180 days,2024Q2,0.697,portfolio_liquidity
At most 365 days,2024Q2,0.759,portfolio_liquidity
At most 1 day,2024Q3,0.31,portfolio_liquidity
At most 7 days,2024Q3,0.487,portfolio_liquidity
At most 30 days,2024Q3,0.59,portfolio_liquidity
At most 90 days,2024Q3,0.65,portfolio_liquidity
At most 180 days,2024Q3,0.696,portfolio_liquidity
At most 365 days,2024Q3,0.759,portfolio_liquidity
At most 1 day,2024Q4,0.313,portfolio_liquidity
At most 7 days,2024Q4,0.494,portfolio_liquidity
At most 30 days,2024Q4,0.596,portfolio_liquidity
At most 90 days,2024Q4,0.653,portfolio_liquidity
At most 180 days,2024Q4,0.699,portfolio_liquidity
At most 365 days,2024Q4,0.761,portfolio_liquidity
At most 1 day,2025Q1,0.335,portfolio_liquidity
At most 7 days,2025Q1,0.509,portfolio_liquidity
At most 30 days,2025Q1,0.603,portfolio_liquidity
At most 90 days,2025Q1,0.654,portfolio_liquidity
At most 180 days,2025Q1,0.698,portfolio_liquidity
At most 365 days,2025Q1,0.757,portfolio_liquidity
At most 1 day,2013Q1,0.452,financing_liquidity
At most 7 days,2013Q1,0.579,financing_liquidity
At most 30 days,2013Q1,0.673,financing_liquidity
At most 90 days,2013Q1,0.841,financing_liquidity
At most 180 days,2013Q1,0.959,financing_liquidity
At most 365 days,2013Q1,0.978,financing_liquidity
At most 1 day,2013Q2,0.475,financing_liquidity
At most 7 days,2013Q2,0.573,financing_liquidity
At most 30 days,2013Q2,0.659,financing_liquidity
At most 90 days,2013Q2,0.843,financing_liquidity
At most 180 days,2013Q2,0.961,financing_liquidity
At most 365 days,2013Q2,0.978,financing_liquidity
At most 1 day,2013Q3,0.487,financing_liquidity
At most 7 days,2013Q3,0.56,financing_liquidity
At most 30 days,2013Q3,0.65,financing_liquidity
At most 90 days,2013Q3,0.851,financing_liquidity
At most 180 days,2013Q3,0.965,financing_liquidity
At most 365 days,2013Q3,0.981,financing_liquidity
At most 1 day,2013Q4,0.421,financing_liquidity
At most 7 days,2013Q4,0.511,financing_liquidity
At most 30 days,2013Q4,0.628,financing_liquidity
At most 90 days,2013Q4,0.831,financing_liquidity
At most 180 days,2013Q4,0.961,financing_liquidity
At most 365 days,2013Q4,0.979,financing_liquidity
At most 1 day,2014Q1,0.449,financing_liquidity
At most 7 days,2014Q1,0.523,financing_liquidity
At most 30 days,2014Q1,0.626,financing_liquidity
At most 90 days,2014Q1,0.831,financing_liquidity
At most 180 days,2014Q1,0.966,financing_liquidity
At most 365 days,2014Q1,0.982,financing_liquidity
At most 1 day,2014Q2,0.451,financing_liquidity
At most 7 days,2014Q2,0.529,financing_liquidity
At most 30 days,2014Q2,0.642,financing_liquidity
At most 90 days,2014Q2,0.834,financing_liquidity
At most 180 days,2014Q2,0.959,financing_liquidity
At most 365 days,2014Q2,0.982,financing_liquidity
At most 1 day,2014Q3,0.438,financing_liquidity
At most 7 days,2014Q3,0.521,financing_liquidity
At most 30 days,2014Q3,0.655,financing_liquidity
At most 90 days,2014Q3,0.828,financing_liquidity
At most 180 days,2014Q3,0.959,financing_liquidity
At most 365 days,2014Q3,0.981,financing_liquidity
At most 1 day,2014Q4,0.396,financing_liquidity
At most 7 days,2014Q4,0.505,financing_liquidity
At most 30 days,2014Q4,0.639,financing_liquidity
At most 90 days,2014Q4,0.821,financing_liquidity
At most 180 days,2014Q4,0.955,financing_liquidity
At most 365 days,2014Q4,0.979,financing_liquidity
At most 1 day,2015Q1,0.446,financing_liquidity
At most 7 days,2015Q1,0.526,financing_liquidity
At most 30 days,2015Q1,0.653,financing_liquidity
At most 90 days,2015Q1,0.803,financing_liquidity
At most 180 days,2015Q1,0.958,financing_liquidity
At most 365 days,2015Q1,0.982,financing_liquidity
At most 1 day,2015Q2,0.435,financing_liquidity
At most 7 days,2015Q2,0.517,financing_liquidity
At most 30 days,2015Q2,0.635,financing_liquidity
At most 90 days,2015Q2,0.79,financing_liquidity
At most 180 days,2015Q2,0.948,financing_liquidity
At most 365 days,2015Q2,0.978,financing_liquidity
At most 1 day,2015Q3,0.44,financing_liquidity
At most 7 days,2015Q3,0.533,financing_liquidity
At most 30 days,2015Q3,0.653,financing_liquidity
At most 90 days,2015Q3,0.795,financing_liquidity
At most 180 days,2015Q3,0.951,financing_liquidity
At most 365 days,2015Q3,0.976,financing_liquidity
At most 1 day,2015Q4,0.31,financing_liquidity
At most 7 days,2015Q4,0.388,financing_liquidity
At most 30 days,2015Q4,0.662,financing_liquidity
At most 90 days,2015Q4,0.777,financing_liquidity
At most 180 days,2015Q4,0.89,financing_liquidity
At most 365 days,2015Q4,0.983,financing_liquidity
At most 1 day,2016Q1,0.433,financing_liquidity
At most 7 days,2016Q1,0.527,financing_liquidity
At most 30 days,2016Q1,0.666,financing_liquidity
At most 90 days,2016Q1,0.818,financing_liquidity
At most 180 days,2016Q1,0.962,financing_liquidity
At most 365 days,2016Q1,0.976,financing_liquidity
At most 1 day,2016Q2,0.434,financing_liquidity
At most 7 days,2016Q2,0.527,financing_liquidity
At most 30 days,2016Q2,0.657,financing_liquidity
At most 90 days,2016Q2,0.817,financing_liquidity
At most 180 days,2016Q2,0.96,financing_liquidity
At most 365 days,2016Q2,0.974,financing_liquidity
At most 1 day,2016Q3,0.37,financing_liquidity
At most 7 days,2016Q3,0.535,financing_liquidity
At most 30 days,2016Q3,0.651,financing_liquidity
At most 90 days,2016Q3,0.808,financing_liquidity
At most 180 days,2016Q3,0.961,financing_liquidity
At most 365 days,2016Q3,0.975,financing_liquidity
At most 1 day,2016Q4,0.356,financing_liquidity
At most 7 days,2016Q4,0.479,financing_liquidity
At most 30 days,2016Q4,0.639,financing_liquidity
At most 90 days,2016Q4,0.81,financing_liquidity
At most 180 days,2016Q4,0.959,financing_liquidity
At most 365 days,2016Q4,0.973,financing_liquidity
At most 1 day,2017Q1,0.36,financing_liquidity
At most 7 days,2017Q1,0.527,financing_liquidity
At most 30 days,2017Q1,0.648,financing_liquidity
At most 90 days,2017Q1,0.801,financing_liquidity
At most 180 days,2017Q1,0.96,financing_liquidity
At most 365 days,2017Q1,0.973,financing_liquidity
At most 1 day,2017Q2,0.344,financing_liquidity
At most 7 days,2017Q2,0.532,financing_liquidity
At most 30 days,2017Q2,0.653,financing_liquidity
At most 90 days,2017Q2,0.808,financing_liquidity
At most 180 days,2017Q2,0.961,financing_liquidity
At most 365 days,2017Q2,0.974,financing_liquidity
At most 1 day,2017Q3,0.352,financing_liquidity
At most 7 days,2017Q3,0.516,financing_liquidity
At most 30 days,2017Q3,0.64,financing_liquidity
At most 90 days,2017Q3,0.792,financing_liquidity
At most 180 days,2017Q3,0.96,financing_liquidity
At most 365 days,2017Q3,0.973,financing_liquidity
At most 1 day,2017Q4,0.343,financing_liquidity
At most 7 days,2017Q4,0.497,financing_liquidity
At most 30 days,2017Q4,0.649,financing_liquidity
At most 90 days,2017Q4,0.803,financing_liquidity
At most 180 days,2017Q4,0.959,financing_liquidity
At most 365 days,2017Q4,0.972,financing_liquidity
At most 1 day,2018Q1,0.318,financing_liquidity
At most 7 days,2018Q1,0.517,financing_liquidity
At most 30 days,2018Q1,0.652,financing_liquidity
At most 90 days,2018Q1,0.805,financing_liquidity
At most 180 days,2018Q1,0.958,financing_liquidity
At most 365 days,2018Q1,0.969,financing_liquidity
At most 1 day,2018Q2,0.328,financing_liquidity
At most 7 days,2018Q2,0.525,financing_liquidity
At most 30 days,2018Q2,0.665,financing_liquidity
At most 90 days,2018Q2,0.805,financing_liquidity
At most 180 days,2018Q2,0.958,financing_liquidity
At most 365 days,2018Q2,0.97,financing_liquidity
At most 1 day,2018Q3,0.358,financing_liquidity
At most 7 days,2018Q3,0.516,financing_liquidity
At most 30 days,2018Q3,0.658,financing_liquidity
At most 90 days,2018Q3,0.798,financing_liquidity
At most 180 days,2018Q3,0.96,financing_liquidity
At most 365 days,2018Q3,0.972,financing_liquidity
At most 1 day,2018Q4,0.3,financing_liquidity
At most 7 days,2018Q4,0.5,financing_liquidity
At most 30 days,2018Q4,0.685,financing_liquidity
At most 90 days,2018Q4,0.828,financing_liquidity
At most 180 days,2018Q4,0.957,financing_liquidity
At most 365 days,2018Q4,0.968,financing_liquidity
At most 1 day,2019Q1,0.347,financing_liquidity
At most 7 days,2019Q1,0.513,financing_liquidity
At most 30 days,2019Q1,0.685,financing_liquidity
At most 90 days,2019Q1,0.827,financing_liquidity
At most 180 days,2019Q1,0.957,financing_liquidity
At most 365 days,2019Q1,0.966,financing_liquidity
At most 1 day,2019Q2,0.343,financing_liquidity
At most 7 days,2019Q2,0.507,financing_liquidity
At most 30 days,2019Q2,0.677,financing_liquidity
At most 90 days,2019Q2,0.833,financing_liquidity
At most 180 days,2019Q2,0.954,financing_liquidity
At most 365 days,2019Q2,0.965,financing_liquidity
At most 1 day,2019Q3,0.397,financing_liquidity
At most 7 days,2019Q3,0.538,financing_liquidity
At most 30 days,2019Q3,0.687,financing_liquidity
At most 90 days,2019Q3,0.826,financing_liquidity
At most 180 days,2019Q3,0.951,financing_liquidity
At most 365 days,2019Q3,0.962,financing_liquidity
At most 1 day,2019Q4,0.29,financing_liquidity
At most 7 days,2019Q4,0.475,financing_liquidity
At most 30 days,2019Q4,0.671,financing_liquidity
At most 90 days,2019Q4,0.826,financing_liquidity
At most 180 days,2019Q4,0.949,financing_liquidity
At most 365 days,2019Q4,0.96,financing_liquidity
At most 1 day,2020Q1,0.366,financing_liquidity
At most 7 days,2020Q1,0.499,financing_liquidity
At most 30 days,2020Q1,0.697,financing_liquidity
At most 90 days,2020Q1,0.837,financing_liquidity
At most 180 days,2020Q1,0.943,financing_liquidity
At most 365 days,2020Q1,0.953,financing_liquidity
At most 1 day,2020Q2,0.386,financing_liquidity
At most 7 days,2020Q2,0.5,financing_liquidity
At most 30 days,2020Q2,0.662,financing_liquidity
At most 90 days,2020Q2,0.809,financing_liquidity
At most 180 days,2020Q2,0.945,financing_liquidity
At most 365 days,2020Q2,0.958,financing_liquidity
At most 1 day,2020Q3,0.386,financing_liquidity
At most 7 days,2020Q3,0.504,financing_liquidity
At most 30 days,2020Q3,0.671,financing_liquidity
At most 90 days,2020Q3,0.807,financing_liquidity
At most 180 days,2020Q3,0.947,financing_liquidity
At most 365 days,2020Q3,0.96,financing_liquidity
At most 1 day,2020Q4,0.276,financing_liquidity
At most 7 days,2020Q4,0.438,financing_liquidity
At most 30 days,2020Q4,0.65,financing_liquidity
At most 90 days,2020Q4,0.791,financing_liquidity
At most 180 days,2020Q4,0.948,financing_liquidity
At most 365 days,2020Q4,0.96,financing_liquidity
At most 1 day,2021Q1,0.371,financing_liquidity
At most 7 days,2021Q1,0.445,financing_liquidity
At most 30 days,2021Q1,0.649,financing_liquidity
At most 90 days,2021Q1,0.786,financing_liquidity
At most 180 days,2021Q1,0.944,financing_liquidity
At most 365 days,2021Q1,0.955,financing_liquidity
At most 1 day,2021Q2,0.362,financing_liquidity
At most 7 days,2021Q2,0.463,financing_liquidity
At most 30 days,2021Q2,0.646,financing_liquidity
At most 90 days,2021Q2,0.768,financing_liquidity
At most 180 days,2021Q2,0.944,financing_liquidity
At most 365 days,2021Q2,0.958,financing_liquidity
At most 1 day,2021Q3,0.361,financing_liquidity
At most 7 days,2021Q3,0.468,financing_liquidity
At most 30 days,2021Q3,0.642,financing_liquidity
At most 90 days,2021Q3,0.762,financing_liquidity
At most 180 days,2021Q3,0.944,financing_liquidity
At most 365 days,2021Q3,0.954,financing_liquidity
At most 1 day,2021Q4,0.263,financing_liquidity
At most 7 days,2021Q4,0.423,financing_liquidity
At most 30 days,2021Q4,0.627,financing_liquidity
At most 90 days,2021Q4,0.772,financing_liquidity
At most 180 days,2021Q4,0.938,financing_liquidity
At most 365 days,2021Q4,0.954,financing_liquidity
At most 1 day,2022Q1,0.351,financing_liquidity
At most 7 days,2022Q1,0.454,financing_liquidity
At most 30 days,2022Q1,0.631,financing_liquidity
At most 90 days,2022Q1,0.763,financing_liquidity
At most 180 days,2022Q1,0.938,financing_liquidity
At most 365 days,2022Q1,0.951,financing_liquidity
At most 1 day,2022Q2,0.362,financing_liquidity
At most 7 days,2022Q2,0.462,financing_liquidity
At most 30 days,2022Q2,0.642,financing_liquidity
At most 90 days,2022Q2,0.759,financing_liquidity
At most 180 days,2022Q2,0.929,financing_liquidity
At most 365 days,2022Q2,0.942,financing_liquidity
At most 1 day,2022Q3,0.264,financing_liquidity
At most 7 days,2022Q3,0.459,financing_liquidity
At most 30 days,2022Q3,0.613,financing_liquidity
At most 90 days,2022Q3,0.75,financing_liquidity
At most 180 days,2022Q3,0.926,financing_liquidity
At most 365 days,2022Q3,0.941,financing_liquidity
At most 1 day,2022Q4,0.249,financing_liquidity
At most 7 days,2022Q4,0.405,financing_liquidity
At most 30 days,2022Q4,0.611,financing_liquidity
At most 90 days,2022Q4,0.749,financing_liquidity
At most 180 days,2022Q4,0.917,financing_liquidity
At most 365 days,2022Q4,0.939,financing_liquidity
At most 1 day,2023Q1,0.277,financing_liquidity
At most 7 days,2023Q1,0.465,financing_liquidity
At most 30 days,2023Q1,0.626,financing_liquidity
At most 90 days,2023Q1,0.757,financing_liquidity
At most 180 days,2023Q1,0.926,financing_liquidity
At most 365 days,2023Q1,0.945,financing_liquidity
At most 1 day,2023Q2,0.264,financing_liquidity
At most 7 days,2023Q2,0.473,financing_liquidity
At most 30 days,2023Q2,0.629,financing_liquidity
At most 90 days,2023Q2,0.768,financing_liquidity
At most 180 days,2023Q2,0.926,financing_liquidity
At most 365 days,2023Q2,0.944,financing_liquidity
At most 1 day,2023Q3,0.247,financing_liquidity
At most 7 days,2023Q3,0.489,financing_liquidity
At most 30 days,2023Q3,0.638,financing_liquidity
At most 90 days,2023Q3,0.778,financing_liquidity
At most 180 days,2023Q3,0.924,financing_liquidity
At most 365 days,2023Q3,0.946,financing_liquidity
At most 1 day,2023Q4,0.257,financing_liquidity
At most 7 days,2023Q4,0.437,financing_liquidity
At most 30 days,2023Q4,0.646,financing_liquidity
At most 90 days,2023Q4,0.784,financing_liquidity
At most 180 days,2023Q4,0.934,financing_liquidity
At most 365 days,2023Q4,0.953,financing_liquidity
At most 1 day,2024Q1,0.306,financing_liquidity
At most 7 days,2024Q1,0.481,financing_liquidity
At most 30 days,2024Q1,0.641,financing_liquidity
At most 90 days,2024Q1,0.779,financing_liquidity
At most 180 days,2024Q1,0.936,financing_liquidity
At most 365 days,2024Q1,0.953,financing_liquidity
At most 1 day,2024Q2,0.368,financing_liquidity
At most 7 days,2024Q2,0.493,financing_liquidity
At most 30 days,2024Q2,0.651,financing_liquidity
At most 90 days,2024Q2,0.783,financing_liquidity
At most 180 days,2024Q2,0.937,financing_liquidity
At most 365 days,2024Q2,0.955,financing_liquidity
At most 1 day,2024Q3,0.389,financing_liquidity
At most 7 days,2024Q3,0.515,financing_liquidity
At most 30 days,2024Q3,0.67,financing_liquidity
At most 90 days,2024Q3,0.786,financing_liquidity
At most 180 days,2024Q3,0.932,financing_liquidity
At most 365 days,2024Q3,0.948,financing_liquidity
At most 1 day,2024Q4,0.248,financing_liquidity
At most 7 days,2024Q4,0.457,financing_liquidity
At most 30 days,2024Q4,0.659,financing_liquidity
At most 90 days,2024Q4,0.78,financing_liquidity
At most 180 days,2024Q4,0.933,financing_liquidity
At most 365 days,2024Q4,0.95,financing_liquidity
At most 1 day,2025Q1,0.394,financing_liquidity
At most 7 days,2025Q1,0.509,financing_liquidity
At most 30 days,2025Q1,0.665,financing_liquidity
At most 90 days,2025Q1,0.782,financing_liquidity
At most 180 days,2025Q1,0.927,financing_liquidity
At most 365 days,2025Q1,0.942,financing_liquidity
