fund_universe,country,quarter,share,table
Qualifying Hedge Funds,Ireland,2013Q4,0.022,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q4,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q4,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2013Q4,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2013Q4,0.359,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2013Q4,0.079,Tab.3.1
Section 4 Private Equity Funds,United States,2013Q4,0.666,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2013Q4,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2013Q4,0.015,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2013Q4,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2013Q4,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2013Q4,0.016,Tab.3.1
All Private Funds,United States,2014Q1,0.506,Tab.3.1
All Private Funds,Cayman Islands,2014Q1,0.372,Tab.3.1
All Private Funds,Luxembourg,2014Q1,0.012,Tab.3.1
All Private Funds,Ireland,2014Q1,0.042,Tab.3.1
All Private Funds,Bermuda,2014Q1,0.012,Tab.3.1
All Private Funds,United Kingdom,2014Q1,0.007,Tab.3.1
All Private Funds,"Virgin Islands, British",2014Q1,0.027,Tab.3.1
All Private Funds,Other,2014Q1,0.022,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2014Q1,0.553,Tab.3.1
Qualifying Hedge Funds,United States,2014Q1,0.313,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2014Q1,0.016,Tab.3.1
Qualifying Hedge Funds,Ireland,2014Q1,0.023,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2014Q1,0.062,Tab.3.1
Qualifying Hedge Funds,Bermuda,2014Q1,0.013,Tab.3.1
Qualifying Hedge Funds,Other,2014Q1,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2014Q1,0.332,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2014Q1,0.088,Tab.3.1
Section 4 Private Equity Funds,United States,2014Q1,0.664,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2014Q1,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2014Q1,0.015,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2014Q1,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2014Q1,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2014Q1,0.018,Tab.3.1
All Private Funds,United States,2014Q2,0.502,Tab.3.1
All Private Funds,Cayman Islands,2014Q2,0.375,Tab.3.1
All Private Funds,Luxembourg,2014Q2,0.012,Tab.3.1
All Private Funds,Ireland,2014Q2,0.044,Tab.3.1
All Private Funds,Bermuda,2014Q2,0.012,Tab.3.1
All Private Funds,United Kingdom,2014Q2,0.007,Tab.3.1
All Private Funds,"Virgin Islands, British",2014Q2,0.027,Tab.3.1
All Private Funds,Other,2014Q2,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2014Q2,0.553,Tab.3.1
Qualifying Hedge Funds,United States,2014Q2,0.315,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2014Q2,0.016,Tab.3.1
Qualifying Hedge Funds,Ireland,2014Q2,0.023,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2014Q2,0.061,Tab.3.1
Qualifying Hedge Funds,Bermuda,2014Q2,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2014Q2,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2014Q2,0.341,Tab.3.1
