as_of_date,fcm_name,adj_net_capital,customer_assets_seg,market_share_seg
2025-03-31,GOLDMAN SACHS & CO LLC,22571450687,38205093388,0.12220876697941375
2025-03-31,MORGAN STANLEY & CO LLC,18353416339,30692161453,0.09817673180409874
2025-03-31,BOFA SECURITIES INC,17371216030,29000027466,0.09276400826969737
2025-03-31,SG AMERICAS SECURITIES LLC,5759914192,22379302849,0.07158592649571176
2025-03-31,CITIGROUP GLOBAL MARKETS INC,19371841751,17871295559,0.057165911686425916
2025-03-31,BARCLAYS CAPITAL INC,7258475653,15427361545,0.04934836339785663
2025-03-31,BNP PARIBAS SECURITIES CORP,2560345338,8902855443,0.028478061164136013
2025-03-31,INTERACTIVE BROKERS LLC,9665898575,8455355429,0.027046617864709667
2025-03-31,WELLS FARGO SECURITIES LLC,9805524660,8214434199,0.026275969664522007
2025-04-30,JP MORGAN SECURITIES LLC,24616208549,66668435918,0.19201721386243964
2025-04-30,GOLDMAN SACHS & CO LLC,22631812081,41998982104,0.12096470267560572
2025-04-30,MORGAN STANLEY & CO LLC,17538349323,34439508153,0.09919204360014659
2025-04-30,BOFA SECURITIES INC,19423073479,31314302275,0.09019088259828696
2025-04-30,SG AMERICAS SECURITIES LLC,5765294601,23423836725,0.06746490755288327
2025-04-30,CITIGROUP GLOBAL MARKETS INC,18843312577,21863395750,0.0629705539012568
2025-04-30,BARCLAYS CAPITAL INC,6468164178,17165186881,0.04943885835827477
2025-04-30,BNP PARIBAS SECURITIES CORP,2540195121,10144720002,0.02921863762627537
2025-04-30,INTERACTIVE BROKERS LLC,9977594277,8959659211,0.025805447137971123
2025-04-30,MIZUHO SECURITIES USA LLC,1437905297,8859743762,0.02551767248307458
2025-05-31,JP MORGAN SECURITIES LLC,26461441539,68366749812,0.19709224146483423
2025-05-31,GOLDMAN SACHS & CO LLC,21779848220,41167746371,0.11868113418625631
2025-05-31,MORGAN STANLEY & CO LLC,17328042883,34815431691,0.10036825632949126
2025-05-31,BOFA SECURITIES INC,20245483711,31076377777,0.08958906148851066
2025-05-31,SG AMERICAS SECURITIES LLC,5819074942,23552293627,0.06789812818874977
2025-05-31,CITIGROUP GLOBAL MARKETS INC,18789393079,21449479686,0.06183599543920598
2025-05-31,BARCLAYS CAPITAL INC,6956914030,16553973434,0.047722902408382506
2025-05-31,BNP PARIBAS SECURITIES CORP,2540627497,9855542432,0.028412217256431824
2025-05-31,WELLS FARGO SECURITIES LLC,9689548414,9201471491,0.02652661777725231
2025-05-31,INTERACTIVE BROKERS LLC,10047298166,8683676574,0.0250338839396593
2025-06-30,JP MORGAN SECURITIES LLC,24858439762,67616787774,0.1925218119808425
2025-06-30,GOLDMAN SACHS & CO LLC,20611345305,42580734989,0.12123794290492053
2025-06-30,MORGAN STANLEY & CO LLC,17563305849,36428707814,0.10372159144727544
2025-06-30,BOFA SECURITIES INC,20210016917,32562750093,0.09271424830083808
2025-06-30,SG AMERICAS SECURITIES LLC,5762559190,22909649257,0.06522946936706107
2025-06-30,CITIGROUP GLOBAL MARKETS INC,19537702351,22530641063,0.06415033877439894
2025-06-30,BARCLAYS CAPITAL INC,7819970791,16089988360,0.04581219865355659
2025-06-30,INTERACTIVE BROKERS LLC,9738692434,9149633599,0.0260512824910859
2025-06-30,BNP PARIBAS SECURITIES CORP,4182342097,9021368920,0.025686081048852994
2025-06-30,WELLS FARGO SECURITIES LLC,8896822573,8559007490,0.024369623062248057
2025-07-31,JP MORGAN SECURITIES LLC,28577250077,67920884020,0.19150638793388364
2025-07-31,GOLDMAN SACHS & CO LLC,22356048270,40832861619,0.11513033068527488
2025-07-31,MORGAN STANLEY & CO LLC,18049218819,34678865533,0.09777882563946176
2025-07-31,BOFA SECURITIES INC,20513160366,32172433878,0.09071181407478814
2025-07-31,SG AMERICAS SECURITIES LLC,5928539373,23399262326,0.0659754105534044
2025-07-31,CITIGROUP GLOBAL MARKETS INC,18819690729,21687255607,0.0611483205117364
2025-07-31,BARCLAYS CAPITAL INC,7199497108,17959314585,0.05063720114315533
2025-07-31,MAREX CAPITAL MARKETS INC,739832118,9617501486,0.02711703472514106
2025-07-31,BNP PARIBAS SECURITIES CORP,4267172676,9447378248,0.026637363600669196
2025-07-31,INTERACTIVE BROKERS LLC,10056974131,9125000766,0.025728403889384206
2025-08-31,JP MORGAN SECURITIES LLC,25939089686,72540170335,0.2025153800538115
2025-08-31,GOLDMAN SACHS & CO LLC,21903581665,41108091171,0.11476428395929818
2025-08-31,MORGAN STANLEY & CO LLC,18679250327,33347390915,0.09309820357143288
2025-08-31,BOFA SECURITIES INC,22681522572,33051215083,0.09227134914162885
2025-08-31,SG AMERICAS SECURITIES LLC,5844204987,23351243210,0.06519127087189153
2025-08-31,CITIGROUP GLOBAL MARKETS INC,17749789572,21146083359,0.05903497452957096
2025-08-31,BARCLAYS CAPITAL INC,7906888532,18795767246,0.052473435472346855
2025-08-31,INTERACTIVE BROKERS LLC,10431004743,10166079791,0.02838134378543623
2025-08-31,BNP PARIBAS SECURITIES CORP,4197463763,9842480346,0.027477928970076223
2025-08-31,WELLS FARGO SECURITIES LLC,9347498139,9001839614,0.025131054451537165
2025-09-30,JP MORGAN SECURITIES LLC,25242697213,73487525716,0.20181290047954875
2025-09-30,GOLDMAN SACHS & CO LLC,22256506010,41077784300,0.11280862587337502
2025-09-30,MORGAN STANLEY & CO LLC,18525577565,34415412684,0.09451228881756316
2025-09-30,BOFA SECURITIES INC,18616296784,32559811172,0.08941639914618969
2025-09-30,SG AMERICAS SECURITIES LLC,5779973356,23929879468,0.06571670955730127
2025-09-30,CITIGROUP GLOBAL MARKETS INC,19123994728,22031673039,0.060503817417948566
2025-09-30,BARCLAYS CAPITAL INC,7621580433,18943382951,0.05202269393326139
2025-09-30,INTERACTIVE BROKERS LLC,10442869397,10199120169,0.028009026070627534
2025-09-30,MAREX CAPITAL MARKETS INC,774818413,9601364546,0.026367457724432358
2025-09-30,BNP PARIBAS SECURITIES CORP,4108937262,9226827948,0.025338897891431126
2025-10-31,JP MORGAN SECURITIES LLC,25420106607,72097180838,0.19919015857951267
2025-10-31,GOLDMAN SACHS & CO LLC,22893895830,41213389302,0.11386439046917247
2025-10-31,MORGAN STANLEY & CO LLC,18388689707,33237297483,0.09182803653958883
2025-10-31,BOFA SECURITIES INC,19936960760,32724930824,0.09041246945540024
2025-10-31,SG AMERICAS SECURITIES LLC,5875529017,23363995952,0.06455006984513144
2025-10-31,CITIGROUP GLOBAL MARKETS INC,17951245010,21756019463,0.06010755089899226
2025-10-31,BARCLAYS CAPITAL INC,6803812522,19541712627,0.05398986190366795
2025-10-31,INTERACTIVE BROKERS LLC,10686189704,10317797013,0.02850601922741844
2025-10-31,MAREX CAPITAL MARKETS INC,815437272,9494752870,0.02623211210016915
2025-10-31,BNP PARIBAS SECURITIES CORP,4264158563,9136482588,0.02524228263032817
2025-11-30,JP MORGAN SECURITIES LLC,23359971546,70710957391,0.19698064348476305
2025-11-30,GOLDMAN SACHS & CO LLC,21139006074,39970441211,0.11134629653755457
2025-11-30,BOFA SECURITIES INC,22019871971,34110448962,0.09502202252665477
2025-11-30,MORGAN STANLEY & CO LLC,19137011445,33376584550,0.0929776847119793
2025-11-30,SG AMERICAS SECURITIES LLC,6199058016,24059804467,0.06702378161592323
2025-11-30,CITIGROUP GLOBAL MARKETS INC,17861667769,22382694008,0.0623518282214569
2025-11-30,BARCLAYS CAPITAL INC,7601106316,20814850412,0.057984261272591736
2025-11-30,INTERACTIVE BROKERS LLC,11043681215,10126988886,0.028210914700204894
2025-11-30,BNP PARIBAS SECURITIES CORP,4145513520,9420514968,0.026242879022179214
2025-11-30,MAREX CAPITAL MARKETS INC,874723069,9109829785,0.025377398345257835
2025-12-31,JP MORGAN SECURITIES LLC,27196138119,69214857209,0.19716404201371698
2025-12-31,GOLDMAN SACHS & CO LLC,23095650423,36959856264,0.10528309884757935
2025-12-31,BOFA SECURITIES INC,22960699975,33083330140,0.09424050495373217
2025-12-31,MORGAN STANLEY & CO LLC,19271653252,32675428413,0.09307856434614195
2025-12-31,SG AMERICAS SECURITIES LLC,6295460649,24035270746,0.06846638600822266
2025-12-31,BARCLAYS CAPITAL INC,9947700759,21274801296,0.060602968577859004
2025-12-31,CITIGROUP GLOBAL MARKETS INC,18415966341,21071410142,0.06002359265122254
2025-12-31,INTERACTIVE BROKERS LLC,10608760610,9888270514,0.02816752734428508
2025-12-31,BNP PARIBAS SECURITIES CORP,4178676866,9534295992,0.0271592026818986
2025-12-31,MAREX CAPITAL MARKETS INC,884254768,8830894219,0.025155506621303943
2026-01-31,JP MORGAN SECURITIES LLC,26235256227,72485331692,0.1972113807011508
2026-01-31,GOLDMAN SACHS & CO LLC,22213920369,37256807862,0.10136487407138994
2026-01-31,MORGAN STANLEY & CO LLC,18415823723,32861070275,0.08940535814593698
2026-01-31,BOFA SECURITIES INC,20340688203,31742536975,0.08636215628282733
2026-01-31,SG AMERICAS SECURITIES LLC,6155178016,25766238698,0.07010239714014886
2026-01-31,CITIGROUP GLOBAL MARKETS INC,18299104089,22321685542,0.06073077576605174
2026-01-31,BARCLAYS CAPITAL INC,7618098760,21400738865,0.05822514929675393
2026-01-31,BNP PARIBAS SECURITIES CORP,4302583563,11265150364,0.030649178326595215
2026-01-31,INTERACTIVE BROKERS LLC,10063778366,10634284072,0.028932775716867396
2026-01-31,UBS SECURITIES LLC,3997239568,9649394862,0.026253180322766405
