quarter,strategy_hhi
2013Q1,0.17786486499977275
2013Q2,0.1789919151599896
2013Q3,0.18478565956567772
2013Q4,0.18151635040993913
2014Q1,0.17176742716784166
2014Q2,0.17812823526119922
2014Q3,0.1774014712590134
2014Q4,0.17945323734014382
2015Q1,0.18277466657187
2015Q2,0.18687923554089425
2015Q3,0.18297020660115898
2015Q4,0.18902250181194608
2016Q1,0.19015689811640454
2016Q2,0.18825315123253253
2016Q3,0.1905899472146291
2016Q4,0.1864442312379607
2017Q1,0.1896296776321991
2017Q2,0.19676822762408563
2017Q3,0.2024488233272784
2017Q4,0.20305264291790398
2018Q1,0.2007579664988419
2018Q2,0.20222073254874776
2018Q3,0.21085062163127344
2018Q4,0.19870716825552898
2019Q1,0.20608775952186809
2019Q2,0.21320496670676042
2019Q3,0.2083459022228181
2019Q4,0.21452325101366165
2020Q1,0.20571800048284863
2020Q2,0.21700292498735552
2020Q3,0.218872610401536
2020Q4,0.2397603473457808
2021Q1,0.24787493542373262
2021Q2,0.2504578977960968
2021Q3,0.25089431840969806
2021Q4,0.24476697906578285
2022Q1,0.22152664379930037
2022Q2,0.20252126216711452
2022Q3,0.19555209955634412
2022Q4,0.20278240418246093
2023Q1,0.20123962365397305
2023Q2,0.20936059679275645
2023Q3,0.2043768331459618
2023Q4,0.2074234663722433
2024Q1,0.21582497406393705
2024Q2,0.22896002994283096
2024Q3,0.22062261768054758
2024Q4,0.2222532640770476
2025Q1,0.22877066749761574
