creditor_type,quarter,share,source
US Financial,2020Q1,0.611,Tab.8.34
Non-US Financial,2020Q1,0.382,Tab.8.34
US Non-Financial,2020Q1,0.006,Tab.8.34
Non-US Non-Financial,2020Q1,0.001,Tab.8.34
US Financial,2020Q2,0.633,Tab.8.34
Non-US Financial,2020Q2,0.361,Tab.8.34
US Non-Financial,2020Q2,,Tab.8.34
Non-US Non-Financial,2020Q2,,Tab.8.34
US Financial,2020Q3,0.608,Tab.8.34
Non-US Financial,2020Q3,0.385,Tab.8.34
US Non-Financial,2020Q3,0.006,Tab.8.34
Non-US Non-Financial,2020Q3,0.001,Tab.8.34
US Financial,2020Q4,0.643,Tab.8.34
Non-US Financial,2020Q4,0.35,Tab.8.34
US Non-Financial,2020Q4,,Tab.8.34
Non-US Non-Financial,2020Q4,,Tab.8.34
US Financial,2021Q1,0.65,Tab.8.34
Non-US Financial,2021Q1,0.343,Tab.8.34
US Non-Financial,2021Q1,0.006,Tab.8.34
Non-US Non-Financial,2021Q1,0.001,Tab.8.34
US Financial,2021Q2,0.656,Tab.8.34
Non-US Financial,2021Q2,0.337,Tab.8.34
US Non-Financial,2021Q2,0.005,Tab.8.34
Non-US Non-Financial,2021Q2,0.001,Tab.8.34
US Financial,2021Q3,0.644,Tab.8.34
Non-US Financial,2021Q3,0.349,Tab.8.34
US Non-Financial,2021Q3,0.006,Tab.8.34
Non-US Non-Financial,2021Q3,0.001,Tab.8.34
US Financial,2021Q4,0.652,Tab.8.34
Non-US Financial,2021Q4,0.34,Tab.8.34
US Non-Financial,2021Q4,0.007,Tab.8.34
Non-US Non-Financial,2021Q4,0.002,Tab.8.34
US Financial,2022Q1,0.635,Tab.8.34
Non-US Financial,2022Q1,0.356,Tab.8.34
US Non-Financial,2022Q1,0.009,Tab.8.34
Non-US Non-Financial,2022Q1,0.0,Tab.8.34
US Financial,2022Q2,0.637,Tab.8.34
Non-US Financial,2022Q2,0.355,Tab.8.34
US Non-Financial,2022Q2,0.007,Tab.8.34
Non-US Non-Financial,2022Q2,0.0,Tab.8.34
US Financial,2022Q3,0.649,Tab.8.34
Non-US Financial,2022Q3,0.34,Tab.8.34
US Non-Financial,2022Q3,0.011,Tab.8.34
Non-US Non-Financial,2022Q3,0.0,Tab.8.34
US Financial,2022Q4,0.64,Tab.8.34
Non-US Financial,2022Q4,0.35,Tab.8.34
US Non-Financial,2022Q4,0.01,Tab.8.34
Non-US Non-Financial,2022Q4,0.001,Tab.8.34
US Financial,2023Q1,0.635,Tab.8.34
Non-US Financial,2023Q1,0.356,Tab.8.34
US Non-Financial,2023Q1,0.009,Tab.8.34
Non-US Non-Financial,2023Q1,0.0,Tab.8.34
US Financial,2023Q2,0.64,Tab.8.34
Non-US Financial,2023Q2,0.353,Tab.8.34
US Non-Financial,2023Q2,0.007,Tab.8.34
Non-US Non-Financial,2023Q2,0.0,Tab.8.34
US Financial,2023Q3,0.627,Tab.8.34
Non-US Financial,2023Q3,0.366,Tab.8.34
US Non-Financial,2023Q3,0.006,Tab.8.34
Non-US Non-Financial,2023Q3,0.001,Tab.8.34
US Financial,2023Q4,0.616,Tab.8.34
Non-US Financial,2023Q4,0.378,Tab.8.34
US Non-Financial,2023Q4,0.005,Tab.8.34
Non-US Non-Financial,2023Q4,0.0,Tab.8.34
US Financial,2024Q1,0.656,Tab.8.34
Non-US Financial,2024Q1,0.336,Tab.8.34
US Non-Financial,2024Q1,0.007,Tab.8.34
Non-US Non-Financial,2024Q1,0.001,Tab.8.34
US Financial,2024Q2,0.657,Tab.8.34
Non-US Financial,2024Q2,0.335,Tab.8.34
US Non-Financial,2024Q2,0.007,Tab.8.34
Non-US Non-Financial,2024Q2,0.001,Tab.8.34
US Financial,2024Q3,0.63,Tab.8.34
Non-US Financial,2024Q3,0.362,Tab.8.34
US Non-Financial,2024Q3,0.007,Tab.8.34
Non-US Non-Financial,2024Q3,0.001,Tab.8.34
US Financial,2024Q4,0.648,Tab.8.34
Non-US Financial,2024Q4,0.345,Tab.8.34
US Non-Financial,2024Q4,,Tab.8.34
Non-US Non-Financial,2024Q4,,Tab.8.34
US Financial,2025Q1,0.639,Tab.8.34
Non-US Financial,2025Q1,0.353,Tab.8.34
US Non-Financial,2025Q1,,Tab.8.34
Non-US Non-Financial,2025Q1,,Tab.8.34
