as_of_date,hhi,top5_share
2022-01-31,0.07893383992661386,0.5446444213753275
2022-02-28,0.0820307601495697,0.5579334011061088
2022-03-31,0.07925251382174998,0.538118402037949
2022-04-30,0.07619288900316644,0.5281744507729313
2022-05-31,0.0732262430056844,0.5128700133849988
2022-06-30,0.0765162399896575,0.5311506733322643
2022-07-31,0.07375414733638816,0.5279658920448346
2022-08-31,0.07086283894629737,0.5114588882104276
2022-09-30,0.07150538429243992,0.511024930368177
2022-10-31,0.07210882993932136,0.5183726009138775
2022-11-30,0.07441899369338888,0.5287571116155299
2022-12-31,0.07264546805381752,0.5206703950982822
2023-01-31,0.07234690149003128,0.5219910841856795
2023-02-28,0.07313918007442355,0.5235759516806813
2023-03-31,0.07220428392963538,0.5247445937325035
2023-04-30,0.07330013412187648,0.5290713109556591
2023-05-31,0.0756498156498561,0.5394321812373959
2023-06-30,0.07391619962307595,0.5317304783179431
2023-07-31,0.07319542473069215,0.5283029967853236
2023-08-31,0.07700343720326862,0.5455186022512234
2023-09-30,0.07646977331977886,0.5418857146673615
2023-10-31,0.07572043915020976,0.5398011889049638
2023-11-30,0.0754272293798183,0.5347013349179713
2023-12-31,0.07626665692328441,0.5375132324426922
2024-01-31,0.0751820994312052,0.5321318982006029
2024-02-29,0.07690671226479999,0.5413163940968493
2024-03-31,0.07524184197261227,0.5360903492708354
2024-04-30,0.07510309922880556,0.5316438453228148
2024-05-31,0.07772815544602746,0.5474335486916955
2024-06-30,0.07437707892081505,0.5293726080566192
2024-07-31,0.07470129480661279,0.5359487307658056
2024-08-31,0.07636033176254156,0.5376788670336125
2024-09-30,0.07729346085323252,0.5440356581603535
2024-10-31,0.07695828349108448,0.5454007182434438
2024-11-30,0.07740070372539941,0.5451645429542952
2024-12-31,0.07741280170869023,0.5492907602720878
2025-01-31,0.07789849987798585,0.5492383340719859
2025-02-28,0.08194858755574122,0.5591439639416682
2025-03-31,0.083992200638362,0.5682175555558739
2025-04-30,0.08652411313070511,0.5698297502893622
2025-05-31,0.08780333670157259,0.5736288216578422
2025-06-30,0.08744861209955698,0.5754250640009376
2025-07-31,0.08463606999441722,0.5611027688868129
2025-08-31,0.08788729356131261,0.5678404875980629
2025-09-30,0.08711881279132958,0.5642669238739779
2025-10-31,0.08607521525029113,0.5598451248888057
2025-11-30,0.08646493348181385,0.5633504288768749
2025-12-31,0.08554206660241936,0.5582325961693931
2026-01-31,0.08337347908252944,0.5444461663414539
