fcm_name,registered_as,dsro,as_of_date,adj_net_capital,net_capital_requirement,excess_net_capital,customer_assets_seg,customer_seg_required,excess_funds_seg,target_residual_seg,funds_section_30_7,customer_pt30_required,excess_funds_30_7,target_residual_30_7,cleared_swap_seg,cleared_swap_required,excess_cleared_swap,target_residual_swap,retail_forex_obligation
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2022-01-31,13827169,2381462,11445707,446481024,426033913,20447111,18000000,2567861,0,2567861,1000000,0,0,0,0,0
MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2022-01-31,7554443294,1481078467,6073364827,2152575857,1087743414,1064832443,300000000,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2022-01-31,16613475,9341363,7272112,88760686,71910674,16850012,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2022-01-31,2416882,1000000,1416882,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2022-01-31,1186717921,655736605,530981316,10077326924,9585824595,491502329,150000000,1177432469,997671374,179761095,70000000,20426464,0,20426464,10000000,0
MORGAN STANLEY & CO LLC,FCM BD SD,CME/NFA,2022-01-31,16804516883,4091160603,12713356280,25768998431,25381103353,387895078,235000000,8427742371,8230624467,197117904,140000000,26578526260,26295447629,283078631,92000000,0
NANHUA USA LLC,FCM,CME,2022-01-31,18336742,12928599,5408143,286690804,272120652,14570152,3500000,694322,339133,355189,100000,0,0,0,0,0
NATWEST MARKETS SECURITIES INC,FCM BD,CBOT,2022-01-31,625872077,7914865,617957212,7500126,0,7500126,5000000,0,0,0,0,0,0,0,0,0
NINJATRADER CLEARING LLC,FCM,NFA,2022-01-31,9599699,1000000,8599699,192967322,182869954,10097368,4000000,3397424,2406021,991403,400000,0,0,0,0,0
NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2022-01-31,1974157887,161687312,1812470575,285053019,140938397,144114622,16000000,17207282,0,17207282,1000000,0,0,0,0,0
OANDA CORPORATION,FCM RFD,NFA,2022-01-31,42293910,29422992,12870918,0,0,0,0,0,0,0,0,0,0,0,0,192681268
PHILLIP CAPITAL INC,FCM BD,CME,2022-01-31,77019567,32749001,44270566,782659689,755936518,26723171,11500000,12421691,7595653,4826038,1500000,0,0,0,0,0
PICTET OVERSEAS INC,FCM BD,NFA,2022-01-31,50897706,10200482,40697224,139921749,135209169,4712580,2750000,43788352,40888908,2899444,1250000,0,0,0,0,0
RBC CAPITAL MARKETS LLC,FCM BD,CME,2022-01-31,2272035346,452932577,1819102769,4931384503,4401277524,530106979,260000000,277527503,199788895,77738608,20000000,1367691923,1155477651,212214272,80000000,0
RJ OBRIEN ASSOCIATES LLC,FCM SD,CME/NFA,2022-01-31,291999275,262295156,29704119,6206310128,5991751958,214558170,50000000,238412510,208700252,29712258,20000000,0,0,0,0,0
SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2022-01-31,456705073,186860424,269844649,2544673471,2472740295,71933176,70000000,0,0,0,0,0,0,0,0,0
SCORE PRIORITY CORP,FCM BD,NFA,2022-01-31,3689591,1000000,2689591,46103,0,46103,20000,40000,0,40000,20000,0,0,0,0,0
SCOTIA CAPITAL USA INC,FCM BD,CME,2022-01-31,1487642659,158875707,1328766952,0,0,0,0,0,0,0,0,0,0,0,0,0
SG AMERICAS SECURITIES LLC,FCM BD,CME,2022-01-31,4256893577,2095016552,2161877025,17018347768,16549612767,468735001,200000000,9029588117,8625088308,404499809,200000000,2039259819,1818219810,221040009,80000000,0
STONEX FINANCIAL INC,FCM BD,CME,2022-01-31,320578043,206489613,114088430,5381323961,5316527616,64796345,50000000,231064099,218520558,12543541,6000000,622038,0,622038,250000,0
STRAITS FINANCIAL LLC,FCM,CME,2022-01-31,24371909,9780383,14591526,567304332,553894700,13409632,2000000,34827963,25199129,9628834,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2022-01-31,150385413,10666652,139718761,913408820,894198596,19210224,9000000,22111191,18781643,3329548,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2022-01-31,30045444,20000000,10045444,0,0,0,0,0,0,0,0,0,0,0,0,0
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2022-01-31,1200046064,145805230,1054240834,130286543,93706948,36579595,25000000,49908938,22960764,26948174,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2022-01-31,4670503710,651152982,4019350728,6263837809,5981342686,282495123,150000000,1808825819,1650901419,157924400,75000000,1213108476,965840127,247268349,125000000,0
WEDBUSH SECURITIES INC,FCM BD,CBOT,2022-01-31,241037844,81551254,159486590,2684182264,2654851107,29331157,19000000,34693628,30146941,4546687,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2022-01-31,9786981294,1479535739,8307445555,5927579762,5180931192,746648570,115000000,574276005,465414452,108861553,30000000,14320809981,13773585569,547224412,340000000,0
ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2022-02-28,647995322,258780721,389214601,5423735876,4430288512,993447364,370434727,133192582,108664884,24527698,10866488,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2022-02-28,432218605,357695684,74522921,7608311777,7408465382,199846395,120000000,522531479,477053693,45477786,20000000,9815394,0,9815394,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2022-02-28,27753650,12619028,15134622,448658681,429202901,19455780,10500000,39564762,35889188,3675574,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2022-02-28,6981293,1000000,5981293,75303123,67444264,7858859,900000,2701398,2301576,399822,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2022-02-28,456680373,40108177,416572196,95390101,65943818,29446283,10000000,0,0,0,0,0,0,0,0,0
BAKKT CLEARING LLC,FCM,NFA,2022-02-28,1997037,1000000,997037,0,0,0,0,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2022-02-28,7008201075,1904405385,5103795690,9740458620,9338340420,402118200,55000000,4272509395,4074053090,198456305,12000000,12277583686,11416764163,860819523,250000000,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2022-02-28,2559771323,790048895,1769722428,6215153949,5576535545,638618404,503000000,2114831891,1139104919,975726972,98000000,2075565008,1907443889,168121119,95000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2022-02-28,16358881543,3747499612,12611381931,24335206962,22629756564,1705450398,200000000,5039274465,4782152042,257122423,150000000,14827211916,14276253743,550958173,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2022-02-28,418811168,4299882,414511286,4969921,0,4969921,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2022-02-28,252262029,40491452,211770577,708060359,548012131,160048228,100000000,0,0,0,0,0,0,0,0,65250435
CHS HEDGING LLC,FCM,CBOT,2022-02-28,68761132,30420466,38340666,222494666,163178056,59316610,14100000,1527272,0,1527272,200000,510188,0,510188,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2022-02-28,10229456643,4479175805,5750280838,19360607212,18758593912,602013300,435400000,6173332325,5847827387,325504938,188300000,30325496765,29671732656,653764109,448000000,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2022-02-28,11408316949,668093081,10740223868,2178782991,1995156881,183626110,99757844,2565997473,1890894820,675102653,94544742,5714914189,5015100693,699813496,250755035,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2022-02-28,38772459,1000000,37772459,63192372,59004095,4188277,3050000,1334365,902115,432250,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2022-02-28,1298238057,1500000,1296738057,2163423,0,2163423,1,454831,0,454831,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2022-02-28,5723475683,212501182,5510974501,2526786671,2324012524,202774147,125000000,791599804,665778948,125820856,75000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2022-02-28,11271677,1568250,9703427,67162245,58630618,8531627,2500000,0,0,0,0,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2022-02-28,16745141,2094822,14650319,194904690,188809835,6094855,2000000,12745089,11815069,930020,200000,0,0,0,0,0
E D & F MAN CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2022-02-28,194194465,134884552,59309913,3378237689,3295279932,82957757,44250000,110104837,94976481,15128356,5000000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2022-02-28,24573152,4757219,19815933,196530138,159753105,36777033,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2022-02-28,1925691,1000000,925691,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCM RFED,NFA,2022-02-28,50741396,30173681,20567715,0,0,0,0,0,0,0,0,0,0,0,0,213473614
GH FINANCIALS LLC,FCM,CME,2022-02-28,27921697,8238609,19683088,154048827,131606056,22442771,5500000,6179812,4679891,1499921,250000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2022-02-28,23544210857,4580082960,18964127897,38628289094,37734910106,893378988,675000000,10791361908,10210705526,580656382,475000000,14930222931,14487865954,442356977,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM BD,NFA,2022-02-28,33314709,1000000,32314709,0,0,0,0,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2022-02-28,1405250854,460919965,944330889,4673849568,4560499440,113350128,103000000,200661821,148612170,52049651,15000000,1547535186,1459559948,87975238,75000000,0
IG US LLC,RFED,NFA,2022-02-28,34290051,21679407,12610644,0,0,0,0,0,0,0,0,0,0,0,0,43588134
INTERACTIVE BROKERS LLC,FCM BD,CME,2022-02-28,5589761255,889603290,4700157965,8308290015,8092046503,216243512,155000000,625002705,495918193,129084512,80000000,0,0,0,0,21496313
IRONBEAM INC,FCM,NFA,2022-02-28,8024261,1000000,7024261,71449987,63196358,8253629,1600000,399344,147843,251501,60000,0,0,0,0,0
JEFFERIES LLC,FCM BD,NFA,2022-02-28,1788293205,109157387,1679135818,0,0,0,0,0,0,0,0,0,0,0,0,0
JP MORGAN SECURITIES LLC,FCM BD SD,CEI/NFA,2022-02-28,22877732826,5742332019,17135400807,51837601406,49304506309,2533095097,1134003645,10130374822,9444201096,686173726,236105027,17962684748,16668202817,1294481931,450041476,0
MACQUARIE FUTURES USA LLC,FCM,CBOT,2022-02-28,453182574,400468008,52714566,3933775595,3667302240,266473355,100000000,193414200,154190061,39224139,7000000,6387103,0,6387103,1000000,0
MAREX NORTH AMERICA LLC,FCM,CME,2022-02-28,218487931,190282767,28205164,3319725805,3285669757,34056048,26379941,215752382,197920708,17831674,10250000,0,0,0,0,0
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2022-02-28,12641023,2239519,10401504,454018203,431781640,22236563,18000000,2567861,0,2567861,1000000,0,0,0,0,0
MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2022-02-28,8087566885,1429420345,6658146540,2135765145,1070936879,1064828266,300000000,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2022-02-28,17176834,11232772,5944062,45928579,28948810,16979769,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2022-02-28,2427298,1000000,1427298,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2022-02-28,1224538618,700956240,523582378,11101261313,10377561435,723699878,150000000,1248029715,1082451045,165578670,70000000,20427986,0,20427986,10000000,0
MORGAN STANLEY & CO LLC,FCM BD SD,CME/NFA,2022-02-28,15949384495,4251373522,11698010973,26347931330,25967595766,380335564,235000000,8738183904,8521068033,217115871,140000000,26555747644,25374295944,1181451700,92000000,0
NANHUA USA LLC,FCM,CME,2022-02-28,18313797,13064410,5249387,198490585,184076640,14413945,3500000,696656,340875,355781,100000,0,0,0,0,0
NATWEST MARKETS SECURITIES INC,FCM BD,CBOT,2022-02-28,587347763,1036121,586311642,7500126,0,7500126,5000000,0,0,0,0,0,0,0,0,0
NINJATRADER CLEARING LLC,FCM,NFA,2022-02-28,9746806,1000000,8746806,196374864,186434338,9940526,4000000,3602551,2727600,874951,400000,0,0,0,0,0
NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2022-02-28,2056045273,99903236,1956142037,264192805,119930179,144262626,16000000,17212460,0,17212460,1000000,0,0,0,0,0
OANDA CORPORATION,FCM RFED,NFA,2022-02-28,38876025,29651741,9224284,0,0,0,0,0,0,0,0,0,0,0,0,197106642
PHILLIP CAPITAL INC,FCM BD,CME,2022-02-28,76301194,37383794,38917400,768409913,743344824,25065089,11500000,12520602,8106671,4413931,1500000,0,0,0,0,0
PICTET OVERSEAS INC,FCM BD,NFA,2022-02-28,50096185,10631370,39464815,141585686,136848828,4736858,2750000,33043380,30128844,2914536,1250000,0,0,0,0,0
RBC CAPITAL MARKETS LLC,FCM BD,CME,2022-02-28,2577662753,460592452,2117070301,4821098451,4385695977,435402474,260000000,345248438,267300018,77948420,20000000,1166519416,953732841,212786575,80000000,0
RJ OBRIEN ASSOCIATES LLC,FCM SD,CME/NFA,2022-02-28,355081745,293876951,61204794,6614065316,6392581560,221483756,50000000,227930844,196492114,31438730,20000000,0,0,0,0,0
SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2022-02-28,461650110,194273436,267376674,2356618478,2284415798,72202680,70000000,0,0,0,0,0,0,0,0,0
SCORE PRIORITY CORP,FCM BD,NFA,2022-02-28,2878057,1000000,1878057,46103,0,46103,20000,40000,0,40000,20000,0,0,0,0,0
SCOTIA CAPITAL USA INC,FCM BD,CME,2022-02-28,1399060530,170896635,1228163895,0,0,0,0,0,0,0,0,0,0,0,0,0
SG AMERICAS SECURITIES LLC,FCM BD,CME,2022-02-28,4187034378,2075456493,2111577885,16576565235,16109901241,466663994,200000000,7872190604,7479668884,392521720,200000000,2212699948,1997445866,215254082,80000000,0
STONEX FINANCIAL INC,FCM BD,CME,2022-02-28,341362326,217810212,123552114,5268338985,5155196476,113142509,50000000,201729375,186765219,14964156,6000000,622054,0,622054,250000,0
STRAITS FINANCIAL LLC,FCM,CME,2022-02-28,23065977,9854456,13211521,500023976,487106379,12917597,2000000,31381625,21733488,9648137,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2022-02-28,147721263,10929462,136791801,897519800,875525146,21994654,9000000,22262425,18922438,3339987,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2022-02-28,29746890,20000000,9746890,0,0,0,0,0,0,0,0,0,0,0,0,2041
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2022-02-28,1076378142,147219443,929158699,130996771,94769264,36227507,25000000,51379265,24093058,27286207,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2022-02-28,5085754264,701234542,4384519722,6261436016,5796238933,465197083,150000000,2003827234,1842443734,161383500,75000000,1301524285,1052895871,248628414,125000000,0
WEDBUSH SECURITIES INC,FCM BD,CBOT,2022-02-28,253882918,73733129,180149789,3009171539,2969238995,39932544,19000000,39212994,34308283,4904711,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2022-02-28,9777357774,1515956511,8261401263,5815532592,5226974523,588558069,115000000,664727686,516957040,147770646,30000000,14855697858,13057524912,1798172946,355000000,0
ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2022-03-31,579242189,287822719,291419470,5026078838,4479573211,546505627,373358829,154786171,127027825,27758346,12702783,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2022-03-31,497546217,423846028,73700189,8856005409,8656100394,199905015,120000000,675563969,629363519,46200450,20000000,9816871,0,9816871,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2022-03-31,28004191,18114293,9889898,528158270,509091924,19066346,10500000,38903330,34725858,4177472,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2022-03-31,7084919,1000000,6084919,76133694,68631811,7501883,900000,2754146,2256783,497363,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2022-03-31,433971870,36496629,397475241,103074442,74343488,28730954,10000000,0,0,0,0,0,0,0,0,0
BAKKT CLEARING LLC,FCM,NFA,2022-03-31,1981930,1000000,981930,0,0,0,0,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2022-03-31,6829326497,1939726147,4889600350,11252625199,10925010915,327614284,58000000,4225499043,4024880350,200618693,40000000,12249595375,11687755212,561840163,26000000,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2022-03-31,2232311848,927743533,1304568315,6948743566,6329754324,618989242,503000000,2921752488,1552512017,1369240471,98000000,2543357375,2270091879,273265496,95000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2022-03-31,14392233586,3957678512,10434555074,26610424668,25544496138,1065928530,200000000,5840354819,5574520669,265834150,150000000,15608550541,15060985841,547564700,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2022-03-31,432801757,2571623,430230134,4969921,0,4969921,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2022-03-31,212506549,47482843,165023706,825646197,660222433,165423764,100000000,0,0,0,0,0,0,0,0,64587052
CHS HEDGING LLC,FCM,CBOT,2022-03-31,64710118,40756669,23953449,356221348,295254335,60967013,14100000,1527272,0,1527272,200000,510188,0,510188,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2022-03-31,9929377435,4727916080,5201461355,20624829039,19634898609,989930430,687400000,6620229276,6316286279,303942997,195300000,32643446432,31803950155,839496277,466900000,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2022-03-31,10621539666,546120662,10075419004,1256248714,1079549813,176698901,53977491,2270116896,1985450647,284666249,99272532,4556601982,3816573421,740028561,190828671,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2022-03-31,38201651,1019350,37182301,78534425,74400681,4133744,3050000,1238776,828137,410639,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2022-03-31,1275016454,2392843,1272623611,2154586,0,2154586,1,448196,0,448196,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2022-03-31,6075839438,236173109,5839666329,2683772144,2481932157,201839987,125000000,859266107,732227986,127038121,75000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2022-03-31,11236038,1877897,9358141,49385275,40223123,9162152,2500000,0,0,0,0,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2022-03-31,16830979,2422048,14408931,222676983,216902854,5774129,2000000,11164358,10260549,903809,200000,0,0,0,0,0
E D & F MAN CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2022-03-31,214996435,154988581,60007854,3699690365,3620351656,79338709,44250000,123951041,111235564,12715477,5000000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2022-03-31,39873615,6836979,33036636,165666705,125192842,40473863,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2022-03-31,1924326,1000000,924326,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2022-03-31,54299040,29425333,24873707,0,0,0,0,0,0,0,0,0,0,0,0,198506670
