fcm_name,registered_as,dsro,as_of_date,adj_net_capital,net_capital_requirement,excess_net_capital,customer_assets_seg,customer_seg_required,excess_funds_seg,target_residual_seg,funds_section_30_7,customer_pt30_required,excess_funds_30_7,target_residual_30_7,cleared_swap_seg,cleared_swap_required,excess_cleared_swap,target_residual_swap,retail_forex_obligation
STRAITS FINANCIAL LLC,FCM,CME,2022-07-31,22939162,12950576,9988586,524722326,511830689,12891637,2000000,31227881,21280036,9947845,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2022-07-31,147403247,6904846,140498401,785436503,746622151,38814352,9000000,23155246,19702961,3452285,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2022-07-31,25800888,20000000,5800888,0,0,0,0,0,0,0,0,0,0,0,0,495768
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2022-07-31,1166360795,145022622,1021338173,156348375,119935230,36413145,25000000,40342279,12906570,27435709,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2022-07-31,4900002631,737721963,4162280668,6982950875,6694257114,288693761,150000000,2029612953,1866712000,162900953,75000000,1270398752,1014217270,256181482,125000000,0
WEDBUSH SECURITIES INC,FCM BD,CBOT,2022-07-31,268263065,102953824,165309241,4062844040,4032654701,30189339,19000000,43857017,38053908,5803109,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2022-07-31,10182576375,1679987051,8502589324,6612393044,6051555565,560837479,135000000,811604654,687039071,124565583,30000000,14377763703,13675124679,702639024,305000000,0
ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2022-08-31,645423868,249512672,395911196,4547807769,4001108626,546699143,280404900,150510896,124437574,26073322,12443757,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2022-08-31,513817284,401804676,112012608,9092712389,8888613310,204099079,120000000,606310668,559365857,46944811,20000000,9861785,0,9861785,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2022-08-31,27969027,11795495,16173532,544793790,528165054,16628736,10000000,38406645,34193687,4212958,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2022-08-31,8161097,1000000,7161097,73772951,65223567,8549384,900000,2655654,2089283,566371,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2022-08-31,457139515,29809978,427329537,99130535,73917059,25213476,10000000,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2022-08-31,7011279353,2223619402,4787659951,14453116009,13878061251,575054758,58000000,4119170251,3887890898,231279353,40000000,13228256036,12708885767,519370269,26000000,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2022-08-31,1906486819,1123072706,783414113,8517625457,7822317597,695307860,570000000,2027499616,1608026690,419472926,98000000,2837823101,2446419417,391403684,130000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2022-08-31,18258217766,4253372936,14004844830,27194874453,26664160708,530713745,200000000,5648332308,5344344308,303988000,150000000,16311626222,16044159309,267466913,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2022-08-31,324664528,2078615,322585913,4969921,0,4969921,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2022-08-31,250647253,44199200,206448053,759931578,599122599,160808979,100000000,0,0,0,0,0,0,0,0,76639437
CHS HEDGING LLC,FCM,CBOT,2022-08-31,53918915,28064247,25854668,324858566,263451878,61406688,14600000,1527272,0,1527272,200000,510188,0,510188,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2022-08-31,10295773571,4687886810,5607886761,20708066587,20094242673,613823914,413000000,5886343803,5536306068,350037735,182700000,35644494160,34940512262,703981898,486500000,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2022-08-31,11609918891,99915301,11510003590,273884763,244968557,28916206,12248428,24947180,1260176,23687004,63009,77145386,8064799,69080587,403240,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2022-08-31,87048408,1649272,85399136,126485778,72131638,54354140,3050000,2417522,1890945,526577,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2022-08-31,1343869715,2259274,1341610441,2135845,0,2135845,1,419605,0,419605,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2022-08-31,6209979708,196433681,6013546027,2399079223,2193639382,205439841,125000000,905385254,778737130,126648124,75000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2022-08-31,11874559,3342215,8532344,121691971,113891534,7800437,2500000,3521836,989566,2532270,1000000,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2022-08-31,14662387,2183646,12478741,292056449,287059240,4997209,2000000,5217492,4551512,665980,200000,0,0,0,0,0
E D & F MAN CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2022-08-31,260410124,177488900,82921224,4020689920,3945004282,75685638,44250000,66971869,57155080,9816789,5000000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2022-08-31,45429349,7586400,37842949,175640733,130426700,45214033,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2022-08-31,1914276,1000000,914276,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2022-08-31,49640493,29007966,20632527,0,0,0,0,0,0,0,0,0,0,0,0,190159318
GH FINANCIALS LLC,FCM,CME,2022-08-31,28929663,12345091,16584572,163247859,144991794,18256065,5900000,7794170,6153803,1640367,370000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2022-08-31,22632311192,4855093442,17777217750,39225047225,38247028511,978018714,775000000,13086569018,12515165521,571403497,475000000,18211110703,17764098420,447012283,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM BD,NFA,2022-08-31,26728181,1000000,25728181,0,0,0,0,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2022-08-31,1237299968,552517986,684781982,4613213611,4472401948,140811663,128000000,243279341,218247453,25031888,15000000,2972164273,2833946720,138217553,119000000,0
IG US LLC,RFED,NFA,2022-08-31,31112954,22119922,8993032,0,0,0,0,0,0,0,0,0,0,0,0,52398433
INTERACTIVE BROKERS LLC,FCM BD,CME,2022-08-31,6148558055,788559176,5359998879,8246381432,8017360331,229021101,155000000,736233422,610889546,125343876,80000000,0,0,0,0,26432389
IRONBEAM INC,FCM,CME,2022-08-31,8377315,1000000,7377315,93624941,84833251,8791690,1600000,479077,258801,220276,60000,0,0,0,0,0
JEFFERIES LLC,FCM BD,NFA,2022-08-31,1170165751,95416496,1074749255,0,0,0,0,0,0,0,0,0,0,0,0,0
JP MORGAN SECURITIES LLC,FCM BD SD,CEI/NFA,2022-08-31,20470263683,5875325951,14594937732,43102216596,41762932352,1339284244,960547444,10238798697,9701468509,537330188,242536713,20804567276,19764128204,1040439072,533631462,0
LIME TRADING CORP,FCM BD,NFA,2022-08-31,5245254,1000000,4245254,46103,0,46103,20000,40000,0,40000,20000,0,0,0,0,0
MACQUARIE FUTURES USA LLC,FCM,CBOT,2022-08-31,556853047,443028892,113824155,5255634794,4986344165,269290629,100000000,177048333,134439691,42608642,7000000,5148735,0,5148735,1000000,0
MAREX NORTH AMERICA LLC,FCM,CME,2022-08-31,248739064,215798921,32940143,4572457730,4506396596,66061134,50230376,200872724,170724504,30148220,10250000,0,0,0,0,0
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2022-08-31,11061691,1736979,9324712,479713667,456126167,23587500,18000000,2567861,0,2567861,1000000,0,0,0,0,0
MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2022-08-31,8170111407,1508236264,6661875143,3843602971,2705635084,1137967887,300000000,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2022-08-31,22880034,11690922,11189112,107240370,84305235,22935135,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2022-08-31,2304577,1000000,1304577,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2022-08-31,1428804517,886089639,542714878,14222682795,13109412666,1113270129,150000000,1493657581,1301461891,192195690,70000000,20436110,0,20436110,10000000,0
MORGAN STANLEY & CO LLC,FCM BD SD,CME/NFA,2022-08-31,16609257726,4625451552,11983806174,28205163797,27810011300,395152497,235000000,9154799997,8936284931,218515066,140000000,28729133260,28213305199,515828061,92000000,0
NANHUA USA LLC,FCM,CME,2022-08-31,23401772,16115984,7285788,266682836,247681400,19001436,3500000,693047,336685,356362,100000,0,0,0,0,0
NATWEST MARKETS SECURITIES INC,FCM BD,CBOT,2022-08-31,570344370,1787250,568557120,7500445,0,7500445,5000000,0,0,0,0,0,0,0,0,0
NINJATRADER CLEARING LLC,FCM,NFA,2022-08-31,14864854,1000000,13864854,243726592,228716401,15010191,4000000,4610358,3840264,770094,400000,0,0,0,0,0
NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2022-08-31,2224085905,93720749,2130365156,265510365,223584979,41925386,16000000,12451623,0,12451623,1000000,0,0,0,0,0
OANDA CORPORATION,FCMRFD,NFA,2022-08-31,41205464,28198315,13007149,0,0,0,0,0,0,0,0,0,0,0,0,169091166
PHILLIP CAPITAL INC,FCM BD,CME,2022-08-31,76566608,35526729,41039879,752551323,722902858,29648465,15000000,20897891,14785647,6112244,1000000,0,0,0,0,0
PICTET OVERSEAS INC,FCM BD,NFA,2022-08-31,50939336,12511957,38427379,171657042,166717416,4939626,1500000,62939855,60007859,2931996,900000,0,0,0,0,0
RBC CAPITAL MARKETS LLC,FCM BD,CME,2022-08-31,2522457645,553998793,1968458852,5191608282,4585183274,606425008,320000000,697135038,591806350,105328688,20000000,1860079483,1598194265,261885218,100000000,0
RJ OBRIEN ASSOCIATES LLC,FCM SD,CME/NFA,2022-08-31,365476522,299957145,65519377,7414612469,7172368753,242243716,50000000,241402425,211812561,29589864,20000000,0,0,0,0,0
SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2022-08-31,464207792,160581420,303626372,2301275304,2229211916,72063388,70000000,0,0,0,0,0,0,0,0,0
SCOTIA CAPITAL USA INC,FCM BD,CME,2022-08-31,1448214607,140693082,1307521525,0,0,0,0,0,0,0,0,0,0,0,0,0
SG AMERICAS SECURITIES LLC,FCM BD,CME,2022-08-31,4471594600,2310518621,2161075979,20785116057,20312469260,472646797,200000000,8419140771,8026326754,392814017,200000000,2475269788,2158122541,317147247,80000000,0
STONEX FINANCIAL INC,FCM BD,CME,2022-08-31,379714402,257475973,122238429,6573804750,6497952891,75851859,50000000,211226388,198879422,12346966,6000000,0,0,0,0,0
STRAITS FINANCIAL LLC,FCM,CME,2022-08-31,23806444,14312067,9494377,470189391,456366497,13822894,2000000,40012886,30007467,10005419,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2022-08-31,145214933,7539569,137675364,801590166,763123351,38466815,9000000,24014425,20548363,3466062,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2022-08-31,25030054,20000000,5030054,0,0,0,0,0,0,0,0,0,0,0,0,367878
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2022-08-31,1214047775,147087959,1066959816,174615560,126589410,48026150,25000000,38770363,8835336,29935027,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2022-08-31,4522098423,769681729,3752416694,6930370428,6637388895,292981533,150000000,2279221261,2113818189,165403072,75000000,1326123586,1068404112,257719474,125000000,0
WEDBUSH SECURITIES INC,FCM BD,CBOT,2022-08-31,270600120,103747518,166852602,4765665520,4735821617,29843903,19000000,48924743,43301352,5623391,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2022-08-31,10323079797,1637165735,8685914062,6942035509,6389521750,552513759,145000000,671557363,573114708,98442655,30000000,14139717088,13548583093,591133995,240000000,0
ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2022-09-30,642492133,250850968,391641165,4665598588,4050824679,614773909,284408506,164438579,133230848,31207731,13323085,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2022-09-30,505182793,391855936,113326857,8946151677,8742800219,203351458,120000000,570894895,524556527,46338368,20000000,9880413,0,9880413,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2022-09-30,28561386,13858062,14703324,542235764,525459437,16776327,10000000,44193392,40157261,4036131,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2022-09-30,8575716,1000000,7575716,77378610,68274067,9104543,900000,2572668,2158956,413712,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2022-09-30,453002500,30098470,422904030,110954114,83826547,27127567,10000000,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2022-09-30,6620511422,2295631614,4324879808,15955811001,13970618233,1985192768,58000000,4339732178,4107466250,232265928,40000000,13687841860,12870543102,817298758,26000000,0
BITNOMIAL CLEARING LLC,FCM,NFA,2022-09-30,1804673,1000000,804673,0,0,0,0,0,0,0,0,0,0,0,0,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2022-09-30,1636773515,1107296230,529477285,8691824655,7917735319,774089336,570000000,1986947641,1557479164,429468477,98000000,2865665292,2549394019,316271273,135000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2022-09-30,16212532890,4092987542,12119545348,27094017429,26515881002,578136427,200000000,5376306958,5104077429,272229529,150000000,16806038583,16385954679,420083904,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2022-09-30,347678177,3322422,344355755,4969934,0,4969934,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2022-09-30,264137903,43040270,221097633,760464314,597467880,162996434,100000000,0,0,0,0,0,0,0,0,72789055
CHS HEDGING LLC,FCM,CBOT,2022-09-30,58182997,27424070,30758927,308168705,245358348,62810357,14600000,1527272,0,1527272,200000,510188,0,510188,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2022-09-30,10444732380,4831648659,5613083721,19259739877,18753222579,506517298,351400000,5410427680,5084822204,325605476,175700000,35051794072,34235800472,815993600,499800000,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2022-09-30,11476567279,107998626,11368568653,259869634,209932681,49936953,10496634,8612512,1266157,7346355,63308,73517001,7430410,66086591,371520,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2022-09-30,86778183,1613632,85164551,137882959,82236559,55646400,3050000,2501855,1956055,545800,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2022-09-30,1301739373,1628021,1300111352,2130305,0,2130305,1,412796,0,412796,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2022-09-30,6095711063,201867617,5893843446,2420625285,2219833434,200791851,125000000,911310993,786886109,124424884,75000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2022-09-30,11982015,2887835,9094180,126174189,117583637,8590552,2500000,7065543,4528896,2536647,1000000,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2022-09-30,14059049,2292860,11766189,288867033,284631793,4235240,2000000,5249160,4360082,889078,200000,0,0,0,0,0
E D & F MAN CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2022-09-30,260395534,174533269,85862265,3988768522,3910517190,78251332,44250000,73004507,61994925,11009582,5000000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2022-09-30,45761609,5601548,40160061,167713723,120731254,46982469,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2022-09-30,1915428,1000000,915428,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2022-09-30,49180611,28400752,20779859,0,0,0,0,0,0,0,0,0,0,0,0,178015048
GH FINANCIALS LLC,FCM,CME,2022-09-30,29282472,11942175,17340297,173780687,152690726,21089961,5900000,6307879,4646046,1661833,370000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2022-09-30,21435602641,4827083086,16608519555,39833527409,38747872247,1085655162,775000000,12387297080,11817239567,570057513,475000000,18761087195,18253934499,507152696,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM BD,CME,2022-09-30,32619305,1000000,31619305,3003049,0,3003049,3000000,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2022-09-30,1282246256,542507543,739738713,4894498726,4735173245,159325481,147000000,242229623,217062064,25167559,15000000,3472433493,3319361504,153071989,133000000,0
IG US LLC,RFED,NFA,2022-09-30,35702127,21949484,13752643,0,0,0,0,0,0,0,0,0,0,0,0,48989689
INTERACTIVE BROKERS LLC,FCM BD,CME,2022-09-30,6129741662,739982827,5389758835,8824882118,8517481775,307400343,155000000,823545848,683718050,139827798,80000000,0,0,0,0,27730936
IRONBEAM INC,FCM,CME,2022-09-30,7854521,1027692,6826829,96942265,87546618,9395647,1600000,465866,229954,235912,60000,0,0,0,0,0
JEFFERIES LLC,FCM BD,NFA,2022-09-30,1227742230,99373136,1128369094,0,0,0,0,0,0,0,0,0,0,0,0,0
JP MORGAN SECURITIES LLC,FCM BD SD,CEI/NFA,2022-09-30,22913041646,5649492616,17263549030,43080752249,41698152358,1382599891,959057504,8750762448,8247806046,502956402,206195151,21771860107,20856647666,915212441,563129487,0
LIME TRADING CORP,FCM BD,NFA,2022-09-30,4540111,1000000,3540111,46103,0,46103,20000,40000,0,40000,20000,0,0,0,0,0
MACQUARIE FUTURES USA LLC,FCM,CBOT,2022-09-30,569305376,447092083,122213293,4860751027,4611795056,248955971,100000000,161793990,109079373,52714617,7000000,5147475,0,5147475,1000000,0
MAREX NORTH AMERICA LLC,FCM,CME,2022-09-30,251083979,209491666,41592313,4251495191,4163328136,88167055,50230376,188560542,148318304,40242238,10250000,0,0,0,0,0
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2022-09-30,11561091,1142371,10418720,485448768,461413195,24035573,18000000,2567861,0,2567861,1000000,0,0,0,0,0
MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2022-09-30,7783043105,1462323744,6320719361,2656736767,1536450254,1120286513,300000000,0,0,0,0,0,0,0,0,0
MFI FUNDING LLC,FCM,NFA,2022-09-30,103026637,1000000,102026637,0,0,0,0,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2022-09-30,23131739,11270803,11860936,103544804,80594746,22950058,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2022-09-30,2269371,1000000,1269371,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2022-09-30,1692125704,897061605,795064099,15696969770,14999365643,697604127,150000000,1361104875,1161895442,199209433,70000000,20516468,0,20516468,10000000,0
MORGAN STANLEY & CO LLC,FCM BD SD,CME/NFA,2022-09-30,14886036345,4481344738,10404691607,27675387594,27282359610,393027984,235000000,8965326256,8742432783,222893473,140000000,28258218925,27570601386,687617539,92000000,0
NANHUA USA LLC,FCM,CME,2022-09-30,23676129,16487428,7188701,279250071,260607456,18642615,3500000,684396,328028,356368,100000,0,0,0,0,0
NATWEST MARKETS SECURITIES INC,FCM BD,CBOT,2022-09-30,553087456,4383832,548703624,7500484,0,7500484,5000000,0,0,0,0,0,0,0,0,0
NINJATRADER CLEARING LLC,FCM,NFA,2022-09-30,16124231,1000000,15124231,253106792,233720942,19385850,4000000,3824308,2961392,862916,400000,0,0,0,0,0
NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2022-09-30,2121644819,97912029,2023732790,216339933,171616377,44723556,19000000,1250000,0,1250000,1000000,0,0,0,0,0
OANDA CORPORATION,FCMRFD,NFA,2022-09-30,41710746,27792240,13918506,0,0,0,0,0,0,0,0,0,0,0,0,162072259
PHILLIP CAPITAL INC,FCM BD,CME,2022-09-30,78292413,41298020,36994393,863359070,829954339,33404731,15000000,27707864,23126628,4581236,1000000,0,0,0,0,0
PICTET OVERSEAS INC,FCM BD,NFA,2022-09-30,51975850,12857954,39117896,168258146,163257516,5000630,1500000,59740305,56741686,2998619,900000,0,0,0,0,0
RBC CAPITAL MARKETS LLC,FCM BD,CME,2022-09-30,2449092979,589247401,1859845578,5475110566,4912984275,562126291,340000000,495735127,389596901,106138226,20000000,2244576724,1866460729,378115995,120000000,0
RJ OBRIEN ASSOCIATES LLC,FCM SD,CME/NFA,2022-09-30,361036099,286746823,74289276,7395780093,7143072117,252707976,50000000,222920767,193340384,29580383,20000000,0,0,0,0,0
SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2022-09-30,459526398,157616495,301909903,2290253475,2217516287,72737188,70000000,0,0,0,0,0,0,0,0,0
SCOTIA CAPITAL USA INC,FCM BD,CME,2022-09-30,1394893440,136858980,1258034460,0,0,0,0,0,0,0,0,0,0,0,0,0
SG AMERICAS SECURITIES LLC,FCM BD,CME,2022-09-30,4949751615,2197615093,2752136522,19834661586,19323668815,510992771,200000000,8040871355,7665419970,375451385,200000000,2208758099,1894576651,314181448,80000000,0
STONEX FINANCIAL INC,FCM BD,CME,2022-09-30,398991031,250077885,148913146,6283415082,6206715828,76699254,50000000,212353867,199352945,13000922,6000000,0,0,0,0,0
STRAITS FINANCIAL LLC,FCM,CME,2022-09-30,24751374,14720169,10031205,485849731,471359899,14489832,2000000,41708007,31610173,10097834,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2022-09-30,141587208,6384358,135202850,868977526,832806160,36171366,9000000,23005901,19563628,3442273,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2022-09-30,24249826,20000000,4249826,0,0,0,0,0,0,0,0,0,0,0,0,562435
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2022-09-30,1217632602,144894840,1072737762,184819420,130897978,53921442,25000000,37287329,7235146,30052183,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2022-09-30,4410295829,737328949,3672966880,6775911484,6484643328,291268156,150000000,2367005962,2201703184,165302778,75000000,1395373737,1136965064,258408673,125000000,0
WEDBUSH SECURITIES INC,FCM BD,CBOT,2022-09-30,258510510,97048066,161462444,3946806159,3918072110,28734049,19000000,37919932,31802270,6117662,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2022-09-30,10127130578,1603573690,8523556888,6463530060,5960927918,502602142,145000000,604352073,504348071,100004002,30000000,14294620493,13516854959,777765534,240000000,0
ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2022-10-31,622458171,244206391,378251780,4817200512,4056578376,760622136,305269002,143592455,115539358,28053097,11553936,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2022-10-31,516591154,373107411,143483743,8596223249,8389707174,206516075,120000000,564347750,518316344,46031406,20000000,9903917,0,9903917,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2022-10-31,28974154,11878808,17095346,570410283,553892257,16518026,10000000,42405764,38193888,4211876,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2022-10-31,9029756,1000000,8029756,76620691,67309598,9311093,900000,2965745,2239234,726511,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2022-10-31,468507700,28369220,440138480,100173599,75588565,24585034,10000000,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2022-10-31,7149835826,2316086399,4833749427,15564595121,14551206675,1013388446,58000000,4836770308,4597949402,238820906,40000000,14199586909,13369421873,830165036,26000000,0
BITNOMIAL CLEARING LLC,FCM,NFA,2022-10-31,1804673,1000000,804673,0,0,0,0,0,0,0,0,0,0,0,0,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2022-10-31,2139282842,987482584,1151800258,7608770667,6935111389,673659278,570000000,1692587635,1387770284,304817351,98000000,2918152147,2531430262,386721885,135000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2022-10-31,18127960888,4064381667,14063579221,27487457854,27060889618,426568236,200000000,5438796151,5191906362,246889789,150000000,16907134954,16454537624,452597330,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2022-10-31,373078954,7719312,365359642,4969934,0,4969934,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2022-10-31,275293360,41128811,234164549,763815759,594664038,169151721,100000000,0,0,0,0,0,0,0,0,67923577
CHS HEDGING LLC,FCM,CBOT,2022-10-31,60282946,27863307,32419639,261290575,196951671,64338904,14600000,1527272,0,1527272,200000,510188,0,510188,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2022-10-31,10901651130,4757558937,6144092193,18609308980,18118810325,490498655,361200000,5205205082,4908388546,296816536,169400000,32857635480,32059094099,798541381,475300000,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2022-10-31,11917121757,102219877,11814901880,241632558,202983353,38649205,10149168,8082080,1233150,6848930,61658,25560448,4333128,21227320,216656,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2022-10-31,86435249,1690460,84744789,139461829,82743842,56717987,3050000,1896135,1333216,562919,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2022-10-31,1289268174,1566493,1287701681,2126993,0,2126993,1,413186,0,413186,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2022-10-31,5952831534,212687326,5740144208,2632159139,2429049159,203109980,125000000,885596596,759392137,126204459,75000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2022-10-31,12078623,3507168,8571455,127892688,103834284,24058404,2500000,14124913,388881,13736032,1000000,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2022-10-31,13794606,2162525,11632081,294355625,289935605,4420020,2000000,5322961,4608200,714761,200000,0,0,0,0,0
E D & F MAN CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2022-10-31,273763956,161106107,112657849,3828461001,3745825674,82635327,44250000,70536487,60847781,9688706,5000000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2022-10-31,47982578,5038986,42943592,157380460,108332777,49047683,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2022-10-31,1918916,1000000,918916,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2022-10-31,50334818,28622144,21712674,0,0,0,0,0,0,0,0,0,0,0,0,182442884
GH FINANCIALS LLC,FCM,CME,2022-10-31,29492398,11683992,17808406,177418960,157455050,19963910,5500000,7310135,5611326,1698809,440000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2022-10-31,22960200272,4730665329,18229534943,38173040912,37139971451,1033069461,775000000,13713215989,13129466879,583749110,475000000,19020729056,18053397672,967331384,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM BD,CME,2022-10-31,32589952,1000000,31589952,3010191,0,3010191,3000000,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2022-10-31,1296695287,545085081,751610206,5224593462,5044185468,180407994,163000000,275824119,248628938,27195181,15000000,3516145418,3341528996,174616422,153000000,0
IG US LLC,RFED,NFA,2022-10-31,30663721,22222863,8440858,0,0,0,0,0,0,0,0,0,0,0,0,54457251
