category,quarter,amount,table
Level 2,2014Q4,586,Tab.2.17
Level 3,2014Q4,25,Tab.2.17
Cost-Based,2014Q4,754,Tab.2.17
Level 1,2015Q1,1095,Tab.2.17
Level 2,2015Q1,587,Tab.2.17
Level 3,2015Q1,26,Tab.2.17
Cost-Based,2015Q1,760,Tab.2.17
Level 1,2015Q2,1082,Tab.2.17
Level 2,2015Q2,621,Tab.2.17
Level 3,2015Q2,31,Tab.2.17
Cost-Based,2015Q2,763,Tab.2.17
Level 1,2015Q3,1085,Tab.2.17
Level 2,2015Q3,627,Tab.2.17
Level 3,2015Q3,40,Tab.2.17
Cost-Based,2015Q3,764,Tab.2.17
Level 1,2015Q4,970,Tab.2.17
Level 2,2015Q4,626,Tab.2.17
Level 3,2015Q4,33,Tab.2.17
Cost-Based,2015Q4,800,Tab.2.17
Level 1,2016Q1,968,Tab.2.17
Level 2,2016Q1,648,Tab.2.17
Level 3,2016Q1,34,Tab.2.17
Cost-Based,2016Q1,829,Tab.2.17
Level 1,2016Q2,972,Tab.2.17
Level 2,2016Q2,590,Tab.2.17
Level 3,2016Q2,34,Tab.2.17
Cost-Based,2016Q2,839,Tab.2.17
Level 1,2016Q3,970,Tab.2.17
Level 2,2016Q3,592,Tab.2.17
Level 3,2016Q3,34,Tab.2.17
Cost-Based,2016Q3,843,Tab.2.17
Level 1,2016Q4,1105,Tab.2.17
Level 2,2016Q4,626,Tab.2.17
Level 3,2016Q4,56,Tab.2.17
Cost-Based,2016Q4,920,Tab.2.17
Level 1,2017Q1,1110,Tab.2.17
Level 2,2017Q1,630,Tab.2.17
Level 3,2017Q1,56,Tab.2.17
Cost-Based,2017Q1,919,Tab.2.17
Level 1,2017Q2,1110,Tab.2.17
Level 2,2017Q2,633,Tab.2.17
Level 3,2017Q2,58,Tab.2.17
Cost-Based,2017Q2,927,Tab.2.17
Level 1,2017Q3,1118,Tab.2.17
Level 2,2017Q3,645,Tab.2.17
Level 3,2017Q3,57,Tab.2.17
Cost-Based,2017Q3,930,Tab.2.17
Level 1,2017Q4,1236,Tab.2.17
Level 2,2017Q4,836,Tab.2.17
Level 3,2017Q4,38,Tab.2.17
Cost-Based,2017Q4,1033,Tab.2.17
Level 1,2018Q1,1238,Tab.2.17
Level 2,2018Q1,829,Tab.2.17
Level 3,2018Q1,38,Tab.2.17
Cost-Based,2018Q1,1034,Tab.2.17
Level 1,2018Q2,1235,Tab.2.17
Level 2,2018Q2,837,Tab.2.17
Level 3,2018Q2,38,Tab.2.17
Cost-Based,2018Q2,1040,Tab.2.17
Level 1,2018Q3,1243,Tab.2.17
Level 2,2018Q3,845,Tab.2.17
Level 3,2018Q3,39,Tab.2.17
Cost-Based,2018Q3,1046,Tab.2.17
Level 1,2018Q4,1182,Tab.2.17
Level 2,2018Q4,938,Tab.2.17
Level 3,2018Q4,43,Tab.2.17
Cost-Based,2018Q4,1550,Tab.2.17
Level 1,2019Q1,1189,Tab.2.17
Level 2,2019Q1,953,Tab.2.17
Level 3,2019Q1,44,Tab.2.17
Cost-Based,2019Q1,1565,Tab.2.17
Level 1,2019Q2,1197,Tab.2.17
Level 2,2019Q2,991,Tab.2.17
Level 3,2019Q2,48,Tab.2.17
Cost-Based,2019Q2,1573,Tab.2.17
Level 1,2019Q3,1189,Tab.2.17
Level 2,2019Q3,985,Tab.2.17
Level 3,2019Q3,50,Tab.2.17
Cost-Based,2019Q3,1566,Tab.2.17
Level 1,2019Q4,1237,Tab.2.17
Level 2,2019Q4,940,Tab.2.17
Level 3,2019Q4,54,Tab.2.17
Cost-Based,2019Q4,1619,Tab.2.17
Level 1,2020Q1,1251,Tab.2.17
Level 2,2020Q1,975,Tab.2.17
Level 3,2020Q1,57,Tab.2.17
Cost-Based,2020Q1,1625,Tab.2.17
Level 1,2020Q2,1242,Tab.2.17
Level 2,2020Q2,966,Tab.2.17
Level 3,2020Q2,56,Tab.2.17
Cost-Based,2020Q2,1615,Tab.2.17
Level 1,2020Q3,1250,Tab.2.17
Level 2,2020Q3,972,Tab.2.17
Level 3,2020Q3,56,Tab.2.17
Cost-Based,2020Q3,1615,Tab.2.17
Level 1,2020Q4,1299,Tab.2.17
Level 2,2020Q4,1083,Tab.2.17
Level 3,2020Q4,73,Tab.2.17
Cost-Based,2020Q4,1379,Tab.2.17
Level 1,2021Q1,1299,Tab.2.17
Level 2,2021Q1,1061,Tab.2.17
Level 3,2021Q1,73,Tab.2.17
Cost-Based,2021Q1,1383,Tab.2.17
Level 1,2021Q2,1303,Tab.2.17
Level 2,2021Q2,1064,Tab.2.17
Level 3,2021Q2,79,Tab.2.17
Cost-Based,2021Q2,1378,Tab.2.17
Level 1,2021Q3,1305,Tab.2.17
Level 2,2021Q3,1084,Tab.2.17
Level 3,2021Q3,114,Tab.2.17
Cost-Based,2021Q3,1376,Tab.2.17
Level 1,2021Q4,1641,Tab.2.17
Level 2,2021Q4,1231,Tab.2.17
Level 3,2021Q4,124,Tab.2.17
Cost-Based,2021Q4,1384,Tab.2.17
Level 1,2022Q1,1642,Tab.2.17
Level 2,2022Q1,1229,Tab.2.17
Level 3,2022Q1,127,Tab.2.17
Cost-Based,2022Q1,1388,Tab.2.17
Level 1,2022Q2,1635,Tab.2.17
Level 2,2022Q2,1249,Tab.2.17
Level 3,2022Q2,91,Tab.2.17
Cost-Based,2022Q2,1387,Tab.2.17
Level 1,2022Q3,1640,Tab.2.17
Level 2,2022Q3,1208,Tab.2.17
Level 3,2022Q3,93,Tab.2.17
Cost-Based,2022Q3,1393,Tab.2.17
Level 1,2022Q4,1523,Tab.2.17
Level 2,2022Q4,1344,Tab.2.17
Level 3,2022Q4,97,Tab.2.17
Cost-Based,2022Q4,1568,Tab.2.17
Level 1,2023Q1,1528,Tab.2.17
Level 2,2023Q1,1324,Tab.2.17
Level 3,2023Q1,97,Tab.2.17
Cost-Based,2023Q1,1564,Tab.2.17
Level 1,2023Q2,1529,Tab.2.17
Level 2,2023Q2,1290,Tab.2.17
Level 3,2023Q2,111,Tab.2.17
Cost-Based,2023Q2,1564,Tab.2.17
Level 1,2023Q3,1531,Tab.2.17
Level 2,2023Q3,1298,Tab.2.17
Level 3,2023Q3,100,Tab.2.17
Cost-Based,2023Q3,1560,Tab.2.17
Level 1,2023Q4,1809,Tab.2.17
Level 2,2023Q4,1397,Tab.2.17
Level 3,2023Q4,105,Tab.2.17
Cost-Based,2023Q4,2454,Tab.2.17
Level 1,2024Q1,1812,Tab.2.17
Level 2,2024Q1,1505,Tab.2.17
Level 3,2024Q1,107,Tab.2.17
Cost-Based,2024Q1,2455,Tab.2.17
Level 1,2024Q2,1814,Tab.2.17
Level 2,2024Q2,1488,Tab.2.17
Level 3,2024Q2,106,Tab.2.17
Cost-Based,2024Q2,2466,Tab.2.17
Level 1,2024Q3,1818,Tab.2.17
Level 2,2024Q3,1561,Tab.2.17
Level 3,2024Q3,101,Tab.2.17
Cost-Based,2024Q3,2476,Tab.2.17
Level 1,2024Q4,1961,Tab.2.17
Level 2,2024Q4,1589,Tab.2.17
Level 3,2024Q4,107,Tab.2.17
Cost-Based,2024Q4,2689,Tab.2.17
Level 1,2025Q1,1965,Tab.2.17
Level 2,2025Q1,1605,Tab.2.17
Level 3,2025Q1,104,Tab.2.17
Cost-Based,2025Q1,2689,Tab.2.17
Level 1,2013Q1,1851,Tab.2.18
Level 2,2013Q1,1004,Tab.2.18
Level 3,2013Q1,331,Tab.2.18
Cost-Based,2013Q1,263,Tab.2.18
Level 1,2013Q2,1691,Tab.2.18
Level 2,2013Q2,1040,Tab.2.18
Level 3,2013Q2,339,Tab.2.18
Cost-Based,2013Q2,285,Tab.2.18
Level 1,2013Q3,1700,Tab.2.18
Level 2,2013Q3,1045,Tab.2.18
Level 3,2013Q3,344,Tab.2.18
Cost-Based,2013Q3,287,Tab.2.18
Level 1,2013Q4,1774,Tab.2.18
Level 2,2013Q4,1237,Tab.2.18
Level 3,2013Q4,363,Tab.2.18
Cost-Based,2013Q4,747,Tab.2.18
Level 1,2014Q1,1769,Tab.2.18
Level 2,2014Q1,1252,Tab.2.18
Level 3,2014Q1,372,Tab.2.18
Cost-Based,2014Q1,756,Tab.2.18
Level 1,2014Q2,1800,Tab.2.18
Level 2,2014Q2,1238,Tab.2.18
Level 3,2014Q2,389,Tab.2.18
Cost-Based,2014Q2,756,Tab.2.18
Level 1,2014Q3,1805,Tab.2.18
Level 2,2014Q3,1235,Tab.2.18
Level 3,2014Q3,390,Tab.2.18
Cost-Based,2014Q3,761,Tab.2.18
Level 1,2014Q4,1995,Tab.2.18
Level 2,2014Q4,1418,Tab.2.18
Level 3,2014Q4,409,Tab.2.18
Cost-Based,2014Q4,933,Tab.2.18
Level 1,2015Q1,1996,Tab.2.18
Level 2,2015Q1,1423,Tab.2.18
Level 3,2015Q1,417,Tab.2.18
Cost-Based,2015Q1,938,Tab.2.18
Level 1,2015Q2,1995,Tab.2.18
Level 2,2015Q2,1460,Tab.2.18
Level 3,2015Q2,426,Tab.2.18
Cost-Based,2015Q2,940,Tab.2.18
Level 1,2015Q3,1968,Tab.2.18
Level 2,2015Q3,1463,Tab.2.18
Level 3,2015Q3,428,Tab.2.18
Cost-Based,2015Q3,939,Tab.2.18
Level 1,2015Q4,1918,Tab.2.18
Level 2,2015Q4,1332,Tab.2.18
Level 3,2015Q4,459,Tab.2.18
Cost-Based,2015Q4,1039,Tab.2.18
Level 1,2016Q1,1884,Tab.2.18
Level 2,2016Q1,1358,Tab.2.18
Level 3,2016Q1,468,Tab.2.18
Cost-Based,2016Q1,1057,Tab.2.18
Level 1,2016Q2,1892,Tab.2.18
Level 2,2016Q2,1304,Tab.2.18
Level 3,2016Q2,472,Tab.2.18
Cost-Based,2016Q2,1051,Tab.2.18
Level 1,2016Q3,1905,Tab.2.18
Level 2,2016Q3,1299,Tab.2.18
Level 3,2016Q3,482,Tab.2.18
Cost-Based,2016Q3,1056,Tab.2.18
Level 1,2016Q4,1991,Tab.2.18
Level 2,2016Q4,1333,Tab.2.18
Level 3,2016Q4,495,Tab.2.18
Cost-Based,2016Q4,1139,Tab.2.18
Level 1,2017Q1,1983,Tab.2.18
Level 2,2017Q1,1326,Tab.2.18
Level 3,2017Q1,507,Tab.2.18
Cost-Based,2017Q1,1139,Tab.2.18
Level 1,2017Q2,1983,Tab.2.18
Level 2,2017Q2,1340,Tab.2.18
Level 3,2017Q2,523,Tab.2.18
Cost-Based,2017Q2,1180,Tab.2.18
Level 1,2017Q3,1991,Tab.2.18
Level 2,2017Q3,1352,Tab.2.18
Level 3,2017Q3,528,Tab.2.18
Cost-Based,2017Q3,1184,Tab.2.18
Level 1,2017Q4,2227,Tab.2.18
Level 2,2017Q4,1516,Tab.2.18
Level 3,2017Q4,557,Tab.2.18
Cost-Based,2017Q4,1351,Tab.2.18
Level 1,2018Q1,2240,Tab.2.18
Level 2,2018Q1,1507,Tab.2.18
Level 3,2018Q1,561,Tab.2.18
Cost-Based,2018Q1,1341,Tab.2.18
Level 1,2018Q2,2241,Tab.2.18
Level 2,2018Q2,1512,Tab.2.18
Level 3,2018Q2,564,Tab.2.18
Cost-Based,2018Q2,1341,Tab.2.18
Level 1,2018Q3,2240,Tab.2.18
Level 2,2018Q3,1500,Tab.2.18
Level 3,2018Q3,570,Tab.2.18
Cost-Based,2018Q3,1357,Tab.2.18
Level 1,2018Q4,2211,Tab.2.18
Level 2,2018Q4,1640,Tab.2.18
Level 3,2018Q4,639,Tab.2.18
Cost-Based,2018Q4,1489,Tab.2.18
Level 1,2019Q1,2255,Tab.2.18
Level 2,2019Q1,1648,Tab.2.18
Level 3,2019Q1,650,Tab.2.18
Cost-Based,2019Q1,1491,Tab.2.18
Level 1,2019Q2,2272,Tab.2.18
Level 2,2019Q2,1714,Tab.2.18
Level 3,2019Q2,651,Tab.2.18
Cost-Based,2019Q2,1505,Tab.2.18
Level 1,2019Q3,2250,Tab.2.18
Level 2,2019Q3,1720,Tab.2.18
Level 3,2019Q3,645,Tab.2.18
Cost-Based,2019Q3,1495,Tab.2.18
Level 1,2019Q4,2472,Tab.2.18
Level 2,2019Q4,2011,Tab.2.18
Level 3,2019Q4,757,Tab.2.18
Cost-Based,2019Q4,1273,Tab.2.18
Level 1,2020Q1,2451,Tab.2.18
Level 2,2020Q1,2040,Tab.2.18
Level 3,2020Q1,760,Tab.2.18
Cost-Based,2020Q1,1276,Tab.2.18
Level 1,2020Q2,2467,Tab.2.18
Level 2,2020Q2,2061,Tab.2.18
Level 3,2020Q2,768,Tab.2.18
Cost-Based,2020Q2,1264,Tab.2.18
Level 1,2020Q3,2479,Tab.2.18
Level 2,2020Q3,2068,Tab.2.18
Level 3,2020Q3,772,Tab.2.18
Cost-Based,2020Q3,1251,Tab.2.18
Level 1,2020Q4,2752,Tab.2.18
Level 2,2020Q4,2063,Tab.2.18
Level 3,2020Q4,851,Tab.2.18
Cost-Based,2020Q4,1195,Tab.2.18
Level 1,2021Q1,2778,Tab.2.18
Level 2,2021Q1,2044,Tab.2.18
Level 3,2021Q1,859,Tab.2.18
Cost-Based,2021Q1,1198,Tab.2.18
Level 1,2021Q2,2791,Tab.2.18
Level 2,2021Q2,2058,Tab.2.18
Level 3,2021Q2,875,Tab.2.18
Cost-Based,2021Q2,1214,Tab.2.18
Level 1,2021Q3,2866,Tab.2.18
Level 2,2021Q3,2082,Tab.2.18
Level 3,2021Q3,947,Tab.2.18
Cost-Based,2021Q3,1220,Tab.2.18
Level 1,2021Q4,3179,Tab.2.18
Level 2,2021Q4,2114,Tab.2.18
Level 3,2021Q4,1205,Tab.2.18
Cost-Based,2021Q4,1536,Tab.2.18
Level 1,2022Q1,3155,Tab.2.18
Level 2,2022Q1,2103,Tab.2.18
Level 3,2022Q1,1226,Tab.2.18
Cost-Based,2022Q1,1553,Tab.2.18
Level 1,2022Q2,3124,Tab.2.18
Level 2,2022Q2,2111,Tab.2.18
Level 3,2022Q2,1230,Tab.2.18
Cost-Based,2022Q2,1539,Tab.2.18
Level 1,2022Q3,3114,Tab.2.18
Level 2,2022Q3,2077,Tab.2.18
Level 3,2022Q3,1188,Tab.2.18
Cost-Based,2022Q3,1542,Tab.2.18
Level 1,2022Q4,2838,Tab.2.18
Level 2,2022Q4,1999,Tab.2.18
Level 3,2022Q4,1319,Tab.2.18
Cost-Based,2022Q4,1605,Tab.2.18
Level 1,2023Q1,2782,Tab.2.18
Level 2,2023Q1,1964,Tab.2.18
Level 3,2023Q1,1323,Tab.2.18
Cost-Based,2023Q1,1584,Tab.2.18
Level 1,2023Q2,2784,Tab.2.18
Level 2,2023Q2,1948,Tab.2.18
Level 3,2023Q2,1328,Tab.2.18
Cost-Based,2023Q2,1578,Tab.2.18
Level 1,2023Q3,2773,Tab.2.18
Level 2,2023Q3,1943,Tab.2.18
Level 3,2023Q3,1321,Tab.2.18
Cost-Based,2023Q3,1564,Tab.2.18
Level 1,2023Q4,3494,Tab.2.18
Level 2,2023Q4,2162,Tab.2.18
Level 3,2023Q4,1414,Tab.2.18
Cost-Based,2023Q4,1825,Tab.2.18
Level 1,2024Q1,3516,Tab.2.18
Level 2,2024Q1,2148,Tab.2.18
Level 3,2024Q1,1420,Tab.2.18
Cost-Based,2024Q1,1834,Tab.2.18
Level 1,2024Q2,3519,Tab.2.18
Level 2,2024Q2,2149,Tab.2.18
Level 3,2024Q2,1427,Tab.2.18
Cost-Based,2024Q2,1830,Tab.2.18
Level 1,2024Q3,3541,Tab.2.18
Level 2,2024Q3,2168,Tab.2.18
Level 3,2024Q3,1436,Tab.2.18
Cost-Based,2024Q3,1837,Tab.2.18
Level 1,2024Q4,4172,Tab.2.18
Level 2,2024Q4,2357,Tab.2.18
Level 3,2024Q4,1471,Tab.2.18
Cost-Based,2024Q4,1790,Tab.2.18
Level 1,2025Q1,4198,Tab.2.18
Level 2,2025Q1,2371,Tab.2.18
Level 3,2025Q1,1491,Tab.2.18
Cost-Based,2025Q1,1807,Tab.2.18
Level 1,2013Q1,862,Tab.2.19
Level 2,2013Q1,300,Tab.2.19
Level 3,2013Q1,16,Tab.2.19
Cost-Based,2013Q1,231,Tab.2.19
Level 1,2013Q2,869,Tab.2.19
Level 2,2013Q2,339,Tab.2.19
Level 3,2013Q2,16,Tab.2.19
Cost-Based,2013Q2,239,Tab.2.19
Level 1,2013Q3,875,Tab.2.19
Level 2,2013Q3,342,Tab.2.19
Level 3,2013Q3,17,Tab.2.19
Cost-Based,2013Q3,240,Tab.2.19
Level 1,2013Q4,793,Tab.2.19
Level 2,2013Q4,408,Tab.2.19
Level 3,2013Q4,15,Tab.2.19
Cost-Based,2013Q4,541,Tab.2.19
Level 1,2014Q1,800,Tab.2.19
Level 2,2014Q1,423,Tab.2.19
Level 3,2014Q1,17,Tab.2.19
Cost-Based,2014Q1,537,Tab.2.19
Level 1,2014Q2,806,Tab.2.19
Level 2,2014Q2,398,Tab.2.19
Level 3,2014Q2,16,Tab.2.19
Cost-Based,2014Q2,538,Tab.2.19
Level 1,2014Q3,804,Tab.2.19
Level 2,2014Q3,399,Tab.2.19
Level 3,2014Q3,19,Tab.2.19
Cost-Based,2014Q3,540,Tab.2.19
Level 1,2014Q4,985,Tab.2.19
Level 2,2014Q4,516,Tab.2.19
Level 3,2014Q4,22,Tab.2.19
Cost-Based,2014Q4,663,Tab.2.19
Level 1,2015Q1,986,Tab.2.19
Level 2,2015Q1,514,Tab.2.19
Level 3,2015Q1,23,Tab.2.19
Cost-Based,2015Q1,666,Tab.2.19
Level 1,2015Q2,974,Tab.2.19
Level 2,2015Q2,547,Tab.2.19
Level 3,2015Q2,29,Tab.2.19
Cost-Based,2015Q2,667,Tab.2.19
Level 1,2015Q3,976,Tab.2.19
Level 2,2015Q3,550,Tab.2.19
Level 3,2015Q3,38,Tab.2.19
Cost-Based,2015Q3,667,Tab.2.19
Level 1,2015Q4,868,Tab.2.19
Level 2,2015Q4,549,Tab.2.19
Level 3,2015Q4,30,Tab.2.19
Cost-Based,2015Q4,699,Tab.2.19
Level 1,2016Q1,864,Tab.2.19
Level 2,2016Q1,564,Tab.2.19
Level 3,2016Q1,31,Tab.2.19
Cost-Based,2016Q1,728,Tab.2.19
Level 1,2016Q2,867,Tab.2.19
Level 2,2016Q2,514,Tab.2.19
Level 3,2016Q2,31,Tab.2.19
Cost-Based,2016Q2,732,Tab.2.19
Level 1,2016Q3,865,Tab.2.19
Level 2,2016Q3,515,Tab.2.19
Level 3,2016Q3,30,Tab.2.19
Cost-Based,2016Q3,745,Tab.2.19
Level 1,2016Q4,977,Tab.2.19
Level 2,2016Q4,543,Tab.2.19
Level 3,2016Q4,50,Tab.2.19
Cost-Based,2016Q4,799,Tab.2.19
Level 1,2017Q1,978,Tab.2.19
Level 2,2017Q1,535,Tab.2.19
Level 3,2017Q1,51,Tab.2.19
Cost-Based,2017Q1,800,Tab.2.19
Level 1,2017Q2,981,Tab.2.19
Level 2,2017Q2,540,Tab.2.19
Level 3,2017Q2,55,Tab.2.19
Cost-Based,2017Q2,811,Tab.2.19
Level 1,2017Q3,988,Tab.2.19
Level 2,2017Q3,547,Tab.2.19
Level 3,2017Q3,52,Tab.2.19
Cost-Based,2017Q3,811,Tab.2.19
Level 1,2017Q4,1086,Tab.2.19
Level 2,2017Q4,730,Tab.2.19
Level 3,2017Q4,32,Tab.2.19
Cost-Based,2017Q4,906,Tab.2.19
Level 1,2018Q1,1079,Tab.2.19
Level 2,2018Q1,726,Tab.2.19
Level 3,2018Q1,31,Tab.2.19
Cost-Based,2018Q1,904,Tab.2.19
Level 1,2018Q2,1077,Tab.2.19
Level 2,2018Q2,720,Tab.2.19
Level 3,2018Q2,31,Tab.2.19
Cost-Based,2018Q2,899,Tab.2.19
Level 1,2018Q3,1084,Tab.2.19
Level 2,2018Q3,717,Tab.2.19
Level 3,2018Q3,33,Tab.2.19
Cost-Based,2018Q3,899,Tab.2.19
Level 1,2018Q4,1041,Tab.2.19
Level 2,2018Q4,796,Tab.2.19
Level 3,2018Q4,38,Tab.2.19
Cost-Based,2018Q4,1384,Tab.2.19
Level 1,2019Q1,1054,Tab.2.19
Level 2,2019Q1,800,Tab.2.19
Level 3,2019Q1,40,Tab.2.19
Cost-Based,2019Q1,1387,Tab.2.19
Level 1,2019Q2,1057,Tab.2.19
Level 2,2019Q2,851,Tab.2.19
Level 3,2019Q2,43,Tab.2.19
Cost-Based,2019Q2,1396,Tab.2.19
Level 1,2019Q3,1047,Tab.2.19
Level 2,2019Q3,854,Tab.2.19
Level 3,2019Q3,46,Tab.2.19
Cost-Based,2019Q3,1393,Tab.2.19
Level 1,2019Q4,1101,Tab.2.19
Level 2,2019Q4,823,Tab.2.19
Level 3,2019Q4,49,Tab.2.19
Cost-Based,2019Q4,1430,Tab.2.19
Level 1,2020Q1,1103,Tab.2.19
Level 2,2020Q1,852,Tab.2.19
Level 3,2020Q1,53,Tab.2.19
Cost-Based,2020Q1,1453,Tab.2.19
Level 1,2020Q2,1103,Tab.2.19
Level 2,2020Q2,876,Tab.2.19
Level 3,2020Q2,51,Tab.2.19
Cost-Based,2020Q2,1445,Tab.2.19
Level 1,2020Q3,1105,Tab.2.19
Level 2,2020Q3,885,Tab.2.19
Level 3,2020Q3,51,Tab.2.19
Cost-Based,2020Q3,1440,Tab.2.19
Level 1,2020Q4,1168,Tab.2.19
Level 2,2020Q4,1009,Tab.2.19
Level 3,2020Q4,64,Tab.2.19
Cost-Based,2020Q4,1226,Tab.2.19
Level 1,2021Q1,1173,Tab.2.19
Level 2,2021Q1,986,Tab.2.19
Level 3,2021Q1,64,Tab.2.19
Cost-Based,2021Q1,1230,Tab.2.19
Level 1,2021Q2,1176,Tab.2.19
Level 2,2021Q2,997,Tab.2.19
Level 3,2021Q2,71,Tab.2.19
Cost-Based,2021Q2,1225,Tab.2.19
Level 1,2021Q3,1182,Tab.2.19
Level 2,2021Q3,1009,Tab.2.19
Level 3,2021Q3,105,Tab.2.19
Cost-Based,2021Q3,1226,Tab.2.19
Level 1,2021Q4,1528,Tab.2.19
Level 2,2021Q4,1157,Tab.2.19
Level 3,2021Q4,118,Tab.2.19
Cost-Based,2021Q4,1226,Tab.2.19
Level 1,2022Q1,1528,Tab.2.19
Level 2,2022Q1,1144,Tab.2.19
Level 3,2022Q1,119,Tab.2.19
Cost-Based,2022Q1,1229,Tab.2.19
Level 1,2022Q2,1523,Tab.2.19
Level 2,2022Q2,1163,Tab.2.19
Level 3,2022Q2,82,Tab.2.19
Cost-Based,2022Q2,1229,Tab.2.19
Level 1,2022Q3,1528,Tab.2.19
Level 2,2022Q3,1125,Tab.2.19
Level 3,2022Q3,84,Tab.2.19
Cost-Based,2022Q3,1235,Tab.2.19
Level 1,2022Q4,1408,Tab.2.19
Level 2,2022Q4,1269,Tab.2.19
Level 3,2022Q4,88,Tab.2.19
Cost-Based,2022Q4,1413,Tab.2.19
Level 1,2023Q1,1412,Tab.2.19
Level 2,2023Q1,1258,Tab.2.19
Level 3,2023Q1,89,Tab.2.19
Cost-Based,2023Q1,1406,Tab.2.19
Level 1,2023Q2,1413,Tab.2.19
Level 2,2023Q2,1243,Tab.2.19
Level 3,2023Q2,100,Tab.2.19
Cost-Based,2023Q2,1409,Tab.2.19
Level 1,2023Q3,1406,Tab.2.19
Level 2,2023Q3,1243,Tab.2.19
Level 3,2023Q3,89,Tab.2.19
Cost-Based,2023Q3,1402,Tab.2.19
Level 1,2023Q4,1656,Tab.2.19
Level 2,2023Q4,1340,Tab.2.19
Level 3,2023Q4,96,Tab.2.19
Cost-Based,2023Q4,2263,Tab.2.19
Level 1,2024Q1,1661,Tab.2.19
Level 2,2024Q1,1413,Tab.2.19
Level 3,2024Q1,98,Tab.2.19
Cost-Based,2024Q1,2262,Tab.2.19
Level 1,2024Q2,1664,Tab.2.19
Level 2,2024Q2,1395,Tab.2.19
Level 3,2024Q2,97,Tab.2.19
Cost-Based,2024Q2,2269,Tab.2.19
Level 1,2024Q3,1668,Tab.2.19
Level 2,2024Q3,1457,Tab.2.19
Level 3,2024Q3,92,Tab.2.19
Cost-Based,2024Q3,2274,Tab.2.19
Level 1,2024Q4,1827,Tab.2.19
Level 2,2024Q4,1503,Tab.2.19
Level 3,2024Q4,98,Tab.2.19
Cost-Based,2024Q4,2448,Tab.2.19
Level 1,2025Q1,1828,Tab.2.19
Level 2,2025Q1,1519,Tab.2.19
Level 3,2025Q1,94,Tab.2.19
Cost-Based,2025Q1,2460,Tab.2.19
Level 1,2013Q1,138,Tab.2.20
Level 2,2013Q1,64,Tab.2.20
Level 3,2013Q1,997,Tab.2.20
Cost-Based,2013Q1,167,Tab.2.20
Level 1,2013Q2,138,Tab.2.20
Level 2,2013Q2,65,Tab.2.20
Level 3,2013Q2,1006,Tab.2.20
Cost-Based,2013Q2,167,Tab.2.20
Level 1,2013Q3,139,Tab.2.20
Level 2,2013Q3,65,Tab.2.20
Level 3,2013Q3,1015,Tab.2.20
Cost-Based,2013Q3,167,Tab.2.20
Level 1,2013Q4,158,Tab.2.20
Level 2,2013Q4,87,Tab.2.20
Level 3,2013Q4,1106,Tab.2.20
Cost-Based,2013Q4,127,Tab.2.20
Level 1,2014Q1,158,Tab.2.20
Level 2,2014Q1,87,Tab.2.20
Level 3,2014Q1,1105,Tab.2.20
Cost-Based,2014Q1,126,Tab.2.20
Level 1,2014Q2,158,Tab.2.20
Level 2,2014Q2,87,Tab.2.20
Level 3,2014Q2,1108,Tab.2.20
Cost-Based,2014Q2,127,Tab.2.20
Level 1,2014Q3,158,Tab.2.20
Level 2,2014Q3,87,Tab.2.20
Level 3,2014Q3,1102,Tab.2.20
Cost-Based,2014Q3,127,Tab.2.20
Level 1,2014Q4,154,Tab.2.20
Level 2,2014Q4,103,Tab.2.20
Level 3,2014Q4,1120,Tab.2.20
Cost-Based,2014Q4,118,Tab.2.20
Level 1,2015Q1,155,Tab.2.20
Level 2,2015Q1,103,Tab.2.20
Level 3,2015Q1,1119,Tab.2.20
Cost-Based,2015Q1,120,Tab.2.20
Level 1,2015Q2,155,Tab.2.20
Level 2,2015Q2,104,Tab.2.20
Level 3,2015Q2,1119,Tab.2.20
Cost-Based,2015Q2,120,Tab.2.20
Level 1,2015Q3,155,Tab.2.20
Level 2,2015Q3,104,Tab.2.20
Level 3,2015Q3,1094,Tab.2.20
Cost-Based,2015Q3,120,Tab.2.20
Level 1,2015Q4,157,Tab.2.20
Level 2,2015Q4,81,Tab.2.20
Level 3,2015Q4,1169,Tab.2.20
Cost-Based,2015Q4,159,Tab.2.20
Level 1,2016Q1,157,Tab.2.20
Level 2,2016Q1,81,Tab.2.20
Level 3,2016Q1,1170,Tab.2.20
Cost-Based,2016Q1,160,Tab.2.20
Level 1,2016Q2,157,Tab.2.20
Level 2,2016Q2,82,Tab.2.20
Level 3,2016Q2,1169,Tab.2.20
Cost-Based,2016Q2,160,Tab.2.20
Level 1,2016Q3,157,Tab.2.20
Level 2,2016Q3,82,Tab.2.20
Level 3,2016Q3,1154,Tab.2.20
Cost-Based,2016Q3,160,Tab.2.20
Level 1,2016Q4,127,Tab.2.20
Level 2,2016Q4,98,Tab.2.20
Level 3,2016Q4,1341,Tab.2.20
Cost-Based,2016Q4,207,Tab.2.20
Level 1,2017Q1,127,Tab.2.20
Level 2,2017Q1,98,Tab.2.20
Level 3,2017Q1,1349,Tab.2.20
Cost-Based,2017Q1,197,Tab.2.20
Level 1,2017Q2,127,Tab.2.20
Level 2,2017Q2,98,Tab.2.20
Level 3,2017Q2,1347,Tab.2.20
Cost-Based,2017Q2,196,Tab.2.20
Level 1,2017Q3,126,Tab.2.20
Level 2,2017Q3,98,Tab.2.20
Level 3,2017Q3,1342,Tab.2.20
Cost-Based,2017Q3,196,Tab.2.20
