type,subtype,month,amount_bn,source
Secured,Prime Broker,2021-12,1948,Tab.8.27
Secured,Other Secured,2021-12,634,Tab.8.27
Secured,Subtotal,2021-12,3732,Tab.8.27
Unsecured,Subtotal,2021-12,44,Tab.8.27
Total,Total,2021-12,3776,Tab.8.27
Secured,Reverse Repo,2022-01,1076,Tab.8.27
Secured,Prime Broker,2022-01,1896,Tab.8.27
Secured,Other Secured,2022-01,614,Tab.8.27
Secured,Subtotal,2022-01,3586,Tab.8.27
Unsecured,Subtotal,2022-01,35,Tab.8.27
Total,Total,2022-01,3621,Tab.8.27
Secured,Reverse Repo,2022-02,1135,Tab.8.27
Secured,Prime Broker,2022-02,1897,Tab.8.27
Secured,Other Secured,2022-02,611,Tab.8.27
Secured,Subtotal,2022-02,3643,Tab.8.27
Unsecured,Subtotal,2022-02,33,Tab.8.27
Total,Total,2022-02,3676,Tab.8.27
Secured,Reverse Repo,2022-03,1090,Tab.8.27
Secured,Prime Broker,2022-03,1831,Tab.8.27
Secured,Other Secured,2022-03,599,Tab.8.27
Secured,Subtotal,2022-03,3521,Tab.8.27
Unsecured,Subtotal,2022-03,39,Tab.8.27
Total,Total,2022-03,3559,Tab.8.27
Secured,Reverse Repo,2022-04,1011,Tab.8.27
Secured,Prime Broker,2022-04,1719,Tab.8.27
Secured,Other Secured,2022-04,563,Tab.8.27
Secured,Subtotal,2022-04,3293,Tab.8.27
Unsecured,Subtotal,2022-04,28,Tab.8.27
Total,Total,2022-04,3321,Tab.8.27
Secured,Reverse Repo,2022-05,1170,Tab.8.27
Secured,Prime Broker,2022-05,1729,Tab.8.27
Secured,Other Secured,2022-05,564,Tab.8.27
Secured,Subtotal,2022-05,3464,Tab.8.27
Unsecured,Subtotal,2022-05,27,Tab.8.27
Total,Total,2022-05,3490,Tab.8.27
Secured,Reverse Repo,2022-06,1150,Tab.8.27
Secured,Prime Broker,2022-06,1647,Tab.8.27
Secured,Other Secured,2022-06,589,Tab.8.27
Secured,Subtotal,2022-06,3386,Tab.8.27
Unsecured,Subtotal,2022-06,35,Tab.8.27
Total,Total,2022-06,3421,Tab.8.27
Secured,Reverse Repo,2022-07,1112,Tab.8.27
Secured,Prime Broker,2022-07,1688,Tab.8.27
Secured,Other Secured,2022-07,529,Tab.8.27
Secured,Subtotal,2022-07,3330,Tab.8.27
Unsecured,Subtotal,2022-07,20,Tab.8.27
Total,Total,2022-07,3349,Tab.8.27
Secured,Reverse Repo,2022-08,1120,Tab.8.27
Secured,Prime Broker,2022-08,1632,Tab.8.27
Secured,Other Secured,2022-08,533,Tab.8.27
Secured,Subtotal,2022-08,3285,Tab.8.27
Unsecured,Subtotal,2022-08,21,Tab.8.27
Total,Total,2022-08,3306,Tab.8.27
Secured,Reverse Repo,2022-09,1143,Tab.8.27
Secured,Prime Broker,2022-09,1578,Tab.8.27
Secured,Other Secured,2022-09,568,Tab.8.27
Secured,Subtotal,2022-09,3288,Tab.8.27
Unsecured,Subtotal,2022-09,35,Tab.8.27
Total,Total,2022-09,3324,Tab.8.27
Secured,Reverse Repo,2022-10,1174,Tab.8.27
Secured,Prime Broker,2022-10,1622,Tab.8.27
Secured,Other Secured,2022-10,520,Tab.8.27
Secured,Subtotal,2022-10,3316,Tab.8.27
Unsecured,Subtotal,2022-10,25,Tab.8.27
Total,Total,2022-10,3341,Tab.8.27
Secured,Reverse Repo,2022-11,1309,Tab.8.27
Secured,Prime Broker,2022-11,1993,Tab.8.27
Secured,Other Secured,2022-11,539,Tab.8.27
Secured,Subtotal,2022-11,3842,Tab.8.27
Unsecured,Subtotal,2022-11,26,Tab.8.27
Total,Total,2022-11,3868,Tab.8.27
Secured,Reverse Repo,2022-12,1215,Tab.8.27
Secured,Prime Broker,2022-12,1620,Tab.8.27
Secured,Other Secured,2022-12,583,Tab.8.27
Secured,Subtotal,2022-12,3419,Tab.8.27
Unsecured,Subtotal,2022-12,39,Tab.8.27
Total,Total,2022-12,3458,Tab.8.27
Secured,Reverse Repo,2023-01,1358,Tab.8.27
Secured,Prime Broker,2023-01,1635,Tab.8.27
Secured,Other Secured,2023-01,555,Tab.8.27
Secured,Subtotal,2023-01,3548,Tab.8.27
Unsecured,Subtotal,2023-01,23,Tab.8.27
Total,Total,2023-01,3571,Tab.8.27
Secured,Reverse Repo,2023-02,1365,Tab.8.27
Secured,Prime Broker,2023-02,1725,Tab.8.27
Secured,Other Secured,2023-02,539,Tab.8.27
Secured,Subtotal,2023-02,3630,Tab.8.27
Unsecured,Subtotal,2023-02,22,Tab.8.27
Total,Total,2023-02,3652,Tab.8.27
Secured,Reverse Repo,2023-03,1432,Tab.8.27
Secured,Prime Broker,2023-03,1700,Tab.8.27
Secured,Other Secured,2023-03,569,Tab.8.27
Secured,Subtotal,2023-03,3701,Tab.8.27
Unsecured,Subtotal,2023-03,40,Tab.8.27
Total,Total,2023-03,3741,Tab.8.27
Secured,Reverse Repo,2023-04,1427,Tab.8.27
Secured,Prime Broker,2023-04,1670,Tab.8.27
Secured,Other Secured,2023-04,512,Tab.8.27
Secured,Subtotal,2023-04,3609,Tab.8.27
Unsecured,Subtotal,2023-04,25,Tab.8.27
Total,Total,2023-04,3634,Tab.8.27
Secured,Reverse Repo,2023-05,1611,Tab.8.27
Secured,Prime Broker,2023-05,1748,Tab.8.27
Secured,Other Secured,2023-05,498,Tab.8.27
Secured,Subtotal,2023-05,3856,Tab.8.27
Unsecured,Subtotal,2023-05,26,Tab.8.27
Total,Total,2023-05,3882,Tab.8.27
Secured,Reverse Repo,2023-06,1637,Tab.8.27
Secured,Prime Broker,2023-06,1815,Tab.8.27
Secured,Other Secured,2023-06,547,Tab.8.27
Secured,Subtotal,2023-06,3998,Tab.8.27
Unsecured,Subtotal,2023-06,38,Tab.8.27
Total,Total,2023-06,4037,Tab.8.27
Secured,Reverse Repo,2023-07,1883,Tab.8.27
Secured,Prime Broker,2023-07,1821,Tab.8.27
Secured,Other Secured,2023-07,513,Tab.8.27
Secured,Subtotal,2023-07,4217,Tab.8.27
Unsecured,Subtotal,2023-07,26,Tab.8.27
Total,Total,2023-07,4243,Tab.8.27
Secured,Reverse Repo,2023-08,1954,Tab.8.27
Secured,Prime Broker,2023-08,1779,Tab.8.27
Secured,Other Secured,2023-08,517,Tab.8.27
Secured,Subtotal,2023-08,4250,Tab.8.27
Unsecured,Subtotal,2023-08,27,Tab.8.27
Total,Total,2023-08,4278,Tab.8.27
Secured,Reverse Repo,2023-09,1822,Tab.8.27
Secured,Prime Broker,2023-09,1764,Tab.8.27
Secured,Other Secured,2023-09,564,Tab.8.27
Secured,Subtotal,2023-09,4149,Tab.8.27
Unsecured,Subtotal,2023-09,37,Tab.8.27
Total,Total,2023-09,4186,Tab.8.27
Secured,Reverse Repo,2023-10,1896,Tab.8.27
Secured,Prime Broker,2023-10,1744,Tab.8.27
Secured,Other Secured,2023-10,492,Tab.8.27
Secured,Subtotal,2023-10,4132,Tab.8.27
Unsecured,Subtotal,2023-10,27,Tab.8.27
Total,Total,2023-10,4160,Tab.8.27
Secured,Reverse Repo,2023-11,2105,Tab.8.27
Secured,Prime Broker,2023-11,1878,Tab.8.27
Secured,Other Secured,2023-11,494,Tab.8.27
Secured,Subtotal,2023-11,4477,Tab.8.27
Unsecured,Subtotal,2023-11,27,Tab.8.27
Total,Total,2023-11,4504,Tab.8.27
Secured,Reverse Repo,2023-12,2009,Tab.8.27
Secured,Prime Broker,2023-12,2011,Tab.8.27
Secured,Other Secured,2023-12,548,Tab.8.27
Secured,Subtotal,2023-12,4568,Tab.8.27
Unsecured,Subtotal,2023-12,35,Tab.8.27
Total,Total,2023-12,4603,Tab.8.27
Secured,Reverse Repo,2024-01,2194,Tab.8.27
Secured,Prime Broker,2024-01,2003,Tab.8.27
Secured,Other Secured,2024-01,509,Tab.8.27
Secured,Subtotal,2024-01,4706,Tab.8.27
Unsecured,Subtotal,2024-01,29,Tab.8.27
Total,Total,2024-01,4736,Tab.8.27
Secured,Reverse Repo,2024-02,2177,Tab.8.27
Secured,Prime Broker,2024-02,2111,Tab.8.27
Secured,Other Secured,2024-02,505,Tab.8.27
Secured,Subtotal,2024-02,4792,Tab.8.27
Unsecured,Subtotal,2024-02,29,Tab.8.27
Total,Total,2024-02,4821,Tab.8.27
Secured,Reverse Repo,2024-03,2070,Tab.8.27
Secured,Prime Broker,2024-03,2230,Tab.8.27
Secured,Other Secured,2024-03,550,Tab.8.27
Secured,Subtotal,2024-03,4850,Tab.8.27
Unsecured,Subtotal,2024-03,43,Tab.8.27
Total,Total,2024-03,4893,Tab.8.27
Secured,Reverse Repo,2024-04,2109,Tab.8.27
Secured,Prime Broker,2024-04,2173,Tab.8.27
Secured,Other Secured,2024-04,509,Tab.8.27
Secured,Subtotal,2024-04,4791,Tab.8.27
Unsecured,Subtotal,2024-04,23,Tab.8.27
Total,Total,2024-04,4814,Tab.8.27
Secured,Reverse Repo,2024-05,2220,Tab.8.27
Secured,Prime Broker,2024-05,2251,Tab.8.27
Secured,Other Secured,2024-05,516,Tab.8.27
Secured,Subtotal,2024-05,4987,Tab.8.27
Unsecured,Subtotal,2024-05,23,Tab.8.27
Total,Total,2024-05,5009,Tab.8.27
Secured,Reverse Repo,2024-06,2214,Tab.8.27
Secured,Prime Broker,2024-06,2236,Tab.8.27
Secured,Other Secured,2024-06,550,Tab.8.27
Secured,Subtotal,2024-06,5000,Tab.8.27
Unsecured,Subtotal,2024-06,33,Tab.8.27
Total,Total,2024-06,5033,Tab.8.27
Secured,Reverse Repo,2024-07,2439,Tab.8.27
Secured,Prime Broker,2024-07,2284,Tab.8.27
Secured,Other Secured,2024-07,488,Tab.8.27
Secured,Subtotal,2024-07,5211,Tab.8.27
Unsecured,Subtotal,2024-07,23,Tab.8.27
Total,Total,2024-07,5234,Tab.8.27
Secured,Reverse Repo,2024-08,2511,Tab.8.27
Secured,Prime Broker,2024-08,2300,Tab.8.27
Secured,Other Secured,2024-08,494,Tab.8.27
Secured,Subtotal,2024-08,5304,Tab.8.27
Unsecured,Subtotal,2024-08,23,Tab.8.27
Total,Total,2024-08,5328,Tab.8.27
Secured,Reverse Repo,2024-09,2737,Tab.8.27
Secured,Prime Broker,2024-09,2379,Tab.8.27
Secured,Other Secured,2024-09,546,Tab.8.27
Secured,Subtotal,2024-09,5663,Tab.8.27
Unsecured,Subtotal,2024-09,33,Tab.8.27
Total,Total,2024-09,5696,Tab.8.27
Secured,Reverse Repo,2024-10,2580,Tab.8.27
Secured,Prime Broker,2024-10,2287,Tab.8.27
Secured,Other Secured,2024-10,511,Tab.8.27
Secured,Subtotal,2024-10,5378,Tab.8.27
Unsecured,Subtotal,2024-10,25,Tab.8.27
Total,Total,2024-10,5403,Tab.8.27
Secured,Reverse Repo,2024-11,2462,Tab.8.27
Secured,Prime Broker,2024-11,2470,Tab.8.27
Secured,Other Secured,2024-11,524,Tab.8.27
Secured,Subtotal,2024-11,5456,Tab.8.27
Unsecured,Subtotal,2024-11,26,Tab.8.27
Total,Total,2024-11,5482,Tab.8.27
Secured,Reverse Repo,2024-12,2432,Tab.8.27
Secured,Prime Broker,2024-12,2451,Tab.8.27
Secured,Other Secured,2024-12,566,Tab.8.27
Secured,Subtotal,2024-12,5450,Tab.8.27
Unsecured,Subtotal,2024-12,34,Tab.8.27
Total,Total,2024-12,5483,Tab.8.27
Secured,Reverse Repo,2025-01,2539,Tab.8.27
Secured,Prime Broker,2025-01,2653,Tab.8.27
Secured,Other Secured,2025-01,534,Tab.8.27
Secured,Subtotal,2025-01,5725,Tab.8.27
Unsecured,Subtotal,2025-01,28,Tab.8.27
Total,Total,2025-01,5753,Tab.8.27
Secured,Reverse Repo,2025-02,2649,Tab.8.27
Secured,Prime Broker,2025-02,2674,Tab.8.27
Secured,Other Secured,2025-02,544,Tab.8.27
Secured,Subtotal,2025-02,5867,Tab.8.27
Unsecured,Subtotal,2025-02,30,Tab.8.27
Total,Total,2025-02,5896,Tab.8.27
Secured,Reverse Repo,2025-03,2783,Tab.8.27
Secured,Prime Broker,2025-03,2582,Tab.8.27
Secured,Other Secured,2025-03,619,Tab.8.27
Secured,Subtotal,2025-03,5984,Tab.8.27
Unsecured,Subtotal,2025-03,40,Tab.8.27
Total,Total,2025-03,6024,Tab.8.27
