date,market,lev_fund_long,lev_fund_short,lev_fund_spreading,lev_fund_net
2018-01-02,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,201798,135894,6899,65904
2018-01-02,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,26582,3220,624,23362
2018-01-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,348963,501994,88123,-153031
2018-01-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2291,5688,0,-3397
2018-01-02,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2000,517,0,1483
2018-01-02,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,61685,10477,6547,51208
2018-01-02,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,88400,106241,5240,-17841
2018-01-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,69393,103396,20315,-34003
2018-01-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17680,21248,1048,-3568
2018-01-02,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,474,2674,66,-2200
2018-01-02,DJIA Consolidated - CHICAGO BOARD OF TRADE,30843,5239,3274,25604
2018-01-02,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,6702,0,618,6702
2018-01-02,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13994,0,0,13994
2018-01-09,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,190356,133422,8481,56934
2018-01-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15116,17374,1132,-2258
2018-01-09,DJIA Consolidated - CHICAGO BOARD OF TRADE,29155,7229,4242,21926
2018-01-09,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,5362,0,818,5362
2018-01-09,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,58310,14457,8483,43853
2018-01-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,357685,613902,99735,-256217
2018-01-09,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2283,78,-2283
2018-01-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3664,7478,0,-3814
2018-01-09,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,75578,86872,5662,-11294
2018-01-09,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,25173,2673,1312,22500
2018-01-09,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,1800,533,0,1267
2018-01-09,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13152,0,0,13152
2018-01-09,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,474,2782,104,-2308
2018-01-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,70378,125435,24770,-55057
2018-01-16,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,1890,533,0,1357
2018-01-16,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,24996,2323,1289,22673
2018-01-16,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,61870,17701,7825,44169
2018-01-16,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,0,0,0
2018-01-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,85071,124619,25504,-39548
2018-01-16,DJIA Consolidated - CHICAGO BOARD OF TRADE,30935,8851,3913,22084
2018-01-16,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,78975,83656,4974,-4681
2018-01-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,426192,610683,106188,-184491
2018-01-16,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2122,370,798,1752
2018-01-16,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,1516,1885,13,-369
2018-01-16,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,1555,495,250,1060
2018-01-16,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13220,0,0,13220
2018-01-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15795,16731,995,-936
2018-01-16,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,178943,125663,7885,53280
2018-01-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,4099,6749,0,-2650
2018-01-23,DJIA Consolidated - CHICAGO BOARD OF TRADE,28954,8944,3425,20010
2018-01-23,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,13212,0,0,13212
2018-01-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12219,14400,787,-2181
2018-01-23,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1146,96,-1146
2018-01-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,7420,12130,0,-4710
2018-01-23,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,23664,2465,1747,21199
2018-01-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,92258,121770,34682,-29512
2018-01-23,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,239,1648,13,-1409
2018-01-23,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2122,1631,798,491
2018-01-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,480173,604182,117425,-124009
2018-01-23,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,158905,127824,8835,31081
2018-01-23,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2534,521,0,2013
2018-01-23,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,61093,71998,3935,-10905
2018-01-23,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,57907,17887,6850,40020
2018-01-23,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2088,79,-2088
2018-01-30,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2090,77,-2090
2018-01-30,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,4258,230,0,4028
2018-01-30,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2388,1631,798,757
2018-01-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,7187,7229,0,-42
2018-01-30,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,1579,569,250,1010
2018-01-30,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1148,94,-1148
2018-01-30,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12930,0,0,12930
2018-01-30,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2181,521,0,1660
2018-01-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,100245,105870,32395,-5625
2018-01-30,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,57627,13491,5879,44136
2018-01-30,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,509045,536961,118219,-27916
2018-01-30,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,166625,121646,8305,44979
2018-01-30,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,64624,64713,5403,-89
2018-01-30,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,23368,2619,1577,20749
2018-01-30,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,647,1443,24,-796
2018-01-30,DJIA Consolidated - CHICAGO BOARD OF TRADE,28814,6746,2940,22068
2018-01-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12925,12943,1081,-18
2018-02-06,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2368,521,23,1847
2018-02-06,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2039,77,-2039
2018-02-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,5568,27831,0,-22263
2018-02-06,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,3996,283,0,3713
2018-02-06,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,73991,65550,4473,8441
2018-02-06,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,46250,15080,3124,31170
2018-02-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,557318,487639,136791,69679
2018-02-06,DJIA Consolidated - CHICAGO BOARD OF TRADE,23125,7540,1562,15585
2018-02-06,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12986,0,0,12986
2018-02-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14798,13110,895,1688
2018-02-06,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,1089,1511,0,-422
2018-02-06,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,178056,129791,10650,48265
2018-02-06,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2245,111,1208,2134
2018-02-06,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,21661,3024,1610,18637
2018-02-06,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1148,94,-1148
2018-02-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,90405,98733,53984,-8328
2018-02-13,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2039,77,-2039
2018-02-13,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,2191,821,0,1370
2018-02-13,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,153612,127282,7217,26330
2018-02-13,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,4010,0,0,4010
2018-02-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,8277,18237,0,-9960
2018-02-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,470038,489119,133242,-19081
2018-02-13,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2121,111,1208,2010
2018-02-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,10277,15751,745,-5474
2018-02-13,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,51384,78757,3723,-27373
2018-02-13,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,1958,1596,13,362
2018-02-13,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,1579,1413,250,166
2018-02-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,85290,99067,43643,-13777
2018-02-13,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,16524,1982,1000,14542
2018-02-13,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12037,0,0,12037
2018-02-13,DJIA Consolidated - CHICAGO BOARD OF TRADE,17380,10811,1117,6569
2018-02-13,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,34759,21622,2234,13137
2018-02-20,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,32912,23921,1993,8991
2018-02-20,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2339,77,-2339
2018-02-20,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,11742,0,0,11742
2018-02-20,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,140693,113821,7348,26872
2018-02-20,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,3430,2441,1,989
2018-02-20,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,4063,521,0,3542
2018-02-20,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,4016,0,0,4016
2018-02-20,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,14797,2574,1188,12223
2018-02-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,75499,108621,35434,-33122
2018-02-20,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2201,111,1158,2090
2018-02-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,418900,535965,96660,-117065
2018-02-20,DJIA Consolidated - CHICAGO BOARD OF TRADE,16456,11961,997,4495
2018-02-20,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1148,94,-1148
2018-02-20,EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,1546,206,0,1340
2018-02-20,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,41359,76980,2493,-35621
2018-02-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,7821,17530,0,-9709
2018-02-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,8272,15396,499,-7124
2018-02-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13282,16614,249,-3332
2018-02-27,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,3539,2682,1,857
2018-02-27,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,14568,2867,1200,11701
2018-02-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,412143,539154,99433,-127011
2018-02-27,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2039,77,-2039
2018-02-27,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,4064,521,0,3543
2018-02-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,76565,105300,39281,-28735
2018-02-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,6859,11042,1329,-4183
2018-02-27,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1229,13,-1229
2018-02-27,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12513,509,0,12004
2018-02-27,DJIA Consolidated - CHICAGO BOARD OF TRADE,14521,10467,1738,4054
2018-02-27,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2159,649,620,1510
2018-02-27,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,34295,55210,6644,-20915
2018-02-27,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,29042,20934,3475,8108
2018-02-27,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,4157,0,0,4157
2018-02-27,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,148524,111206,4951,37318
2018-03-06,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,48533,53149,7407,-4616
2018-03-06,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2000,77,-2000
2018-03-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,444490,497652,125564,-53162
2018-03-06,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,16003,2955,893,13048
2018-03-06,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2179,649,620,1530
2018-03-06,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,141569,105011,6399,36558
2018-03-06,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1229,13,-1229
2018-03-06,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,3920,0,2,3920
2018-03-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,9707,10630,1481,-923
2018-03-06,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,5730,2524,3,3206
2018-03-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,8286,19097,0,-10811
2018-03-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,77608,99052,44689,-21444
2018-03-06,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12202,0,0,12202
2018-03-06,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,29374,18520,2388,10854
2018-03-06,DJIA Consolidated - CHICAGO BOARD OF TRADE,14687,9260,1194,5427
2018-03-13,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,218,576,0,-358
2018-03-13,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,56631,55086,8102,1545
2018-03-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,7527,20527,1257,-13000
2018-03-13,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,3732,0,2,3732
2018-03-13,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,17429,4051,1391,13378
2018-03-13,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,11912,0,0,11912
2018-03-13,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,26644,19084,4100,7560
2018-03-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,78465,108207,57486,-29742
2018-03-13,DJIA Consolidated - CHICAGO BOARD OF TRADE,13322,9542,2050,3780
2018-03-13,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,5103,1827,558,3276
2018-03-13,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,140187,110316,22233,29871
2018-03-13,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,1954,77,-1954
2018-03-13,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2179,649,620,1530
2018-03-13,E-MINI S&P HEALTH CARE INDEX - CHICAGO MERCANTILE EXCHANGE,721,0,290,721
2018-03-13,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1229,19,-1229
2018-03-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,460328,544039,175504,-83711
2018-03-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,11326,11017,1620,309
2018-03-20,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,25211,16382,2633,8829
2018-03-20,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,54627,57853,4886,-3226
2018-03-20,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,16985,3171,1386,13814
2018-03-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,333829,444749,81606,-110920
2018-03-20,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,733,1138,0,-405
2018-03-20,DJIA Consolidated - CHICAGO BOARD OF TRADE,12606,8191,1317,4415
2018-03-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,10925,11571,977,-646
2018-03-20,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,2139,899,580,1240
2018-03-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,66779,88532,19391,-21753
2018-03-20,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,12070,0,0,12070
2018-03-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3083,2652,0,431
2018-03-20,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,4318,576,0,3742
2018-03-20,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,1995,36,-1995
2018-03-20,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1202,40,-1202
2018-03-20,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,2113,0,2,2113
2018-03-20,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,128705,95178,7809,33527
2018-03-27,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,2281,1807,0,474
2018-03-27,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2057,36,-2057
2018-03-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,423760,403739,93120,20021
2018-03-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,10646,13299,836,-2653
2018-03-27,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,4439,0,0,4439
2018-03-27,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,125206,100553,8974,24653
2018-03-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,83659,80879,25852,2780
2018-03-27,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,1309,899,580,410
2018-03-27,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,53230,66495,4182,-13265
2018-03-27,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,11747,0,0,11747
2018-03-27,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,15734,1952,1510,13782
2018-03-27,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,2163,0,2,2163
2018-03-27,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,2057,1967,156,90
2018-03-27,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,23679,13985,2874,9694
2018-03-27,DJIA Consolidated - CHICAGO BOARD OF TRADE,11840,6993,1437,4847
2018-03-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,5690,6914,445,-1224
2018-04-03,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2057,36,-2057
2018-04-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,8868,6725,241,2143
2018-04-03,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,1675,1017,0,658
2018-04-03,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,58232,87844,4107,-29612
2018-04-03,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,2163,0,2,2163
2018-04-03,DJIA Consolidated - CHICAGO BOARD OF TRADE,9051,6766,1123,2285
2018-04-03,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,121948,92866,10016,29082
2018-04-03,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,581,899,580,-318
2018-04-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,418351,422436,85151,-4085
2018-04-03,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,13370,867,1220,12503
2018-04-03,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,11747,0,0,11747
2018-04-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,11646,17569,821,-5923
2018-04-03,E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,4398,0,0,4398
2018-04-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,85108,83782,24702,1326
2018-04-03,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,18101,13531,2246,4570
2018-04-10,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,11476,0,271,11476
2018-04-10,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,641,899,580,-258
2018-04-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,80263,85244,26657,-4981
2018-04-10,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,2163,0,2,2163
2018-04-10,DJIA Consolidated - CHICAGO BOARD OF TRADE,7719,6823,1225,896
2018-04-10,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,15438,13645,2449,1793
2018-04-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,9431,6984,812,2447
2018-04-10,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,12500,1018,412,11482
2018-04-10,E-MINI S&P HEALTH CARE INDEX - CHICAGO MERCANTILE EXCHANGE,628,0,40,628
2018-04-10,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,55595,83276,4188,-27681
2018-04-10,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,0,2057,36,-2057
2018-04-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,11119,16655,838,-5536
2018-04-10,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,112865,94719,10287,18146
2018-04-10,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.,1000,1187,0,-187
2018-04-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,396803,433942,86584,-37139
2018-04-10,E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,0,1202,40,-1202
2018-04-17,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,1756,0,2,1756
2018-04-17,E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,116205,93140,10486,23065
2018-04-17,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE,17461,13377,1972,4084
2018-04-17,E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,1806,0,0,1806
2018-04-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,369858,429620,100076,-59762
2018-04-17,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,773,731,448,42
2018-04-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,79619,86419,24783,-6800
2018-04-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,10008,4856,407,5152
