quarter,gav,nav,gav_nav_ratio,gav_qoq,nav_qoq
2013Q1,4780,2612,1.8300153139356814,,
2013Q2,4938,2678,1.843913368185213,0.033054393305439245,0.025267993874425798
2013Q3,5101,2812,1.8140113798008535,0.0330093155123532,0.050037341299477234
2013Q4,5375,3061,1.7559621038876185,0.05371495785140179,0.08854907539118062
2014Q1,5658,3164,1.7882427307206068,0.05265116279069759,0.03364913426984639
2014Q2,5886,3306,1.780399274047187,0.040296924708377535,0.044879898862199674
2014Q3,6111,3361,1.818208866408807,0.03822629969418956,0.016636418632788974
2014Q4,6020,3399,1.7711091497499265,-0.014891179839633395,0.011306158881285278
2015Q1,6425,3576,1.7967002237136465,0.06727574750830567,0.052074139452780166
2015Q2,6344,3585,1.7695955369595537,-0.012607003891050628,0.00251677852348986
2015Q3,6238,3474,1.7956246401842257,-0.016708701134930615,-0.030962343096234357
2015Q4,6078,3456,1.7586805555555556,-0.02564924655338252,-0.005181347150259086
2016Q1,6157,3403,1.8092859241845431,0.01299769661072725,-0.01533564814814814
2016Q2,6319,3430,1.842274052478134,0.02631151534838394,0.007934175727299486
2016Q3,6458,3490,1.850429799426934,0.021997151448013952,0.017492711370262315
2016Q4,6390,3482,1.8351522113727743,-0.01052957572003721,-0.002292263610315204
2017Q1,6700,3600,1.8611111111111112,0.04851330203442883,0.03388856978747845
2017Q2,6817,3657,1.8640962537599124,0.0174626865671641,0.015833333333333366
2017Q3,7177,3779,1.8991796771632707,0.05280915358662175,0.03336067815149035
2017Q4,7233,3882,1.8632148377125193,0.007802703079281104,0.02725588780100563
2018Q1,7509,3972,1.8904833836858006,0.03815844048112815,0.023183925811437467
2018Q2,7647,4001,1.9112721819545113,0.018377946464242845,0.007301107754279945
2018Q3,7899,4057,1.9470051762386,0.03295409964692042,0.013996500874781326
2018Q4,7582,3792,1.9994725738396624,-0.04013166223572606,-0.06531920138033032
2019Q1,8040,4003,2.0084936297776665,0.0604062252703772,0.055643459915611704
2019Q2,8240,4089,2.0151626314502322,0.02487562189054726,0.021483887084686515
2019Q3,8085,4063,1.9899089342850111,-0.018810679611650505,-0.0063585228662265125
2019Q4,8163,4133,1.9750786353738206,0.009647495361781111,0.017228648781688394
2020Q1,7742,3782,2.047065044949762,-0.05157417616072524,-0.08492620372610693
2020Q2,7768,4089,1.8997309855710443,0.0033583053474555147,0.08117398202009518
2020Q3,8197,4299,1.9067224936031635,0.055226570545829023,0.051357300073367584
2020Q4,8766,4663,1.879905640145829,0.0694156398682444,0.08467085368690386
2021Q1,8906,4811,1.8511743920182915,0.015970796258270692,0.03173922367574522
2021Q2,9566,5130,1.8647173489278752,0.07410734336402425,0.06630638120972776
2021Q3,9768,5112,1.9107981220657277,0.02111645410830021,-0.0035087719298245723
2021Q4,9746,5132,1.8990646921278254,-0.0022522522522522292,0.00391236306729259
2022Q1,9760,5149,1.895513691979025,0.001436486763800593,0.003312548713951591
2022Q2,9417,4913,1.9167514756767758,-0.03514344262295077,-0.04583414255195184
2022Q3,9254,4850,1.9080412371134021,-0.017309121800998195,-0.012823122328516234
2022Q4,9356,4817,1.9422877309528752,0.011022260644045767,-0.006804123711340204
2023Q1,9491,4859,1.9532825684297181,0.014429243266353087,0.008719119784097895
2023Q2,9896,4915,2.0134282807731436,0.042672005057422746,0.011525005145091693
2023Q3,10196,4936,2.065640194489465,0.030315278900565845,0.004272634791454788
2023Q4,10696,5001,2.1387722455508897,0.04903883876029824,0.01316855753646684
2024Q1,11046,5223,2.1148765077541642,0.0327225130890052,0.04439112177564497
2024Q2,11239,5224,2.151416539050536,0.017472388194821553,0.00019146084625698556
2024Q3,12152,5395,2.2524559777571826,0.08123498531897866,0.03273353751914243
2024Q4,11946,5325,2.2433802816901407,-0.01695194206714945,-0.0129749768303985
2025Q1,12590,5419,2.3233068831887804,0.053909258329147836,0.017652582159624508
